dataset,model,cal_size,test_size,BBQ_brier,BBQ_logloss,BBQ_kuiper,BBQ_ece-15,BBQ_accuracy,BBQ_time
c10,densenet40,5000,10000,0.020231331484251724,0.051314744884984054,0.0021657433826476336,0.0029079450760036707,0.9883999824523926,0.18152542412281036
c10,lenet5,5000,10000,0.07392776797570724,0.13595062280732403,0.0032098640222102404,0.007039228454232216,0.9527999758720398,0.18557964265346527
c10,resnet_wide32,5000,10000,0.013193650955055708,0.033422034988564914,0.0010194843634963036,0.0030638636089861393,0.9918000102043152,0.16467442363500595
c10,resnet110,5000,10000,0.019028880038370413,0.04888772697538802,0.002381417900323868,0.004177287220954895,0.989300012588501,0.163502536714077
c10,resnet110_SD,5000,10000,0.01403401950123708,0.03613358299980716,0.001142418012022972,0.0022907285019755363,0.9919999837875366,0.16670037433505058
breast,beit,78,156,0.30689886273179573,0.4828624473679007,0.04819570481777191,0.033653222024440765,0.8012820482254028,0.007424689829349518
breast,convnext,78,156,0.22245949664157175,0.38991222673079196,0.047223832458257675,0.047837551683187485,0.8717948794364929,0.007214706391096115
breast,resnet50,78,156,0.2288541015400856,2.0047187328077993,0.03977571427822113,0.049855928868055344,0.8717948794364929,0.007206764072179794
breast,vit,78,156,0.2938019255405545,0.4671012776236222,0.024758726358413696,0.024976806715130806,0.8141025900840759,0.007226087152957916
pneumonia,beit,524,624,0.281209019907014,0.5001724670508945,0.12922191619873047,0.13086508214473724,0.8461538553237915,0.03704998269677162
pneumonia,convnext,524,624,0.19354004156220198,0.47077286112152394,0.10069942474365234,0.1005624532699585,0.8990384340286255,0.03643873333930969
pneumonia,resnet50,524,624,0.18458723193915777,0.4326858839483516,0.08736377954483032,0.08736376464366913,0.9054487347602844,0.035833969712257385
pneumonia,vit,524,624,0.29935853531002166,0.5204180072945592,0.12889862060546875,0.12942084670066833,0.8349359035491943,0.03683849051594734
