dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
c10,densenet40,5000,10000,0.019651854410767555,0.05079688876867294,0.006183875724673271,0.008985082618892193,0.9884999990463257,0
c10,lenet5,5000,10000,0.08180466294288635,0.1414041370153427,0.03179226815700531,0.03135940060019493,0.9455000162124634,0
c10,resnet_wide32,5000,10000,0.012871496379375458,0.050483863800764084,0.0026663572061806917,0.005507214926183224,0.9923999905586243,0
c10,resnet110,5000,10000,0.017211968079209328,0.05480830743908882,0.004372384864836931,0.007210805546492338,0.9901999831199646,0
c10,resnet110_SD,5000,10000,0.014922481961548328,0.03858700394630432,0.005315331742167473,0.006970995105803013,0.9904999732971191,0
breast,beit,78,156,0.36295512318611145,2.485130786895752,0.10535908490419388,0.17855191230773926,0.8012820482254028,0
breast,convnext,78,156,0.21697171032428741,1.776570200920105,0.08147518336772919,0.10810944437980652,0.8782051205635071,0
breast,resnet50,78,156,0.2423059493303299,0.9165032505989075,0.10691305249929428,0.1245831698179245,0.8717948794364929,0
breast,vit,78,156,0.3314383924007416,1.3093905448913574,0.1053662821650505,0.1758917272090912,0.8141025900840759,0
pneumonia,beit,524,624,0.27783870697021484,3.129692554473877,0.13650932908058167,0.14161427319049835,0.8461538553237915,0
pneumonia,convnext,524,624,0.1813345104455948,2.499183416366577,0.09344185888767242,0.09473789483308792,0.9022436141967773,0
pneumonia,resnet50,524,624,0.1825736165046692,2.1164441108703613,0.09863829612731934,0.09981971234083176,0.9006410241127014,0
pneumonia,vit,524,624,0.2989346385002136,3.48983097076416,0.14676272869110107,0.15367881953716278,0.8349359035491943,0
