dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
c10,densenet40,5000,10000,0.016961460638088174,0.030660545391792825,0.0020302857737988234,0.0030741041991859674,0.9890999794006348,1.3432708783075213
c10,lenet5,5000,10000,0.0721105309797486,0.1251570768723657,0.0027709081768989563,0.006034105084836483,0.9526000022888184,1.5830835830420256
c10,resnet_wide32,5000,10000,0.012819605696220373,0.024664822626519957,0.0019637043587863445,0.0035683310125023127,0.9922000169754028,1.3960618567653
c10,resnet110,5000,10000,0.01611232173989082,0.03156102966100579,0.0013767308555543423,0.0028248594608157873,0.9901999831199646,1.259078385308385
c10,resnet110_SD,5000,10000,0.012810025295083145,0.023812087999255938,0.0014609205536544323,0.003114815568551421,0.9919999837875366,1.5395296891219914
breast,beit,78,156,0.2887056234590586,0.44551899237831477,0.0542130321264267,0.034315597265958786,0.7628205418586731,0.5278231729753315
breast,convnext,78,156,0.17771440584149892,0.3047410197381306,0.023936264216899872,0.06669414043426514,0.8589743375778198,0.4614839116111398
breast,resnet50,78,156,0.1751023243373703,0.31107713980607893,0.0569349005818367,0.06404664367437363,0.8974359035491943,1.2284239563159645
breast,vit,78,156,0.26914582121836095,0.43514826043240323,0.040813811123371124,0.08043621480464935,0.8269230723381042,0.3808871558867395
pneumonia,beit,524,624,0.23950233985073346,0.4167959931587535,0.1359451413154602,0.13567671179771423,0.8189102411270142,0.7464032378047705
pneumonia,convnext,524,624,0.1619452664565646,0.32792413769978435,0.09917175769805908,0.0990828350186348,0.8942307829856873,0.8195190513506532
pneumonia,resnet50,524,624,0.12877496820786016,0.35062322323463657,0.07835203409194946,0.07829974591732025,0.9310897588729858,0.8163963360711932
pneumonia,vit,524,624,0.24310131858263942,0.39949953125954835,0.12195476144552231,0.12114067375659943,0.8269230723381042,0.4977803658694029
