dataset,model,cal_size,test_size,ENIR_brier,ENIR_logloss,ENIR_kuiper,ENIR_ece-15,ENIR_accuracy,ENIR_time
c10,densenet40,5000,10000,0.01766516833168714,0.06622746167386284,0.0024762144312262535,0.0037867906503379345,0.9883999824523926,0.050260815769433975
c10,lenet5,5000,10000,0.07852975416973684,0.4543773949210291,0.004667854867875576,0.008076323196291924,0.9495999813079834,0.4200186552479863
c10,resnet_wide32,5000,10000,0.013406599447402323,0.07467548182315081,0.0015769230667501688,0.0028239022940397263,0.9905999898910522,0.02654465939849615
c10,resnet110,5000,10000,0.018205280777596686,0.09908366752281839,0.002428706968203187,0.00454883323982358,0.9886999726295471,0.026525855995714664
c10,resnet110_SD,5000,10000,0.014586681987274124,0.15987047363588336,0.0020213760435581207,0.0036638928577303886,0.9912999868392944,0.024207085371017456
breast,beit,78,156,0.3007549144857188,2.2735410495413575,0.07395747303962708,0.10436668246984482,0.7884615659713745,0.003706086426973343
breast,convnext,78,156,0.2365485473189711,5.396545906301909,0.07449941337108612,0.1137617826461792,0.8782051205635071,0.0013290904462337494
breast,resnet50,78,156,0.18862007888290666,3.5442262417180994,0.062113020569086075,0.0792069137096405,0.8974359035491943,0.0013149119913578033
breast,vit,78,156,0.2920140393001756,3.583824925973274,0.03926282748579979,0.06932900846004486,0.8205128312110901,0.0036419127136468887
pneumonia,beit,524,624,0.2431495698742787,0.44743678919194296,0.13641536235809326,0.13738033175468445,0.8108974099159241,0.01373874768614769
pneumonia,convnext,524,624,0.12470655663360873,1.451892320300846,0.0712607279419899,0.07286316156387329,0.9262820482254028,0.0018648812547326088
pneumonia,resnet50,524,624,0.13548117816250904,1.9350949743818917,0.08136069774627686,0.0813606008887291,0.9230769276618958,0.0015446580946445465
pneumonia,vit,524,624,0.2452644856823566,0.8132946356558067,0.1185343787074089,0.12042295932769775,0.8189102411270142,0.01636656280606985
