dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
c10,densenet40,5000,10000,0.01754357437971739,0.03042176339069058,0.004243726842105389,0.004234234802424908,0.9884999990463257,0.015245143324136734
c10,lenet5,5000,10000,0.08138827006687958,0.13955654988743435,0.03461592271924019,0.03415190055966377,0.9455000162124634,0.023598790168762207
c10,resnet_wide32,5000,10000,0.012311572190946899,0.028122435129122676,0.0016374769620597363,0.0029685364570468664,0.9923999905586243,0.014206744730472565
c10,resnet110,5000,10000,0.016367082299794923,0.03204596126826906,0.0028495118021965027,0.0030861033592373133,0.9901999831199646,0.014304447919130325
c10,resnet110_SD,5000,10000,0.013484009246638581,0.024725711674762705,0.0048689949326217175,0.004858303815126419,0.9904999732971191,0.014165583997964859
breast,beit,78,156,0.2894689198190156,0.4509999210288581,0.03715616464614868,0.08457396924495697,0.8012820482254028,0.0035961978137493134
breast,convnext,78,156,0.18054459153460398,0.48360871063030486,0.02863859012722969,0.062286004424095154,0.8782051205635071,0.0020560696721076965
breast,resnet50,78,156,0.20557276070816344,0.37705333812397884,0.08343730121850967,0.09874317049980164,0.8717948794364929,0.003145858645439148
breast,vit,78,156,0.2714870825877531,0.43375495053498736,0.03804396092891693,0.08722218126058578,0.8141025900840759,0.008929338306188583
pneumonia,beit,524,624,0.22940013282707944,0.39598766844766803,0.12389636039733887,0.12389638274908066,0.8461538553237915,0.0048682801425457
pneumonia,convnext,524,624,0.15242972387828413,0.6451979062104426,0.09681904315948486,0.09681897610425949,0.9022436141967773,0.004658110439777374
pneumonia,resnet50,524,624,0.15819746565493265,0.6449810262862699,0.10388875007629395,0.10388868302106857,0.9006410241127014,0.0036810263991355896
pneumonia,vit,524,624,0.2462894221237061,0.4204277300543869,0.1288265883922577,0.127810537815094,0.8349359035491943,0.00994132086634636
