dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
c10,densenet40,5000,10000,0.01983646710742296,0.049707592308358826,0.0021489120554178953,0.0024430856574326754,0.9883000254631042,0.001056388020515442
c10,lenet5,5000,10000,0.07525218995605087,0.14396549765988512,0.0033232225105166435,0.0069568264298141,0.9519000053405762,0.0007839705795049667
c10,resnet_wide32,5000,10000,0.013856609718252772,0.036234376123539934,0.001024949480779469,0.00256535317748785,0.9922000169754028,0.0005710981786251068
c10,resnet110,5000,10000,0.02109182356307652,0.2544902520128577,0.002843141555786133,0.005699023138731718,0.9883999824523926,0.0006750877946615219
c10,resnet110_SD,5000,10000,0.013729486161868136,0.035391356955209195,0.000890977680683136,0.001578152528963983,0.9919999837875366,0.0006440822035074234
breast,beit,78,156,0.2973051300541475,1.0074975509953374,0.035782091319561005,0.03219597786664963,0.8012820482254028,0.00025845691561698914
breast,convnext,78,156,0.23267632825967569,2.020834349590473,0.05067071318626404,0.062066733837127686,0.8653846383094788,0.00023751519620418549
breast,resnet50,78,156,0.24308577352956057,2.5742076722847194,0.05981266498565674,0.07904337346553802,0.8653846383094788,0.00022703222930431366
breast,vit,78,156,0.29867130344050613,2.1023034769691886,0.035858284682035446,0.03347248584032059,0.8205128312110901,0.00022470764815807343
pneumonia,beit,524,624,0.2966993390150826,2.9514062645677837,0.14141753315925598,0.14048704504966736,0.8365384340286255,0.0002825763076543808
pneumonia,convnext,524,624,0.1976453664153248,1.2633533811199773,0.10176360607147217,0.10176360607147217,0.8926281929016113,0.00025214627385139465
pneumonia,resnet50,524,624,0.18508576722180706,0.5741431982881791,0.09193883091211319,0.09018831700086594,0.8990384340286255,0.000255512073636055
pneumonia,vit,524,624,0.2995719761603883,1.3360974803220067,0.13503266870975494,0.13357952237129211,0.8365384340286255,0.0002540852874517441
