dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
c10,densenet40,5000,10000,0.017128777136395972,0.03447992498629509,0.0021036891266703606,0.0034002752508968115,0.9886999726295471,0.014507089974358678
c10,lenet5,5000,10000,0.07233814427749018,0.14187443414804649,0.002404521219432354,0.0049432716332376,0.9526000022888184,0.011698632966727018
c10,resnet_wide32,5000,10000,0.013255582469717888,0.06610919669223177,0.0018381235422566533,0.003100879956036806,0.9916999936103821,0.010830992017872632
c10,resnet110,5000,10000,0.016935908115508064,0.0485394768610145,0.0018489916110411286,0.003380855079740286,0.9890999794006348,0.011305488995276392
c10,resnet110_SD,5000,10000,0.012857608447573795,0.047662266150584054,0.0013918336480855942,0.0027308149728924036,0.9921000003814697,0.011250470066443086
breast,beit,78,156,0.2950212743812558,3.677932148522499,0.06250938773155212,0.08959552645683289,0.7948718070983887,0.0059241000562906265
breast,convnext,78,156,0.1781090067130573,2.9692032519784606,0.028892546892166138,0.06754117459058762,0.8782051205635071,0.005947176017798483
breast,resnet50,78,156,0.1821680112484426,3.5317475235592317,0.061194032430648804,0.08401055634021759,0.8974359035491943,0.006018066895194352
breast,vit,78,156,0.2795509767674758,2.6119940217502475,0.04343666508793831,0.06251473724842072,0.8269230723381042,0.005955795058980584
pneumonia,beit,524,624,0.24140688966603846,0.4699654709559125,0.13673043251037598,0.13747401535511017,0.8108974099159241,0.006567081087268889
pneumonia,convnext,524,624,0.15889992783857293,2.6717747284418114,0.09586822986602783,0.09586814045906067,0.8942307829856873,0.0065825049532577395
pneumonia,resnet50,524,624,0.1336198180921758,4.391978174408801,0.08073019981384277,0.08073011040687561,0.9230769276618958,0.006585814990103245
pneumonia,vit,524,624,0.24661764432034636,0.43656640700042587,0.12904642522335052,0.12908339500427246,0.8349359035491943,0.006481048068962991
