dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
c10,densenet40,5000,10000,0.020015954971313477,0.049739789217710495,0.005740360822528601,0.008362054824829102,0.9891999959945679,3.619214091449976
c10,lenet5,5000,10000,0.07415743172168732,0.133314847946167,0.011393900960683823,0.013954244554042816,0.9517999887466431,3.899325955659151
c10,resnet_wide32,5000,10000,0.013561166822910309,0.034201402217149734,0.0026586262974888086,0.004541757982224226,0.9919000267982483,3.5665103904902935
c10,resnet110,5000,10000,0.017929593101143837,0.04674521088600159,0.003907633945345879,0.0063501810654997826,0.9901999831199646,3.5768894031643867
c10,resnet110_SD,5000,10000,0.014581065624952316,0.0355631485581398,0.0044566611759364605,0.005249358713626862,0.9919000267982483,3.600132066756487
breast,beit,78,156,0.30837398767471313,0.48590606451034546,0.08323663473129272,0.10040634870529175,0.8012820482254028,0.0032746195793151855
breast,convnext,78,156,0.21953453123569489,0.3916035592556,0.06902559101581573,0.080388642847538,0.8782051205635071,0.001242373138666153
breast,resnet50,78,156,0.23302863538265228,1.2642312049865723,0.08538077771663666,0.09964156150817871,0.8717948794364929,0.0010199397802352905
breast,vit,78,156,0.2894033193588257,0.467349112033844,0.04577459767460823,0.06350969523191452,0.8269230723381042,0.0010902173817157745
pneumonia,beit,524,624,0.28967270255088806,0.5407652854919434,0.14496570825576782,0.14873555302619934,0.8381410241127014,0.021736353635787964
pneumonia,convnext,524,624,0.1949276179075241,0.5015454888343811,0.09662079811096191,0.09646829217672348,0.9006410241127014,0.022695764899253845
pneumonia,resnet50,524,624,0.18618281185626984,0.48425203561782837,0.09576255083084106,0.09612631797790527,0.9038461446762085,0.021647896617650986
pneumonia,vit,524,624,0.30107301473617554,0.5474386811256409,0.13856828212738037,0.1390373706817627,0.8285256624221802,0.02151331678032875
