dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
c10,densenet40,5000,10000,0.016959701034864105,0.029658005303625043,0.0019505233503878117,0.002879069186747074,0.9887999892234802,0.018641999922692776
c10,lenet5,5000,10000,0.07187233694286499,0.12420161588097303,0.00268653966486454,0.005684976931661367,0.9523000121116638,0.01476852037012577
c10,resnet_wide32,5000,10000,0.012234501286420606,0.02355234326209905,0.0013931612484157085,0.0018984689377248287,0.9927999973297119,0.018377802334725857
c10,resnet110,5000,10000,0.01618746337590549,0.03937723465478075,0.0017786679090932012,0.002806219272315502,0.9904000163078308,0.018576083704829216
c10,resnet110_SD,5000,10000,0.01269467910687274,0.02316703846710836,0.001178250415250659,0.0028500566259026527,0.9921000003814697,0.016064814291894436
breast,beit,78,156,0.28874360502873575,0.8520083085760926,0.0609123595058918,0.07799800485372543,0.7884615659713745,0.004160248674452305
breast,convnext,78,156,0.1796247276613846,0.4026117767334186,0.026606274768710136,0.05877820402383804,0.8717948794364929,0.005718061700463295
breast,resnet50,78,156,0.17859980671414233,0.5059375977666374,0.05908279865980148,0.08656047284603119,0.8846153616905212,0.0037146983668208122
breast,vit,78,156,0.2680412695328979,0.43081399392050274,0.02432936429977417,0.08393710851669312,0.8205128312110901,0.005300896242260933
pneumonia,beit,524,624,0.2454873288589327,0.4429461182356583,0.1392127275466919,0.1392127126455307,0.8269230723381042,0.006111621856689453
pneumonia,convnext,524,624,0.15218504495037494,0.39613532354009995,0.09410208463668823,0.09410075843334198,0.9022436141967773,0.005871957167983055
pneumonia,resnet50,524,624,0.13525900179083683,1.7450454589723712,0.0819891095161438,0.0831804871559143,0.9198718070983887,0.0055612837895751
pneumonia,vit,524,624,0.24517655685657325,0.4191971058574377,0.1281597763299942,0.12718215584754944,0.8301281929016113,0.006573333404958248
