dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
c10,densenet40,5000,10000,0.022831499004836615,0.045720400763690244,0.002528654644265771,0.0017709261737763882,0.9878000020980835,0.015462871640920639
c10,lenet5,5000,10000,0.07847337660388438,0.1349285329534162,0.0027986448258161545,0.002806250471621752,0.95169997215271,0.010857980698347092
c10,resnet_wide32,5000,10000,0.01695023627616636,0.041529376141865394,0.0011360816424712539,0.0016138408100232482,0.9911999702453613,0.010640382766723633
c10,resnet110,5000,10000,0.02199232088352781,0.045649730027294805,0.0026872495654970407,0.002724339719861746,0.9883000254631042,0.012109614908695221
c10,resnet110_SD,5000,10000,0.01758570233135991,0.036906174113360904,0.0021284017711877823,0.0017319244798272848,0.9907000064849854,0.011187046766281128
breast,beit,78,156,0.29201453897332813,0.46175482602527096,0.07704883068799973,0.07826442271471024,0.7948718070983887,0.0029152855277061462
breast,convnext,78,156,0.17328834889739836,0.3140416319097171,0.017420805990695953,0.04717022925615311,0.8525640964508057,0.0029907897114753723
breast,resnet50,78,156,0.1709363831470553,0.39360099305779545,0.049738265573978424,0.06405417621135712,0.9038461446762085,0.002918388694524765
breast,vit,78,156,0.2724103178892788,0.4379418026660458,0.03013097494840622,0.03705071657896042,0.8269230723381042,0.0028345435857772827
pneumonia,beit,524,624,0.25291260085587763,0.42278041278911815,0.13952672481536865,0.13947200775146484,0.7403846383094788,0.004160046577453613
pneumonia,convnext,524,624,0.1550882116107076,0.3367589275900942,0.10984104871749878,0.10984105616807938,0.9519230723381042,0.0038897059857845306
pneumonia,resnet50,524,624,0.15849041180249307,0.35884020916682857,0.11973220109939575,0.11968531459569931,0.9551281929016113,0.0036459192633628845
pneumonia,vit,524,624,0.2388208664236366,0.4207982261863881,0.12216497212648392,0.12210580706596375,0.875,0.004431728273630142
