dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
c10,densenet40,5000,10000,0.01707934628295246,0.030151268128659956,0.002459158655256033,0.0032734146807342768,0.9890999794006348,1.3486541472375393
c10,lenet5,5000,10000,0.07182617993099537,0.12438612942675359,0.002437423449009657,0.0053139966912567616,0.9527000188827515,1.4383104518055916
c10,resnet_wide32,5000,10000,0.012421090784183964,0.02468841837355714,0.001594573026522994,0.002636826364323497,0.9926000237464905,1.2082202062010765
c10,resnet110,5000,10000,0.016288436409426014,0.04272224023120219,0.0023552323691546917,0.0036323522217571735,0.9901999831199646,1.3457971960306168
c10,resnet110_SD,5000,10000,0.012848860942500675,0.024095519683670824,0.002654620911926031,0.0038299504667520523,0.9919000267982483,0.9910154920071363
breast,beit,78,156,0.3047851499330715,0.5711693029208701,0.08780917525291443,0.10522013902664185,0.7564102411270142,0.24151924438774586
breast,convnext,78,156,0.19612193419283772,1.4234552971375225,0.02420787513256073,0.05033821985125542,0.8782051205635071,0.21176499128341675
breast,resnet50,78,156,0.19566690897634018,1.1241356809881626,0.06753216683864594,0.10101928561925888,0.8846153616905212,0.23417344875633717
breast,vit,78,156,0.2681585916086159,0.41723378268477757,0.025441370904445648,0.05922282487154007,0.8205128312110901,0.29107658192515373
pneumonia,beit,524,624,0.22568406555675255,0.5107601380792076,0.13284482061862946,0.13260577619075775,0.8669871687889099,0.4142039157450199
pneumonia,convnext,524,624,0.1525110963682777,0.4188621563344469,0.09361982345581055,0.09361942112445831,0.9022436141967773,0.341046791523695
pneumonia,resnet50,524,624,0.1560358842458038,3.299395070935194,0.09385430812835693,0.09436282515525818,0.9054487347602844,0.34696313738822937
pneumonia,vit,524,624,0.2405836805905172,0.4118080778444075,0.12669838964939117,0.12535448372364044,0.8269230723381042,0.3941349033266306
