dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
c10,densenet40,5000,10000,0.017040432190509058,0.030731787059673377,0.0019517629407346249,0.003066772362217307,0.9886999726295471,0.06762982159852982
c10,lenet5,5000,10000,0.07247701510888348,0.12621899235859876,0.004701084457337856,0.009276282042264938,0.9526000022888184,0.08924560248851776
c10,resnet_wide32,5000,10000,0.013259971662584817,0.025487987171832427,0.002860875567421317,0.004517535213381052,0.9919000267982483,0.06976433470845222
c10,resnet110,5000,10000,0.016562246346078183,0.032569252453562056,0.0016715261153876781,0.004115599673241377,0.989300012588501,0.05894295126199722
c10,resnet110_SD,5000,10000,0.012965909672476794,0.024843540313540694,0.0029013226740062237,0.005275405943393707,0.9921000003814697,0.0692300871014595
breast,beit,78,156,0.2815072239900366,0.4330915095535525,0.03502700477838516,0.05958133563399315,0.7948718070983887,0.0012507736682891846
breast,convnext,78,156,0.191144343204694,0.32592476621940514,0.04924780875444412,0.08346167206764221,0.8782051205635071,0.0011757314205169678
breast,resnet50,78,156,0.163636114614563,0.2882287396893341,0.040483202785253525,0.04341340437531471,0.8974359035491943,0.0017237067222595215
breast,vit,78,156,0.26966211562770975,0.43243188438129376,0.029535308480262756,0.07820058614015579,0.8269230723381042,0.0012078918516635895
pneumonia,beit,524,624,0.23613177115161504,0.4141864668108333,0.13405722379684448,0.13464204967021942,0.8125,0.0030398815870285034
pneumonia,convnext,524,624,0.14483114783395776,0.280694999988031,0.0992392897605896,0.09920930862426758,0.8942307829856873,0.004565555602312088
pneumonia,resnet50,524,624,0.1309352175698649,0.2720302090210064,0.09467267990112305,0.0945558026432991,0.9310897588729858,0.004877511411905289
pneumonia,vit,524,624,0.23819917973503116,0.4030858484939696,0.12367726117372513,0.12446403503417969,0.8237179517745972,0.003663890063762665
