dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
c10,densenet40,5000,10000,10,0.1273791640996933,0.43005889654159546,0.05500683933496475,0.9241999983787537,0
c10,lenet5,5000,10000,10,0.3787994384765625,0.8232608437538147,0.05180139094591141,0.727400004863739,0
c10,resnet_wide32,5000,10000,10,0.10466188937425613,0.3820893168449402,0.045057687908411026,0.939300000667572,0
c10,resnet110,5000,10000,10,0.11018866300582886,0.3582741320133209,0.047509852796792984,0.9355999827384949,0
c10,resnet110_SD,5000,10000,10,0.09813889861106873,0.30493855476379395,0.04112934321165085,0.9404000043869019,0
c100,densenet40,5000,10000,100,0.49066153168678284,2.0182433128356934,0.21156086027622223,0.699999988079071,0
c100,lenet5,5000,10000,100,0.8128013610839844,2.7836480140686035,0.12124697118997574,0.3359000086784363,0
c100,resnet_wide32,5000,10000,100,0.4320349097251892,1.802246332168579,0.18783681094646454,0.7382000088691711,0
c100,resnet110,5000,10000,100,0.4533301889896393,1.6937118768692017,0.18480461835861206,0.7148000001907349,0
c100,resnet110_SD,5000,10000,100,0.41840362548828125,1.3525028228759766,0.1586080938577652,0.7282999753952026,0
birds,resnet50,2897,2897,200,0.36695027351379395,0.9859217405319214,0.023534242063760757,0.7314463257789612,0
SVHN,resnet152_SD,6000,26032,10,0.029705096036195755,0.08542276918888092,0.008693288080394268,0.9815227389335632,0
derma,beit,1003,2005,7,0.4268999397754669,1.9443243741989136,0.19335319101810455,0.7496259212493896,0
derma,convnext,1003,2005,7,0.20790648460388184,0.9443542957305908,0.09905004501342773,0.8827930092811584,0
derma,resnet50,1003,2005,7,0.21706639230251312,0.9176174402236938,0.09692442417144775,0.8763092160224915,0
derma,vit,1003,2005,7,0.4958854615688324,2.6501450538635254,0.2335936427116394,0.7201995253562927,0
oct,beit,10832,1000,4,0.492613285779953,1.95890212059021,0.23547883331775665,0.7260000109672546,0
oct,convnext,10832,1000,4,0.19663481414318085,0.40079444646835327,0.06235511973500252,0.8769999742507935,0
oct,resnet50,10832,1000,4,0.22906915843486786,0.7706779837608337,0.10814712196588516,0.8740000128746033,0
oct,vit,10832,1000,4,0.5472816228866577,2.4066879749298096,0.2547246813774109,0.699999988079071,0
