dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
c10,densenet40,5000,10000,10,0.11151164341404442,0.3416564994412251,0.02003469131886959,0.9243999719619751,0.04018068686127663
c10,lenet5,5000,10000,10,0.3604694501658782,0.8325497855831725,0.022761303931474686,0.7426000237464905,0.043314921669662
c10,resnet_wide32,5000,10000,10,0.09109556113617576,0.2933861928603359,0.01430201530456543,0.9401999711990356,0.03740138188004494
c10,resnet110,5000,10000,10,0.09828847052719777,0.34695944093599135,0.017629075795412064,0.9363999962806702,0.03893654141575098
c10,resnet110_SD,5000,10000,10,0.0881612875341883,0.3502247068737653,0.012429505586624146,0.941100001335144,0.03683158569037914
c100,densenet40,5000,10000,100,0.41530200590753646,2.198602304784187,0.08181507885456085,0.7020000219345093,0.3703469270840287
c100,lenet5,5000,10000,100,0.7820181853442085,3.846501591719851,0.04649988189339638,0.358599990606308,0.3882103292271495
c100,resnet_wide32,5000,10000,100,0.3679623588028542,2.2598628453145,0.08664213120937347,0.7396000027656555,0.3635693555697799
c100,resnet110,5000,10000,100,0.4025362841846183,2.543267521560511,0.07881401479244232,0.715499997138977,0.3769058361649513
c100,resnet110_SD,5000,10000,100,0.37176358853571456,2.1285715292560563,0.068492092192173,0.7329000234603882,0.36322836950421333
birds,resnet50,2897,2897,200,0.37460937636160074,4.970604747479832,0.05449140816926956,0.7273041009902954,0.5177456215023994
SVHN,resnet152_SD,6000,26032,10,0.02927777580676203,0.14273110377522893,0.0021684232633560896,0.9814843535423279,0.049394949339330196
derma,beit,1003,2005,7,0.3542243647231736,1.6088098365095682,0.03924793750047684,0.7531172037124634,0.018069046549499035
derma,convnext,1003,2005,7,0.16780553123892444,0.6970582308738599,0.028387803584337234,0.8882793188095093,0.016233263537287712
derma,resnet50,1003,2005,7,0.18202743821913236,0.7371251618421073,0.0364840067923069,0.8793017268180847,0.016205647960305214
derma,vit,1003,2005,7,0.39249291763760435,1.198071761148782,0.07934370636940002,0.7236907482147217,0.015929091721773148
oct,beit,10832,1000,4,0.389962404026018,0.7954108796142224,0.15732426941394806,0.734000027179718,0.02298804000020027
oct,convnext,10832,1000,4,0.18187147921837932,0.37758300904212494,0.07072106003761292,0.8769999742507935,0.020914926193654537
oct,resnet50,10832,1000,4,0.20307247862956213,0.6361133704880361,0.07370724529027939,0.8769999742507935,0.020055308938026428
oct,vit,10832,1000,4,0.45630673886680584,0.914199204117287,0.16206718981266022,0.6990000009536743,0.04377488046884537
