dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
c10,densenet40,5000,10000,10,0.11117969342542647,0.2240631075048841,0.012097761034965515,0.9243000149726868,13.959952828940004
c10,lenet5,5000,10000,10,0.3519259827691026,0.7469266053079279,0.011570055037736893,0.7468000054359436,4.519947882043198
c10,resnet_wide32,5000,10000,10,0.09283173607192324,0.18996251793893013,0.01062498614192009,0.9391000270843506,6.252895161975175
c10,resnet110,5000,10000,10,0.10064777025483843,0.20934740447765457,0.01403890922665596,0.9325000047683716,5.679810268920846
c10,resnet110_SD,5000,10000,10,0.08898003161779845,0.18389766589734213,0.008960196748375893,0.9394000172615051,4.524782822001725
c100,densenet40,5000,10000,100,0.6611588138050936,3.092404684443452,0.2836543917655945,0.6057999730110168,306.90877024794463
c100,lenet5,5000,10000,100,0.8373350603694578,2.9492828411272862,0.1504572331905365,0.32580000162124634,89.75952623307239
c100,resnet_wide32,5000,10000,100,0.5401749111254913,2.3453182781881803,0.2247702181339264,0.6675000190734863,633.5491188209271
c100,resnet110,5000,10000,100,0.5529118720085174,2.0942480977503393,0.20770440995693207,0.6402999758720398,209.878280577017
c100,resnet110_SD,5000,10000,100,0.6017344435915931,2.5540859240252685,0.2576049268245697,0.6319000124931335,463.51257605606224
birds,resnet50,2897,2897,200,0.4234770814023964,1.63060342833457,0.1386270523071289,0.7210907936096191,707.4296224319842
SVHN,resnet152_SD,6000,26032,10,0.03107197065643967,0.08686416684878416,0.005751872435212135,0.9807544350624084,9.511350092012435
derma,beit,1003,2005,7,0.3604610619250668,0.7770996355155874,0.03245582431554794,0.7421446442604065,9.570251333992928
derma,convnext,1003,2005,7,0.16621963405307966,0.3635463248903963,0.013420602306723595,0.8872817754745483,1.3458908199099824
derma,resnet50,1003,2005,7,0.17898954881606058,0.36596514723355894,0.01709200255572796,0.8768079876899719,1.4969110740348697
derma,vit,1003,2005,7,0.37411510626687644,0.7753466381801086,0.03454093635082245,0.7321695685386658,1.2671211919514462
oct,beit,10832,1000,4,0.35529389211261797,0.6758832242558411,0.13329289853572845,0.7570000290870667,9.937961195013486
oct,convnext,10832,1000,4,0.17277096885376378,0.34541079272610237,0.04500069469213486,0.8960000276565552,0.8329347659600899
oct,resnet50,10832,1000,4,0.1880978542221809,0.38744163748564997,0.06624002009630203,0.878000020980835,0.9959458439843729
oct,vit,10832,1000,4,0.43431899942536106,0.8349367250482187,0.14147543907165527,0.7120000123977661,1.4479725810233504
