dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
c10,densenet40,5000,10000,10,0.11028447396034863,0.22693306291097357,0.010779432021081448,0.9241999983787537,0.0540306493639946
c10,lenet5,5000,10000,10,0.37467236323797587,0.8012395600880418,0.014849329367280006,0.727400004863739,0.05005389824509621
c10,resnet_wide32,5000,10000,10,0.0923602388181924,0.192281501914465,0.006988729350268841,0.939300000667572,0.04693283885717392
c10,resnet110,5000,10000,10,0.09759006200127221,0.2089327789824309,0.005814353935420513,0.9355999827384949,0.02629048004746437
c10,resnet110_SD,5000,10000,10,0.08737370850849359,0.17735559833241868,0.0043553998693823814,0.9404000043869019,0.020130585879087448
c100,densenet40,5000,10000,100,0.40083580895192217,1.0577773082172675,0.010402467101812363,0.699999988079071,0.29748864844441414
c100,lenet5,5000,10000,100,0.7921542943510376,2.6495010013490403,0.012998458929359913,0.3359000086784363,0.2166207879781723
c100,resnet_wide32,5000,10000,100,0.3548353174907536,0.9523028250777427,0.0126822954043746,0.7382000088691711,0.3054041117429733
c100,resnet110,5000,10000,100,0.39166757330269597,1.1002398310519281,0.016740288585424423,0.7148000001907349,0.28955747559666634
c100,resnet110_SD,5000,10000,100,0.3670971461560177,0.9443059601723726,0.015581796877086163,0.7282999753952026,0.20977619290351868
birds,resnet50,2897,2897,200,0.36697895484700543,0.9844595780009184,0.017426572740077972,0.7314463257789612,0.1886722929775715
SVHN,resnet152_SD,6000,26032,10,0.02936407809211469,0.08077631116016883,0.010231993161141872,0.9815227389335632,0.03550508990883827
derma,beit,1003,2005,7,0.3503561921328943,0.7432713849893889,0.02903137169778347,0.7496259212493896,0.014424968510866165
derma,convnext,1003,2005,7,0.1685425746482538,0.3654858271054768,0.01684698276221752,0.8827930092811584,0.009945333003997803
derma,resnet50,1003,2005,7,0.18251197163119445,0.3900572842698946,0.027127647772431374,0.8763092160224915,0.014735858887434006
derma,vit,1003,2005,7,0.38061741243745484,0.80701093113246,0.04331532120704651,0.7201995253562927,0.011787060648202896
oct,beit,10832,1000,4,0.4178146664896333,0.8454853150819961,0.15991488099098206,0.7260000109672546,0.04113718867301941
oct,convnext,10832,1000,4,0.19376792296488743,0.37669217881388967,0.05593313276767731,0.8769999742507935,0.025815479457378387
oct,resnet50,10832,1000,4,0.20741173674089025,0.44784723709666663,0.07583922147750854,0.8740000128746033,0.03751383349299431
oct,vit,10832,1000,4,0.4575642676893679,0.8887039198851292,0.15752823650836945,0.699999988079071,0.054027777165174484
