dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
c10,densenet40,5000,10000,10,0.125675894775874,0.3721938749120352,0.015160895884037018,0.921500027179718,0.017872055061161518
c10,lenet5,5000,10000,10,0.3706947367194471,0.8777922638775378,0.02178330346941948,0.7369999885559082,0.016586598940193653
c10,resnet_wide32,5000,10000,10,0.1020937927472932,0.32183886936896205,0.009072331711649895,0.9376000165939331,0.016650618985295296
c10,resnet110,5000,10000,10,0.11055319428550024,0.40594738243299666,0.008545293472707272,0.9312000274658203,0.0168495774269104
c10,resnet110_SD,5000,10000,10,0.09939293657456595,0.270141109638059,0.009479657746851444,0.9359999895095825,0.01671899762004614
c100,densenet40,5000,10000,100,0.6900899553793329,2.2988886921223397,0.02936241775751114,0.3149999976158142,0.17756005469709635
c100,lenet5,5000,10000,100,0.8797742119245698,4.915981296487992,0.03823866695165634,0.14949999749660492,0.17088843882083893
c100,resnet_wide32,5000,10000,100,0.6214794315943937,2.2725337708031788,0.02623249590396881,0.3799000084400177,0.1671566665172577
c100,resnet110,5000,10000,100,0.6323756386805042,2.7647767765900304,0.024548128247261047,0.38269999623298645,0.1662827841937542
c100,resnet110_SD,5000,10000,100,0.6899941289287108,2.2383729871167883,0.02726058103144169,0.30979999899864197,0.1655467487871647
birds,resnet50,2897,2897,200,0.8818877097107294,3.328757961578711,0.04744051769375801,0.10769762098789215,0.19768874906003475
SVHN,resnet152_SD,6000,26032,10,0.03498159177069398,0.20900120726825624,0.013863875530660152,0.9802935123443604,0.031390619464218616
derma,beit,1003,2005,7,0.3583947003464263,1.5015069759837611,0.020159905776381493,0.7396508455276489,0.005605843849480152
derma,convnext,1003,2005,7,0.1857084716531721,0.7680906341879734,0.016338394954800606,0.8753117322921753,0.005282780155539513
derma,resnet50,1003,2005,7,0.19945263667369434,0.8215001166753375,0.025030924007296562,0.8703241944313049,0.005351380445063114
derma,vit,1003,2005,7,0.38846735383586645,1.7195110551428638,0.04722978547215462,0.7172069549560547,0.005259087309241295
oct,beit,10832,1000,4,0.38738144141684766,1.038027718060642,0.2108294516801834,0.7789999842643738,0.007853040471673012
oct,convnext,10832,1000,4,0.21809953932623524,0.5412822373088867,0.1320725530385971,0.906000018119812,0.007735231891274452
oct,resnet50,10832,1000,4,0.2287173807310706,0.7160960009955463,0.1369057148694992,0.902999997138977,0.007776827551424503
oct,vit,10832,1000,4,0.4516226302421558,0.948998398314212,0.22300387918949127,0.7400000095367432,0.00784951914101839
