dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
c10,densenet40,5000,10000,10,0.13831645250320435,0.39122268557548523,0.047159865498542786,0.9240999817848206,12.862962640821934
c10,lenet5,5000,10000,10,0.41505107283592224,0.9424049854278564,0.12148011475801468,0.723800003528595,13.055732555687428
c10,resnet_wide32,5000,10000,10,0.1101655513048172,0.3148634135723114,0.031559571623802185,0.9395999908447266,12.831524956971407
c10,resnet110,5000,10000,10,0.1181798130273819,0.3576193153858185,0.03734498843550682,0.9355999827384949,13.03736662864685
c10,resnet110_SD,5000,10000,10,0.10849317908287048,0.3112097382545471,0.03559214994311333,0.940500020980835,13.039707448333502
c100,densenet40,5000,10000,100,0.4521625339984894,1.6679192781448364,0.07476656883955002,0.701200008392334,129.46940098330379
c100,lenet5,5000,10000,100,0.811742901802063,2.813657760620117,0.013844572007656097,0.3041999936103821,128.33215325698256
c100,resnet_wide32,5000,10000,100,0.40197643637657166,1.484296202659607,0.08100652694702148,0.7383000254631042,127.43101423978806
c100,resnet110,5000,10000,100,0.4235627055168152,1.4547717571258545,0.07849086076021194,0.7163000106811523,127.73936146870255
c100,resnet110_SD,5000,10000,100,0.40171942114830017,1.2561203241348267,0.0825687050819397,0.7263000011444092,128.0571659989655
birds,resnet50,2897,2897,200,0.3835977613925934,1.0255435705184937,0.07063181698322296,0.7245426177978516,43.05665561184287
SVHN,resnet152_SD,6000,26032,10,0.03383433446288109,0.1544533222913742,0.00798845011740923,0.9815227389335632,36.91383746638894
derma,beit,1003,2005,7,0.3894704282283783,1.0026816129684448,0.06966131180524826,0.7501246929168701,0.3594444915652275
derma,convnext,1003,2005,7,0.2125249207019806,0.606613278388977,0.04875187575817108,0.8817955255508423,0.3952072970569134
derma,resnet50,1003,2005,7,0.2228185385465622,0.5774776935577393,0.08866181969642639,0.8733167052268982,0.39549989253282547
derma,vit,1003,2005,7,0.4355771839618683,1.0256060361862183,0.09375923871994019,0.7201995253562927,0.3708100952208042
oct,beit,10832,1000,4,0.5099677443504333,1.124325156211853,0.23215414583683014,0.7269999980926514,1.408439863473177
oct,convnext,10832,1000,4,0.21557751297950745,0.5290238261222839,0.09053964167833328,0.878000020980835,1.431482657790184
oct,resnet50,10832,1000,4,0.24217091500759125,0.6151098608970642,0.11194483190774918,0.875,1.4191145859658718
oct,vit,10832,1000,4,0.5596991181373596,1.2304108142852783,0.2536933422088623,0.699999988079071,1.3805636055767536
