dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
c10,densenet40,5000,10000,10,0.1106281177901294,0.23453879470351577,0.013905486091971397,0.9243000149726868,9.16133688390255
c10,lenet5,5000,10000,10,0.36068539348546264,0.7679556351751091,0.020800001919269562,0.7412999868392944,10.580025950446725
c10,resnet_wide32,5000,10000,10,0.09042337746429731,0.18920641122039752,0.00868090707808733,0.941100001335144,10.59280883334577
c10,resnet110,5000,10000,10,0.09770344582681632,0.21607845862016428,0.011820743791759014,0.9352999925613403,12.555075500160456
c10,resnet110_SD,5000,10000,10,0.087416291209845,0.19059702356983588,0.008600207045674324,0.9415000081062317,9.761223271489143
c100,densenet40,5000,10000,100,0.40635915372278947,1.1310153147697812,0.04470675811171532,0.7021999955177307,64.57890988886356
c100,lenet5,5000,10000,100,0.7799354351500096,2.6161829243409933,0.027620960026979446,0.3564000129699707,95.57899412885308
c100,resnet_wide32,5000,10000,100,0.3597508490774537,1.0394205422286562,0.04892277717590332,0.7407000064849854,66.77904187515378
c100,resnet110,5000,10000,100,0.3972514004550128,1.2231679381180072,0.05475805699825287,0.7157999873161316,88.32473824173212
c100,resnet110_SD,5000,10000,100,0.3678286843212533,1.0090829697970458,0.03922796621918678,0.7329999804496765,75.51087140105665
birds,resnet50,2897,2897,200,0.3672483694632807,1.1142982919409103,0.03436098247766495,0.7304107546806335,88.36415373533964
SVHN,resnet152_SD,6000,26032,10,0.029530943567651506,0.08357509540483948,0.008600889705121517,0.9815227389335632,13.103572556748986
derma,beit,1003,2005,7,0.34928072015748174,0.7724849155030525,0.03405991941690445,0.7496259212493896,2.807342279702425
derma,convnext,1003,2005,7,0.16780013373716865,0.3777630785875967,0.01727926917374134,0.8832917809486389,2.5616851411759853
derma,resnet50,1003,2005,7,0.1804323191213303,0.42405779841619173,0.02171787992119789,0.8773067593574524,2.861440757289529
derma,vit,1003,2005,7,0.3806130232539503,0.886347824449224,0.05188485234975815,0.723192036151886,3.360642796382308
oct,beit,10832,1000,4,0.38664714482376095,0.7798275937663222,0.1576683074235916,0.7319999933242798,9.885120308026671
oct,convnext,10832,1000,4,0.18277568567410934,0.3674781872885371,0.0553661584854126,0.8840000033378601,8.041440013796091
oct,resnet50,10832,1000,4,0.2039052869722917,0.43942457569590043,0.07412060350179672,0.8740000128746033,7.956172794103622
oct,vit,10832,1000,4,0.4526768699031461,0.8757123060434385,0.15516765415668488,0.7059999704360962,8.360353400930762
