dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
c10,densenet40,5000,10000,10,0.10997487604618073,0.22508591413497925,0.009467674419283867,0.9241999983787537,0.05468827113509178
c10,lenet5,5000,10000,10,0.3747604787349701,0.8003112077713013,0.01665325276553631,0.727400004863739,0.03996562585234642
c10,resnet_wide32,5000,10000,10,0.09237325936555862,0.19148239493370056,0.007841610349714756,0.939300000667572,0.03953655809164047
c10,resnet110,5000,10000,10,0.09785229712724686,0.20926125347614288,0.011322797276079655,0.9355999827384949,0.03964796103537083
c10,resnet110_SD,5000,10000,10,0.08737147599458694,0.17760488390922546,0.005559754557907581,0.9404000043869019,0.03927582688629627
c100,densenet40,5000,10000,100,0.4008878171443939,1.0571315288543701,0.009020216763019562,0.699999988079071,0.0543846907094121
c100,lenet5,5000,10000,100,0.7924630641937256,2.6497914791107178,0.014989297837018967,0.3359000086784363,0.04504896141588688
c100,resnet_wide32,5000,10000,100,0.3547716736793518,0.9445256590843201,0.014721609652042389,0.7382000088691711,0.045264686457812786
c100,resnet110,5000,10000,100,0.3918597400188446,1.0916913747787476,0.02379683218896389,0.7148000001907349,0.046272280625998974
c100,resnet110_SD,5000,10000,100,0.3668641149997711,0.9421415328979492,0.012139475904405117,0.7282999753952026,0.04492598120123148
birds,resnet50,2897,2897,200,0.36693593859672546,0.9862083792686462,0.016870107501745224,0.7314463257789612,0.054240161553025246
SVHN,resnet152_SD,6000,26032,10,0.0291448961943388,0.07860877364873886,0.006068041548132896,0.9815227389335632,0.05030620377510786
derma,beit,1003,2005,7,0.35116711258888245,0.7571622729301453,0.036724019795656204,0.7496259212493896,0.008204548619687557
derma,convnext,1003,2005,7,0.16863968968391418,0.3638286888599396,0.01530774962157011,0.8827930092811584,0.007873467169702053
derma,resnet50,1003,2005,7,0.18316304683685303,0.40189918875694275,0.027426457032561302,0.8763092160224915,0.007837111130356789
derma,vit,1003,2005,7,0.3785906732082367,0.8093910813331604,0.034161895513534546,0.7201995253562927,0.007844449952244759
oct,beit,10832,1000,4,0.41705024242401123,0.8496154546737671,0.15900492668151855,0.7260000109672546,0.03970798756927252
oct,convnext,10832,1000,4,0.1941530704498291,0.3796473443508148,0.05552185699343681,0.8769999742507935,0.040402754209935665
oct,resnet50,10832,1000,4,0.20727382600307465,0.45814430713653564,0.07606431841850281,0.8740000128746033,0.04504385869950056
oct,vit,10832,1000,4,0.4535492956638336,0.9027357697486877,0.15267936885356903,0.699999988079071,0.04084332659840584
