dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
c10,densenet40,5000,10000,10,0.1164841428399086,0.2864302098751068,0.04453510791063309,0.9212999939918518,0.36456797644495964
c10,lenet5,5000,10000,10,0.3594467341899872,0.8089454770088196,0.0532168485224247,0.744700014591217,0.3530074432492256
c10,resnet_wide32,5000,10000,10,0.09526830166578293,0.24435704946517944,0.0499267540872097,0.9383999705314636,0.3299286924302578
c10,resnet110,5000,10000,10,0.10247940570116043,0.25901371240615845,0.04980066418647766,0.934499979019165,0.34842388331890106
c10,resnet110_SD,5000,10000,10,0.0942232757806778,0.23932905495166779,0.05087669566273689,0.9380000233650208,0.33352040499448776
c100,densenet40,5000,10000,100,0.4265293478965759,1.2420742511749268,0.03417498245835304,0.684499979019165,15.269378516823053
c100,lenet5,5000,10000,100,0.7945529818534851,2.725104570388794,0.01861465536057949,0.337799996137619,17.04087445512414
c100,resnet_wide32,5000,10000,100,0.37254172563552856,1.115520715713501,0.03436426445841789,0.7253000140190125,15.054690945893526
c100,resnet110,5000,10000,100,0.41037696599960327,1.2432185411453247,0.036643825471401215,0.6967999935150146,15.52046713232994
c100,resnet110_SD,5000,10000,100,0.3850628435611725,1.1309272050857544,0.033536527305841446,0.7185999751091003,15.134650405496359
birds,resnet50,2897,2897,200,0.4516606330871582,1.3054828643798828,0.16452936828136444,0.6934760212898254,37.26302359998226
SVHN,resnet152_SD,6000,26032,10,0.03443477675318718,0.1288842409849167,0.05918494239449501,0.9810617566108704,0.43190445750951767
derma,beit,1003,2005,7,0.36171063780784607,0.7579447627067566,0.03491221368312836,0.7461346387863159,0.10371211916208267
derma,convnext,1003,2005,7,0.17081698775291443,0.3670286238193512,0.023199358955025673,0.8832917809486389,0.1017407737672329
derma,resnet50,1003,2005,7,0.18460778892040253,0.3909596800804138,0.029799293726682663,0.8718204498291016,0.10065896064043045
derma,vit,1003,2005,7,0.3797818720340729,0.7843836545944214,0.0426635816693306,0.7276808023452759,0.10701797157526016
oct,beit,10832,1000,4,0.37248510122299194,0.7318792939186096,0.11186162382364273,0.7490000128746033,0.1483556032180786
oct,convnext,10832,1000,4,0.18062858283519745,0.38628703355789185,0.035246506333351135,0.8809999823570251,0.14866137132048607
oct,resnet50,10832,1000,4,0.1968654841184616,0.4256119132041931,0.03260337561368942,0.8730000257492065,0.15017826110124588
oct,vit,10832,1000,4,0.4352547228336334,0.848548948764801,0.1198645755648613,0.703000009059906,0.15111080929636955
