dataset,model,cal_size,test_size,Affine_brier,Affine_logloss,Affine_kuiper,Affine_ece-15,Affine_accuracy,Affine_time
APSFailure,TabPFN-v2.6,50666,25334,0.008512514599993061,0.015774496866153277,0.0010050194105133414,0.001787120127119124,0.9944343566894531,0.02797374129295349
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08129151070750751,0.15628333941485098,0.003726113587617874,0.006047789938747883,0.9488235712051392,0.01223815605044365
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19615947468796896,0.32118843830920674,0.007186887785792351,0.01705165207386017,0.8680263757705688,0.00545649416744709
Bioresponse,TabPFN-v2.6,2500,1251,0.2705180558196461,0.4195107030957629,0.022604361176490784,0.035128623247146606,0.8081534504890442,0.0033907322213053703
Diabetes130US,TabPFN-v2.6,47678,23840,0.1532059694033328,0.27918676269896336,0.0027160905301570892,0.0032958576921373606,0.9120385646820068,0.028019187040627003
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35468094849747006,0.4956801435867453,0.012870803475379944,0.007579709403216839,0.6874829530715942,0.006501754745841026
Fitness_Club,TabPFN-v2.6,1000,500,0.3131565465699153,0.4764261212049732,0.021803447976708412,0.04615571349859238,0.7760000228881836,0.002984018065035343
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09741429436442804,0.17544267329003524,0.001301836222410202,0.003042676253244281,0.9378799796104431,0.05307335313409567
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26826694321701966,0.4231744251424013,0.008406691253185272,0.01193070039153099,0.8061384558677673,0.0077662039548158646
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18831105683669916,0.3189299913039014,0.014244040474295616,0.036727096885442734,0.886956512928009,0.0032514147460460663
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13087712866475518,0.21095182818980548,0.014904793351888657,0.03110319748520851,0.9076305031776428,0.0028805481269955635
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08290210385956541,0.14091749250690053,0.006334786303341389,0.011009515263140202,0.9443331956863403,0.003931482322514057
bank-marketing,TabPFN-v2.6,30140,15071,0.1718334205134673,0.299273166363345,0.003860101103782654,0.00893861148506403,0.8938358426094055,0.016767628490924835
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.31070991702094275,0.4918707910463845,0.04491591453552246,0.09342928975820541,0.7760000228881836,0.0025117602199316025
churn,TabPFN-v2.6,3333,1667,0.057568329964109655,0.1212184274772043,0.008858460932970047,0.013208827003836632,0.9640071988105774,0.0035600075498223305
