dataset,model,cal_size,test_size,BBQ_brier,BBQ_logloss,BBQ_kuiper,BBQ_ece-15,BBQ_accuracy,BBQ_time
APSFailure,TabPFN-v2.6,50666,25334,0.008640335095908653,0.017886248002562458,0.0007908202242106199,0.0013983346289023757,0.9940396547317505,1.783178212121129
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.0813777838389203,0.15726144511537477,0.010580956935882568,0.007539202459156513,0.9490982294082642,0.8605214431881905
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1981671621046311,0.32733386123901076,0.012536779046058655,0.015676209703087807,0.8638272285461426,0.2561952006071806
Bioresponse,TabPFN-v2.6,2500,1251,0.2775260560653962,0.43441677624396874,0.02713659405708313,0.022433025762438774,0.8033573031425476,0.10568598844110966
Diabetes130US,TabPFN-v2.6,47678,23840,0.1541079175857384,0.2822388377086101,0.02867814153432846,0.004728254862129688,0.9120385646820068,2.1054423647001386
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35571361146752084,0.5006947113207002,0.06975830346345901,0.021426310762763023,0.6891191601753235,0.2547040283679962
Fitness_Club,TabPFN-v2.6,1000,500,0.3134243142864698,0.4805017399019772,0.02977459318935871,0.03799346461892128,0.777999997138977,0.0506239915266633
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09762537433806387,0.17739797985121045,0.00718723563477397,0.0028140777722001076,0.9379400014877319,5.171855468302965
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26876809308658706,0.4241621262221582,0.008564487099647522,0.011783936992287636,0.8059818148612976,0.5302029903978109
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19414090618998375,0.33774972957427557,0.030574312433600426,0.015276151709258556,0.8852173686027527,0.05067971162497997
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13206995481487527,0.2226345902529205,0.01695128157734871,0.03092356212437153,0.9036144614219666,0.062074244022369385
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08529371943785072,0.14708699974780415,0.008331302553415298,0.012535830959677696,0.9431317448616028,0.1667606197297573
bank-marketing,TabPFN-v2.6,30140,15071,0.17236131652335931,0.3010326125165783,0.0047507137060165405,0.006627039518207312,0.8935040831565857,1.2896526912227273
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3046800142616374,0.47818659499423155,0.02958160638809204,0.045150913298130035,0.7919999957084656,0.03187941387295723
churn,TabPFN-v2.6,3333,1667,0.058233266969909735,0.12000032334444634,0.014406444504857063,0.014062453992664814,0.9640071988105774,0.10905966814607382
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10742604422854216,0.20927859198570606,0.02066633105278015,0.00979724619537592,0.9404398202896118,0.21447385381907225
credit-g,TabPFN-v2.6,666,334,0.3461128920562062,0.5240949277618834,0.034286897629499435,0.06296229362487793,0.7455089688301086,0.038309115916490555
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2628034435410382,0.42027589794402886,0.006381917744874954,0.010484670288860798,0.8234000205993652,0.9073053542524576
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052894809059675064,0.0866619463262932,0.0013107983395457268,0.0024466849863529205,0.96269690990448,3.8280427251011133
diabetes,TabPFN-v2.6,512,256,0.31648694136217354,0.4845714172746607,0.034391384571790695,0.06749047338962555,0.76171875,0.03418334946036339
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.070634451312451,0.1304655817335505,0.011795483529567719,0.014320427551865578,0.9537500143051147,0.061743784695863724
heloc,TabPFN-v2.6,6972,3487,0.36488427240454413,0.5450601406704263,0.013153940439224243,0.022830713540315628,0.7324347496032715,0.29521823953837156
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.30014436745585504,0.4644275098741036,0.013256318867206573,0.025918668136000633,0.7894985675811768,0.3682448035106063
jm1,TabPFN-v2.6,7256,3629,0.2577737341301531,0.4088772658078756,0.011389296501874924,0.019376980140805244,0.8219895362854004,0.28081349190324545
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03355799099396881,0.07954799222055535,0.008110802620649338,0.0004720320284832269,0.9821803569793701,1.1595335127785802
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1397882407552296,0.23089584700103483,0.010954979807138443,0.008484781719744205,0.9024330973625183,0.29273694194853306
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025303143030860203,0.0547519990340461,0.004308247473090887,0.005720228422433138,0.9852792024612427,0.11883185058832169
qsar-biodeg,TabPFN-v2.6,702,352,0.1985456060202651,0.33194475760010866,0.038882702589035034,0.04195230081677437,0.8409090638160706,0.03882273007184267
seismic-bumps,TabPFN-v2.6,1722,862,0.11242526797395445,0.21513030933625946,0.02455705590546131,0.012513340450823307,0.9338747262954712,0.0646793870255351
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04534592266854888,0.09105070313125921,0.00588627066463232,0.005798589438199997,0.9714034199714661,0.13655754644423723
