dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
APSFailure,TabPFN-v2.6,50666,25334,0.008627012372016907,0.015895090997219086,0.0012678185012191534,0.0015433619264513254,0.9944343566894531,0
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08163097500801086,0.15720222890377045,0.008622996509075165,0.00963935349136591,0.9485489130020142,0
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1965261846780777,0.32169216871261597,0.013828840106725693,0.017421286553144455,0.8677264451980591,0
Bioresponse,TabPFN-v2.6,2500,1251,0.2714555263519287,0.42099660634994507,0.028686851263046265,0.0453619658946991,0.8033573031425476,0
Diabetes130US,TabPFN-v2.6,47678,23840,0.1539793759584427,0.2807002365589142,0.014490349218249321,0.013686265796422958,0.9121224880218506,0
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35491907596588135,0.4959772825241089,0.012922003865242004,0.012393705546855927,0.6880283355712891,0
Fitness_Club,TabPFN-v2.6,1000,500,0.31572699546813965,0.4806284010410309,0.03385142609477043,0.06806667149066925,0.777999997138977,0
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09759870916604996,0.1764344573020935,0.008127957582473755,0.00856968853622675,0.9379000067710876,0
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26845139265060425,0.4235538840293884,0.014848596416413784,0.015381671488285065,0.8067647814750671,0
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1892618089914322,0.32124751806259155,0.022723115980625153,0.02719966322183609,0.8852173686027527,0
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13051000237464905,0.2082344889640808,0.016208026558160782,0.02441961131989956,0.9076305031776428,0
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08296877145767212,0.14109668135643005,0.006881631910800934,0.011204885318875313,0.9431317448616028,0
bank-marketing,TabPFN-v2.6,30140,15071,0.17247708141803741,0.3007495403289795,0.015724094584584236,0.017713217064738274,0.8937695026397705,0
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.30912551283836365,0.4957987368106842,0.03908907249569893,0.09640593826770782,0.7799999713897705,0
churn,TabPFN-v2.6,3333,1667,0.05750267207622528,0.12121372669935226,0.005924871191382408,0.011677890084683895,0.9646070599555969,0
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10567011684179306,0.20175594091415405,0.012530018575489521,0.014387738890945911,0.9401344060897827,0
credit-g,TabPFN-v2.6,666,334,0.3319651484489441,0.49997228384017944,0.034502726048231125,0.06485270708799362,0.7455089688301086,0
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2628881633281708,0.42044952511787415,0.015013237483799458,0.018719835206866264,0.8235999941825867,0
