dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
APSFailure,TabPFN-v2.6,50666,25334,0.00848161910455041,0.01574816990832868,0.0008568689227104187,0.001753292977809906,0.9944738149642944,0.035384401679039
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08116804981143222,0.1562388596417832,0.00315876305103302,0.004763592965900898,0.9488235712051392,0.01166565716266632
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1960803156562813,0.3211844271742484,0.007607575505971909,0.018402107059955597,0.8674265146255493,0.006209470331668854
Bioresponse,TabPFN-v2.6,2500,1251,0.27053972644937746,0.4195281279326599,0.022719398140907288,0.035189926624298096,0.8073540925979614,0.0039236098527908325
Diabetes130US,TabPFN-v2.6,47678,23840,0.15322235170319778,0.2791618194626005,0.0025134049355983734,0.0025981348007917404,0.9120805263519287,0.022888004779815674
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35446141889113186,0.49542321386168525,0.01204603910446167,0.0053919292986392975,0.6896646022796631,0.006129167973995209
Fitness_Club,TabPFN-v2.6,1000,500,0.3133674516079431,0.47670355957333105,0.022769249975681305,0.05037624016404152,0.7799999713897705,0.003210105001926422
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09739556847067779,0.1754381231014655,0.0011170394718647003,0.0031241506803780794,0.9379600286483765,0.05196678638458252
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2682009010345612,0.42308546026199606,0.008312463760375977,0.012644565664231777,0.8067647814750671,0.007958222180604935
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1883293247616801,0.318969345108629,0.014287713915109634,0.03625036031007767,0.886956512928009,0.004865143448114395
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13096249430310908,0.2108436096440399,0.014995649456977844,0.029769601300358772,0.9062918424606323,0.0039676278829574585
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08271450246319745,0.1411469409366783,0.005022549070417881,0.00869821012020111,0.9455346465110779,0.00574849545955658
bank-marketing,TabPFN-v2.6,30140,15071,0.17183354243771054,0.2992739676305491,0.0038701542653143406,0.008949690498411655,0.8938358426094055,0.024065770208835602
