dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
APSFailure,TabPFN-v2.6,50666,25334,0.008545414317344999,0.015919552268551785,0.0009389901533722878,0.0007712721126154065,0.9945527911186218,0.7499529309570789
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08125395041990997,0.15618095434231075,0.004101119935512543,0.006099957041442394,0.9479996562004089,0.42030513286590576
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1966769870277404,0.32214605280152964,0.0070335958153009415,0.019154835492372513,0.86652672290802,0.2576385587453842
Bioresponse,TabPFN-v2.6,2500,1251,0.2707718389814588,0.420886630960583,0.022987812757492065,0.035270169377326965,0.808952808380127,0.201837670058012
Diabetes130US,TabPFN-v2.6,47678,23840,0.15340367544569047,0.27947828453523343,0.004284808412194252,0.004786971025168896,0.9119966626167297,0.697820708155632
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3551514450907791,0.49594221539847577,0.03250325843691826,0.01996164582669735,0.6872102618217468,0.26788150891661644
Fitness_Club,TabPFN-v2.6,1000,500,0.31414056603018525,0.47820332991154424,0.02265421859920025,0.05358004570007324,0.777999997138977,0.18114957213401794
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.097518136935527,0.17573248993448323,0.0023590177297592163,0.0029896998312324286,0.9378600120544434,1.3366375379264355
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2680540086124249,0.42311148703171153,0.00611366331577301,0.013158177025616169,0.8070780038833618,0.33529775589704514
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19230505247652696,0.32335746924042014,0.01409996673464775,0.027781948447227478,0.8765217661857605,0.18350482359528542
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13133255558941345,0.21267480818124312,0.01736048422753811,0.02746383100748062,0.9062918424606323,0.1865733154118061
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08256467562995802,0.14193208379436767,0.005866696126759052,0.011243879795074463,0.9443331956863403,0.23303906619548798
bank-marketing,TabPFN-v2.6,30140,15071,0.17187584398201752,0.29940900806827064,0.004957802128046751,0.007573183625936508,0.8930395841598511,0.5228530615568161
