dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
APSFailure,TabPFN-v2.6,50666,25334,0.008546342188089286,0.015907918082802123,0.0007271686336025596,0.0007941253134049475,0.9945527911186218,0.5474660769104958
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.0812540951965547,0.1561438289592442,0.004529187455773354,0.00538004981353879,0.9484573602676392,0.25330930203199387
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1966706858251395,0.3222786359043563,0.009778176434338093,0.021402785554528236,0.86652672290802,0.1143110916018486
Bioresponse,TabPFN-v2.6,2500,1251,0.2706748209179353,0.4210638527919698,0.023558109998703003,0.034602776169776917,0.8097522258758545,0.07384420186281204
Diabetes130US,TabPFN-v2.6,47678,23840,0.15335514656762939,0.27941839128732976,0.004482068121433258,0.0047282869927585125,0.9119966626167297,0.45341210067272186
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35490987388115713,0.4956830033484151,0.028761280700564384,0.00711810402572155,0.6872102618217468,0.13304118439555168
Fitness_Club,TabPFN-v2.6,1000,500,0.31397363478257945,0.4782601705502928,0.02507622539997101,0.062100838869810104,0.777999997138977,0.05219711363315582
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.0975137207353875,0.1757154819926963,0.0024668388068675995,0.002564819995313883,0.9376400113105774,0.950321052223444
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2681933674174377,0.4232855969809821,0.008114174008369446,0.011378198862075806,0.8070780038833618,0.18238428607583046
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1929999736792709,0.32456679242900977,0.01570110023021698,0.02920432947576046,0.8765217661857605,0.05905885249376297
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13147606166495845,0.2121354135767879,0.01607641763985157,0.024148743599653244,0.9076305031776428,0.06087552756071091
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08260220132614446,0.1423421045643207,0.0074700284749269485,0.011583343148231506,0.9443331956863403,0.10632950812578201
bank-marketing,TabPFN-v2.6,30140,15071,0.17191630383367823,0.2995227490585358,0.004786216653883457,0.006518116220831871,0.8930395841598511,0.3424331285059452
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3114497752229581,0.49530297391636074,0.045682087540626526,0.08055044710636139,0.7879999876022339,0.05258960649371147
churn,TabPFN-v2.6,3333,1667,0.05946491461424013,0.12126551189749554,0.0071231285110116005,0.017370279878377914,0.9646070599555969,0.08055860549211502
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10550797355708008,0.20026601513280431,0.008273227140307426,0.007481671404093504,0.9404398202896118,0.12514837831258774
