dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
APSFailure,TabPFN-v2.6,50666,25334,0.008564673645926446,0.01609707894388509,0.0006238110363483429,0.0007258945843204856,0.9945527911186218,0.4397234506905079
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08148671844736409,0.15676881937945464,0.0031084176152944565,0.0045036086812615395,0.9481827616691589,0.1920609176158905
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19742839931743206,0.32315021087131335,0.010075714439153671,0.02256784588098526,0.8659268021583557,0.08138163760304451
Bioresponse,TabPFN-v2.6,2500,1251,0.27106461955065425,0.42294412816888216,0.022469595074653625,0.03469954803586006,0.8097522258758545,0.0494060181081295
Diabetes130US,TabPFN-v2.6,47678,23840,0.15395576220070542,0.2809386666575714,0.0029258783906698227,0.004136028233915567,0.9119966626167297,0.3436707779765129
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3560474560480352,0.497228829594458,0.014248102903366089,0.023509381338953972,0.6839378476142883,0.09620419144630432
Fitness_Club,TabPFN-v2.6,1000,500,0.3153485256974061,0.4799035821904772,0.02565513364970684,0.0658261850476265,0.777999997138977,0.030734200030565262
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09754698750122463,0.1757942470130339,0.0016426448710262775,0.0027300703804939985,0.9378600120544434,0.7142457216978073
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2696419927538572,0.42547234931352274,0.010164201259613037,0.013927311636507511,0.8009708523750305,0.13168678060173988
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1936256642697474,0.3256675972548933,0.014149696566164494,0.02054779976606369,0.8799999952316284,0.03499073162674904
Marketing_Campaign,TabPFN-v2.6,1493,747,0.132343318775553,0.21344399739755263,0.01342843472957611,0.027017278596758842,0.9062918424606323,0.036730363965034485
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08322667611153392,0.14284791738307767,0.005954213440418243,0.011045907624065876,0.9443331956863403,0.0698498971760273
bank-marketing,TabPFN-v2.6,30140,15071,0.17203053626358783,0.29990790820703705,0.003957782872021198,0.006560242734849453,0.8930395841598511,0.24135340005159378
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3190786029802729,0.5058919854211512,0.04528319090604782,0.08740994334220886,0.7879999876022339,0.029429186135530472
churn,TabPFN-v2.6,3333,1667,0.06015428021930836,0.1233545992596822,0.007204695604741573,0.014542433433234692,0.9646070599555969,0.052703335881233215
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10599657970715434,0.2014626218120484,0.009039212949573994,0.00923086702823639,0.9404398202896118,0.08854201436042786
credit-g,TabPFN-v2.6,666,334,0.3410394154728846,0.5115998354376962,0.03285623714327812,0.07418690621852875,0.7455089688301086,0.029185131192207336
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2635624890971523,0.42105376345709883,0.007539987564086914,0.0072037698701024055,0.8226000070571899,0.17385166138410568
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052874564262440964,0.08432710935685933,0.0012787654995918274,0.002777204615995288,0.9622580409049988,0.6355477534234524
diabetes,TabPFN-v2.6,512,256,0.31266514123335437,0.47270791487367536,0.027503186836838722,0.09145448356866837,0.78125,0.026799943298101425
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.0671487729819277,0.12107854509650456,0.011632440611720085,0.016361914575099945,0.9599999785423279,0.03797827288508415
heloc,TabPFN-v2.6,6972,3487,0.36385355652449103,0.5438749180761993,0.014617852866649628,0.02524564042687416,0.7312876582145691,0.09509463608264923
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29913687916373516,0.4630633111000385,0.014624819159507751,0.023231718689203262,0.7857142686843872,0.10729588940739632
jm1,TabPFN-v2.6,7256,3629,0.25922817051911257,0.4121875317770601,0.007982663810253143,0.017379941418766975,0.8217139840126038,0.09595880284905434
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03357522519911971,0.07689431655424145,0.002434623194858432,0.0036127103958278894,0.9821803569793701,0.2541663274168968
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13878857579754306,0.22315370710012045,0.006338695529848337,0.012384636327624321,0.903649628162384,0.10776832699775696
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025295544201086654,0.051546970619238755,0.002449261024594307,0.005906142294406891,0.9847715497016907,0.0579037182033062
qsar-biodeg,TabPFN-v2.6,702,352,0.18750351021299386,0.3151153603828755,0.0330452024936676,0.047677747905254364,0.8579545617103577,0.0293593667447567
seismic-bumps,TabPFN-v2.6,1722,862,0.11214254042122822,0.2077991603634144,0.008124161511659622,0.008752402849495411,0.9338747262954712,0.03859536349773407
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04343400183402289,0.07820301915361834,0.005126986652612686,0.006306404247879982,0.9722833037376404,0.06392167136073112
APSFailure,TabICLv2,50666,25334,0.008008003032095406,0.01453795810198188,0.0008760979399085045,0.000762919953558594,0.9947106838226318,0.3387468121945858
Amazon_employee_access,TabICLv2,21846,10923,0.0813588758148787,0.15640518194986527,0.002391185611486435,0.002934368560090661,0.9484573602676392,0.191361952573061
Bank_Customer_Churn,TabICLv2,6666,3334,0.19754645294422388,0.32261761932655825,0.01142199244350195,0.020502764731645584,0.8698260188102722,0.08276793733239174
Bioresponse,TabICLv2,2500,1251,0.292969669510006,0.45427187725261303,0.02866801619529724,0.04174810275435448,0.7993605136871338,0.049507468938827515
Diabetes130US,TabICLv2,47678,23840,0.15440360476053186,0.28208312139997144,0.002957776188850403,0.004557305946946144,0.9119966626167297,0.34800372645258904
E-CommereShippingData,TabICLv2,7332,3667,0.3538712869380495,0.49505609934816164,0.010305061936378479,0.0060194190591573715,0.6847559213638306,0.09737273305654526
Fitness_Club,TabICLv2,1000,500,0.3150690371320067,0.47902125020687025,0.023274343460798264,0.05496180057525635,0.7820000052452087,0.031184662133455276
GiveMeSomeCredit,TabICLv2,100000,50000,0.0974533950094504,0.17566355491321825,0.001765119843184948,0.0014430894516408443,0.9375600218772888,0.6694311909377575
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26746665574335754,0.422499169360938,0.009271077811717987,0.01770162209868431,0.8055120706558228,0.1310928575694561
Is-this-a-good-customer,TabICLv2,1148,575,0.1942460488858656,0.32957727332963377,0.018512658774852753,0.03703026846051216,0.8817391395568848,0.03302914649248123
