dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
APSFailure,TabPFN-v2.6,50666,25334,0.00856353796185839,0.01617685198495927,0.0007787235081195831,0.0007366857025772333,0.9945527911186218,0.5275019728578627
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08155824188438104,0.1575719267667883,0.0032019466161727905,0.0039826915599405766,0.9481827616691589,0.24826514581218362
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1980611314263917,0.3242722536692281,0.008568469434976578,0.01713849976658821,0.8650270104408264,0.11130975978448987
Bioresponse,TabPFN-v2.6,2500,1251,0.2721120948869033,0.42460497550160575,0.02281307429075241,0.0412042997777462,0.808952808380127,0.07312677288427949
Diabetes130US,TabPFN-v2.6,47678,23840,0.1541723878628479,0.2817059976911385,0.0032094032503664494,0.004358905367553234,0.9119966626167297,0.4387213848531246
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3580116064091428,0.4990738332975802,0.017619669437408447,0.027452319860458374,0.6773929595947266,0.12829731171950698
Fitness_Club,TabPFN-v2.6,1000,500,0.316140319901477,0.4806121828242926,0.027333730831742287,0.0635603591799736,0.7680000066757202,0.05705734482035041
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09755045616439662,0.17581303660327544,0.0012279395014047623,0.0025383178144693375,0.9378600120544434,0.8159069111570716
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2703139915832928,0.4268692742356834,0.010614842176437378,0.021435845643281937,0.7997181415557861,0.17807384300976992
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19530032441439388,0.3283317669219582,0.014662310481071472,0.019008778035640717,0.8799999952316284,0.05900730798020959
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1327445698879202,0.21288210503306274,0.013907548040151596,0.02517731674015522,0.9062918424606323,0.0632862732745707
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08318433926760112,0.14272021457344597,0.0061013661324977875,0.010956511832773685,0.9443331956863403,0.09959338279440999
bank-marketing,TabPFN-v2.6,30140,15071,0.17209634456720124,0.3001997788974958,0.004072255454957485,0.005887419451028109,0.8930395841598511,0.3118715169839561
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.32758985275966235,0.5239053903269607,0.058567970991134644,0.1314053237438202,0.7879999876022339,0.05225380416959524
churn,TabPFN-v2.6,3333,1667,0.06011653662950492,0.12366076370157564,0.006978172808885574,0.01427010539919138,0.9646070599555969,0.07681546127423644
