dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
APSFailure,TabPFN-v2.6,50666,25334,0.008620366708570559,,0.0012264605611562729,0.001847881474532187,0.9944343566894531,0.30943597573786974
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08130941969187185,0.1557092861469057,0.0033081010915338993,0.005695227533578873,0.9486404657363892,0.12630204437300563
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1960429675572403,,0.0075740814208984375,0.018506236374378204,0.8677264451980591,0.03964561130851507
Bioresponse,TabPFN-v2.6,2500,1251,0.2705623041921723,0.4202708559065197,0.022512629628181458,0.03679895028471947,0.8081534504890442,0.015307793859392405
Diabetes130US,TabPFN-v2.6,47678,23840,0.15342812236713704,0.2795920076280835,0.004380658268928528,0.005945591256022453,0.9121224880218506,0.2849459629505873
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35481618214328975,,0.01321321725845337,0.007887445390224457,0.6896646022796631,0.04354897374287248
Fitness_Club,TabPFN-v2.6,1000,500,0.31360388346580886,0.4766689705697733,0.022811494767665863,0.048611704260110855,0.7799999713897705,0.006745666731148958
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09740025865098821,0.17547777357509545,0.0013861097395420074,0.00296893622726202,0.9378600120544434,0.5824493588879704
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2680077424521848,0.4228412549566623,0.006348103284835815,0.008814074099063873,0.8064516186714172,0.0733165848068893
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18880586007987446,0.3192507826129967,0.01473245956003666,0.017293665558099747,0.886956512928009,0.007585134822875261
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1307982203005572,,0.014852013438940048,0.028823768720030785,0.9076305031776428,0.00944837974384427
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08289903553692854,,0.005916532129049301,0.009851520881056786,0.9443331956863403,0.029307760763913393
bank-marketing,TabPFN-v2.6,30140,15071,0.17192339691145284,0.2994284899980387,0.003983937203884125,0.009996249340474606,0.8933714032173157,0.18466519098728895
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3178635647205862,0.5085491195426162,0.04798674210906029,0.10410855710506439,0.7919999957084656,0.0035566180013120174
churn,TabPFN-v2.6,3333,1667,0.05742532468264934,,0.007471557706594467,0.014552352018654346,0.9652069807052612,0.019912707153707743
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10548103208238827,,0.005408484488725662,0.0065345726907253265,0.9401344060897827,0.03892036620527506
credit-g,TabPFN-v2.6,666,334,0.3349364288260381,,0.04832051694393158,0.06504186242818832,0.7485029697418213,0.004659985192120075
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2625629187241757,0.4196398960682951,0.005178478546440601,0.012877549976110458,0.8237000107765198,0.11724405502900481
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05263650781169846,,0.0010756850242614746,0.00195901608094573,0.9630202651023865,0.5117803807370365
diabetes,TabPFN-v2.6,512,256,0.3096099140070239,0.4671642458904851,0.02458837628364563,0.07832998037338257,0.74609375,0.003753156866878271
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06617687680702307,,0.015090049244463444,0.01939227804541588,0.9624999761581421,0.009942624717950821
heloc,TabPFN-v2.6,6972,3487,0.36334375293305016,0.5431387491019524,0.01202782616019249,0.01901361532509327,0.7324347496032715,0.04126121522858739
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.298602938120014,,0.012846395373344421,0.024442747235298157,0.789262056350708,0.048207676969468594
jm1,TabPFN-v2.6,7256,3629,0.25743556321185285,,0.007842373102903366,0.014689789153635502,0.8211628794670105,0.04278423776850104
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03335406711917278,,0.0017151222564280033,0.0008094171062111855,0.9821803569793701,0.1944374251179397
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1390030731726164,,0.005871196743100882,0.012607740238308907,0.9034063220024109,0.04786912817507982
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025350903534969268,,0.004641176201403141,0.008441807702183723,0.9847715497016907,0.023716562893241644
qsar-biodeg,TabPFN-v2.6,702,352,0.1868467031921985,0.3170654829745922,0.03505793586373329,0.0379246361553669,0.8778409361839294,0.004903881810605526
seismic-bumps,TabPFN-v2.6,1722,862,0.1096724921097,,0.007673434913158417,0.012094443663954735,0.9338747262954712,0.010748868808150291
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04309513985698437,0.07757736776141047,0.0038897511549293995,0.00823718961328268,0.9718433618545532,0.026492937933653593
APSFailure,TabICLv2,50666,25334,0.007902502553446288,,0.000713297282345593,0.001172124408185482,0.9947501420974731,0.29443496000021696
Amazon_employee_access,TabICLv2,21846,10923,0.08103200929338952,0.15530029217766766,0.0026496881619095802,0.0036049820482730865,0.9488235712051392,0.12598655512556434
