dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
APSFailure,TabPFN-v2.6,50666,25334,0.008481816241407984,0.015921509337762384,0.0009786700829863548,0.0011974129592999816,0.9945132732391357,10.302271842956543
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08126891359730216,0.1559733200449144,0.0037305504083633423,0.007007911801338196,0.9490982294082642,4.532915169838816
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19658647829070658,0.32220160142653276,0.00755093339830637,0.021492645144462585,0.8668266534805298,1.3939444972202182
Bioresponse,TabPFN-v2.6,2500,1251,0.27159617101294764,0.42418443635100145,0.02458159625530243,0.04588593915104866,0.8073540925979614,0.7082144520245492
Diabetes130US,TabPFN-v2.6,47678,23840,0.15341775916838285,0.27952277468976894,0.0035268887877464294,0.004450181033462286,0.9119966626167297,10.067118115723133
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3553719254244406,0.49670311886548346,0.014893382787704468,0.017033595591783524,0.6874829530715942,1.2939729131758213
Fitness_Club,TabPFN-v2.6,1000,500,0.314349340600637,0.4795156147220544,0.021537400782108307,0.058368414640426636,0.777999997138977,0.43379070004448295
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09745764049547899,0.17560766399705244,0.001306135207414627,0.0027450222987681627,0.9379799962043762,18.27253464795649
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2683217978729171,0.42353422942354507,0.007937073707580566,0.014925234019756317,0.8072345852851868,2.8582104379311204
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19062723944394513,0.32231517893058187,0.012973714619874954,0.026115261018276215,0.8852173686027527,0.5291666709817946
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1318541588451436,0.21361567122913555,0.016135280951857567,0.0349501296877861,0.9062918424606323,0.5360139235854149
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08291395007701888,0.14147054857149552,0.005754795856773853,0.013639993034303188,0.945134162902832,0.9713386399671435
bank-marketing,TabPFN-v2.6,30140,15071,0.17189077875508646,0.29945327325480775,0.0044706035405397415,0.00850121770054102,0.8931723237037659,4.571232502814382
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.32012957698645733,0.5052912097076709,0.04922886937856674,0.07615949958562851,0.7919999957084656,0.5031047672964633
churn,TabPFN-v2.6,3333,1667,0.05938674574821151,0.12278793881911565,0.008961083367466927,0.018428191542625427,0.9652069807052612,0.7081151101738214
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.1055027595654781,0.19998941623465907,0.006450789049267769,0.004781859926879406,0.9404398202896118,1.0859197229146957
