dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
APSFailure,TabPFN-v2.6,50666,25334,0.008624377072578335,0.01617438409462608,0.0014732790878042579,0.0016988413408398628,0.9944343566894531,0.09978561848402023
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08134178703797809,0.15648061358373258,0.004999727010726929,0.007433483377099037,0.9485489130020142,0.036823779344558716
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1962493437444155,0.321456111766527,0.008215397596359253,0.018079187721014023,0.8677264451980591,0.013448968529701233
Bioresponse,TabPFN-v2.6,2500,1251,0.27110899552126644,0.4203723339645135,0.027079731225967407,0.04356299713253975,0.8033573031425476,0.009491048753261566
Diabetes130US,TabPFN-v2.6,47678,23840,0.153492988240492,0.2798620151713926,0.005317304283380508,0.008301022462546825,0.9121224880218506,0.06600385159254074
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3546947629082004,0.4957006959721512,0.013663887977600098,0.007486872840672731,0.6880283355712891,0.016254421323537827
Fitness_Club,TabPFN-v2.6,1000,500,0.31344072936114836,0.4769186616564997,0.0218634195625782,0.05179864913225174,0.777999997138977,0.01113014668226242
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09741317182050697,0.17548358116084192,0.001114947721362114,0.0030362808611243963,0.9379000067710876,0.2770482487976551
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26836335698426894,0.42328415004371306,0.009449243545532227,0.013491581194102764,0.8067647814750671,0.049962908029556274
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18879122662567288,0.31994212105640324,0.015677358955144882,0.031182998791337013,0.8852173686027527,0.012278866022825241
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1309626702721389,0.21139647422398516,0.014962386339902878,0.02792113646864891,0.9076305031776428,0.005094587802886963
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08297467907507682,0.14097798640824438,0.006965426728129387,0.012077934108674526,0.9431317448616028,0.011901184916496277
