dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
APSFailure,TabPFN-v2.6,50666,25334,0.008639643345274119,0.0189646552016002,0.0011610453948378563,0.0013999872608110309,0.9944343566894531,0.003918547183275223
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08239202788594523,0.16347244424244314,0.023136258125305176,0.0019846635404974222,0.9485489130020142,0.0013695713132619858
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19808533835383582,0.33009154806940694,0.024591898545622826,0.012052811682224274,0.86652672290802,0.0006822571158409119
Bioresponse,TabPFN-v2.6,2500,1251,0.27288331702233526,0.42493798755283235,0.027502387762069702,0.03384729474782944,0.8033573031425476,0.000416439026594162
Diabetes130US,TabPFN-v2.6,47678,23840,0.1550387763491176,0.2851949115306088,0.05143370479345322,0.004223627969622612,0.9119547009468079,0.002517472952604294
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3538283266049684,0.4975944086358197,0.12984168529510498,0.0036799837835133076,0.6883010864257812,0.000643167644739151
Fitness_Club,TabPFN-v2.6,1000,500,0.3197241691181415,0.48801001699781216,0.03798457607626915,0.05335010960698128,0.7599999904632568,0.0003300029784440994
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09897409029214066,0.1866592933168355,0.021903030574321747,0.0017983519937843084,0.9378600120544434,0.005786517634987831
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26803348816275036,0.42380003451500553,0.012627094984054565,0.009086244739592075,0.8066082000732422,0.0009416677057743073
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19153823720598934,0.33024119934314483,0.03619229793548584,0.020017825067043304,0.8852173686027527,0.000304369255900383
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13385635116586753,0.22414091595969168,0.013013777323067188,0.033844005316495895,0.9076305031776428,0.00033524446189403534
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08359731603393954,0.14804366940563915,0.00842024851590395,0.008836686611175537,0.9431317448616028,0.0004962589591741562
bank-marketing,TabPFN-v2.6,30140,15071,0.17337931393304892,0.3046948329459961,0.0391237735748291,0.005179848056286573,0.8937695026397705,0.0016157161444425583
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3145242764004613,0.49334914805838276,0.037842266261577606,0.055086079984903336,0.7919999957084656,0.0002732202410697937
churn,TabPFN-v2.6,3333,1667,0.05897741192826036,0.12068706771445065,0.014315357431769371,0.011251291260123253,0.9646070599555969,0.00038450397551059723
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10815663654330485,0.213551416191874,0.03405660390853882,0.008317776955664158,0.9404398202896118,0.0005345698446035385
credit-g,TabPFN-v2.6,666,334,0.35260822054884106,0.5352299493362038,0.03574041277170181,0.0774252861738205,0.7455089688301086,0.00027493201196193695
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2634212220145002,0.42216415193378126,0.042288389056921005,0.008136388845741749,0.8235999941825867,0.0012803152203559875
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.0532381820774813,0.09186913668266049,0.0038502770476043224,0.0017686496721580625,0.9630202651023865,0.004117216914892197
diabetes,TabPFN-v2.6,512,256,0.3207999029878971,0.4849629987401105,0.0415542870759964,0.07234954833984375,0.7578125,0.00035223737359046936
