dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
APSFailure,TabPFN-v2.6,50666,25334,0.008578292086570722,0.015835449917539404,0.0006487261853180826,0.0011895584175363183,0.9942370057106018,0.05989523802418262
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08115403195144376,0.17831933368334146,0.004993368871510029,0.005927665624767542,0.9490982294082642,0.02574053208809346
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1971105338257046,0.34725870303227263,0.01093908678740263,0.019609322771430016,0.8659268021583557,0.012442904990166426
Bioresponse,TabPFN-v2.6,2500,1251,0.2716927003699734,0.4215710665478378,0.02265097200870514,0.03411160781979561,0.8065547347068787,0.008458377909846604
Diabetes130US,TabPFN-v2.6,47678,23840,0.15369085345572858,0.2975540016128177,0.006608542054891586,0.003628468606621027,0.9119966626167297,0.051822790992446244
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35544534995153904,0.5190432109522707,0.045244745910167694,0.019594287499785423,0.6877556443214417,0.012819187017157674
Fitness_Club,TabPFN-v2.6,1000,500,0.3171625061157358,0.4813732996591521,0.029024455696344376,0.06756120175123215,0.7559999823570251,0.007130434038117528
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09749056157652083,0.17571800698595944,0.0021686526015400887,0.002889712806791067,0.9379600286483765,0.10434112593065947
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2684231551208197,0.423545681273478,0.012205079197883606,0.013666163198649883,0.8070780038833618,0.01878412696532905
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19560958005815068,0.32807662280484223,0.023287005722522736,0.031053006649017334,0.8765217661857605,0.007493377081118524
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13135798828543402,0.20965827391870592,0.016398927196860313,0.023145224899053574,0.9062918424606323,0.007513056974858046
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08335842486095663,0.30513947691629173,0.006910625845193863,0.009256966412067413,0.9439327120780945,0.0099735640687868
bank-marketing,TabPFN-v2.6,30140,15071,0.17169668125406276,0.30476928600296554,0.0046332478523254395,0.005622605327516794,0.8940349221229553,0.034979025018401444
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.31553638518010746,0.5213464500754271,0.057575374841690063,0.07776673138141632,0.7879999876022339,0.00645695102866739
churn,TabPFN-v2.6,3333,1667,0.05909200977661203,0.12031624801857778,0.01381605677306652,0.01622415892779827,0.9646070599555969,0.00880985101684928
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10552768119817615,0.200528818683147,0.017432942986488342,0.009108717553317547,0.9404398202896118,0.011736837914213538
credit-g,TabPFN-v2.6,666,334,0.3398641436681523,0.5119935242894623,0.053119249641895294,0.06308057904243469,0.7455089688301086,0.006693015922792256
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2626936972818197,0.41978576208020196,0.009339779615402222,0.00884285569190979,0.8233000040054321,0.025204911013133824
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05268427031889136,0.08392680836053475,0.0025084074586629868,0.0023144895676523447,0.9628816843032837,0.0788425529608503
diabetes,TabPFN-v2.6,512,256,0.3140447174491594,0.4738121142846398,0.04157643765211105,0.07096432149410248,0.78125,0.007102258037775755
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06900175885383611,0.22368852486982482,0.011876793578267097,0.01909708045423031,0.9599999785423279,0.007543590967543423
heloc,TabPFN-v2.6,6972,3487,0.36368756125302626,0.5432725001593562,0.014951728284358978,0.021020567044615746,0.7330083250999451,0.012652170029468834
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.2984839212656181,0.4811205860726245,0.016574040055274963,0.02611575648188591,0.7894985675811768,0.01377108902670443
jm1,TabPFN-v2.6,7256,3629,0.2580756065465039,0.5933431652810355,0.01685139536857605,0.02086465246975422,0.8219895362854004,0.012859235983341932
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03332772823837991,0.07555184137856424,0.0037251957692205906,0.001222133869305253,0.9821803569793701,0.03926280909217894
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1392099822449,0.2437442859649046,0.009725390002131462,0.012408677488565445,0.9031630158424377,0.014131462085060775
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.024611959850522152,0.17403578416646417,0.0037846355699002743,0.005016709677875042,0.9857867956161499,0.009866955108009279
qsar-biodeg,TabPFN-v2.6,702,352,0.1916955289294468,1.026599821202416,0.03271999955177307,0.0448378324508667,0.8607954382896423,0.006595612037926912
seismic-bumps,TabPFN-v2.6,1722,862,0.1094401930924829,0.2964984148524616,0.013032082468271255,0.009962859563529491,0.9338747262954712,0.007605461054481566
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04278382008927833,0.07687587317269212,0.006156643852591515,0.007011775393038988,0.9722833037376404,0.010415809927508235
APSFailure,TabICLv2,50666,25334,0.007998633534588268,0.014528899422927838,0.0007252274081110954,0.0009662401862442493,0.9947896003723145,0.05391252099070698
Amazon_employee_access,TabICLv2,21846,10923,0.08095911875385121,0.16304829611836663,0.0043969834223389626,0.0034284484572708607,0.9480912089347839,0.02496532502118498
Bank_Customer_Churn,TabICLv2,6666,3334,0.19678590393445608,0.32133745096343674,0.016285136342048645,0.020847409963607788,0.8662267327308655,0.012886881944723427
Bioresponse,TabICLv2,2500,1251,0.29179454228255003,0.4527291025927339,0.03000013530254364,0.03904988616704941,0.8001598715782166,0.008395047974772751
Diabetes130US,TabICLv2,47678,23840,0.15413806957937204,0.28117419703241886,0.004642067477107048,0.004589669872075319,0.911828875541687,0.05013420502655208
E-CommereShippingData,TabICLv2,7332,3667,0.3539686910008519,0.5171432624656882,0.018673419952392578,0.005240154918283224,0.6891191601753235,0.012801658944226801
Fitness_Club,TabICLv2,1000,500,0.3135694593067027,0.4752899552348539,0.03159896284341812,0.05070279538631439,0.7620000243186951,0.007137553067877889
GiveMeSomeCredit,TabICLv2,100000,50000,0.09738249462546153,0.17558829417178154,0.001247543841600418,0.0024572231341153383,0.9376999735832214,0.10316803096793592
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2669621556987383,0.42140471361310256,0.01688457280397415,0.011309246532619,0.8091136813163757,0.018408245989121497
Is-this-a-good-customer,TabICLv2,1148,575,0.19222854172004922,0.3258838448410719,0.02815762348473072,0.03469632565975189,0.8782608509063721,0.007065503974445164
Marketing_Campaign,TabICLv2,1493,747,0.1386767747323424,0.21692501380883025,0.014760192483663559,0.02456647716462612,0.8955823183059692,0.00775102199986577
NATICUSdroid,TabICLv2,4994,2497,0.08076747017095492,0.2024211130622279,0.004787147045135498,0.010191968642175198,0.945134162902832,0.010453802067786455
bank-marketing,TabICLv2,30140,15071,0.17139254925999586,0.29901364185748963,0.008824947290122509,0.01247067004442215,0.8943666815757751,0.0346458179410547
blood-transfusion-service-center,TabICLv2,498,250,0.3050584485342532,0.508911302518553,0.06010345369577408,0.09925580024719238,0.800000011920929,0.00645403703674674
churn,TabICLv2,3333,1667,0.050033159644580785,0.20883063324502588,0.014357446692883968,0.011839522048830986,0.9694061279296875,0.009992230916395783
coil2000_insurance_policies,TabICLv2,6548,3274,0.10579413072377505,0.20028547855297044,0.009393884800374508,0.004935998935252428,0.9404398202896118,0.012465220992453396
credit-g,TabICLv2,666,334,0.33291905991146375,0.5063095716029411,0.051030613481998444,0.06144315376877785,0.7544910311698914,0.006801557959988713
credit_card_clients_default,TabICLv2,20000,10000,0.26135004195821326,0.4178267668730189,0.01571189984679222,0.007833774201571941,0.8228999972343445,0.024830356938764453
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.053087003115351264,0.08616781473903548,0.002766295336186886,0.002825922565534711,0.962119460105896,0.08255346596706659
diabetes,TabICLv2,512,256,0.3095697134315165,0.47101182007812337,0.022213686257600784,0.04720177873969078,0.76171875,0.006916341953910887
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.05113861458406221,0.19033075055858087,0.008014981634914875,0.012693997472524643,0.96875,0.007431137026287615
heloc,TabICLv2,6972,3487,0.3637837004651423,0.543086174246059,0.01699940115213394,0.02440245822072029,0.7304273247718811,0.012918447027914226
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3108382189345431,0.5359047592278716,0.012429952621459961,0.02414604090154171,0.7798013091087341,0.013644911930896342
jm1,TabICLv2,7256,3629,0.26111507016468416,0.5488471838856754,0.019137758761644363,0.01802970841526985,0.8203361630439758,0.013490768033079803
kddcup09_appetency,TabICLv2,33333,16667,0.03356040323661972,0.07676513663507785,0.00225399574264884,0.001094686333090067,0.9821803569793701,0.03822298301383853
online_shoppers_intention,TabICLv2,8220,4110,0.14137969219243265,0.22534125360828117,0.007880231365561485,0.01541843917220831,0.8999999761581421,0.014131817035377026
polish_companies_bankruptcy,TabICLv2,3940,1970,0.029586823507299187,0.10100029161916643,0.0071187433786690235,0.007917985320091248,0.9832487106323242,0.009574335999786854
