dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
APSFailure,TabPFN-v2.6,50666,25334,0.008778976276516914,0.018325859680771828,0.0015691231237724423,0.0024640134070068598,0.9940791130065918,10.982077158987522
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08224865794181824,0.16038104891777039,0.011213905178010464,0.008303985930979252,0.9485489130020142,4.936803143005818
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1976698637008667,0.32563093304634094,0.02062475122511387,0.025732088834047318,0.8680263757705688,1.070745853241533
Bioresponse,TabPFN-v2.6,2500,1251,0.2711779773235321,0.4226861298084259,0.02450767159461975,0.034237731248140335,0.8073540925979614,0.1301838061772287
Diabetes130US,TabPFN-v2.6,47678,23840,0.15562565624713898,0.2851337492465973,0.01859113574028015,0.023517798632383347,0.9120385646820068,10.215120625216514
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3543527126312256,0.4970685541629791,0.009750545024871826,0.005628915037959814,0.6883010864257812,1.434258928988129
Fitness_Club,TabPFN-v2.6,1000,500,0.3166344165802002,0.48313164710998535,0.040606316179037094,0.0614950954914093,0.777999997138977,0.01855463394895196
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09888142347335815,0.18082058429718018,0.015197834931313992,0.01411927305161953,0.9379000067710876,21.73232294432819
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26846787333488464,0.4245415925979614,0.012411236763000488,0.007902782410383224,0.8069213628768921,3.1080009043216705
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19136199355125427,0.32739773392677307,0.0357205867767334,0.030519496649503708,0.8852173686027527,0.024918682873249054
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13369309902191162,0.21595972776412964,0.03116968832910061,0.031284935772418976,0.9036144614219666,0.04171078512445092
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08374547958374023,0.14562492072582245,0.007255133707076311,0.018438545987010002,0.945134162902832,0.8518114928156137
bank-marketing,TabPFN-v2.6,30140,15071,0.17352351546287537,0.303649365901947,0.01802651770412922,0.02396196685731411,0.8937695026397705,6.57370791118592
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3152053952217102,0.4914093017578125,0.05099575221538544,0.07520575076341629,0.7799999713897705,0.005024304147809744
churn,TabPFN-v2.6,3333,1667,0.05950329080224037,0.1219131350517273,0.007191131357103586,0.01467290148139,0.9640071988105774,0.29595931293442845
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10628020018339157,0.2045401930809021,0.018329203128814697,0.014689008705317974,0.9404398202896118,0.8258615252561867
credit-g,TabPFN-v2.6,666,334,0.3338928818702698,0.503447949886322,0.02071240544319153,0.05292416363954544,0.757485032081604,0.009519307874143124
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2638670802116394,0.4217301905155182,0.01689997874200344,0.016762809827923775,0.8235999941825867,4.830482377205044
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052969615906476974,0.08773187547922134,0.0037488434463739395,0.005522431805729866,0.9628816843032837,37.968218866270036
diabetes,TabPFN-v2.6,512,256,0.3131679594516754,0.4719606637954712,0.03485092893242836,0.09603117406368256,0.76171875,0.005259907804429531
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06636703014373779,0.1274084597826004,0.01849905401468277,0.02297321893274784,0.9599999785423279,0.08486989187076688
heloc,TabPFN-v2.6,6972,3487,0.36347880959510803,0.5434192419052124,0.011772718280553818,0.02315014973282814,0.7310008406639099,0.950230616144836
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29814091324806213,0.46108129620552063,0.012098760344088078,0.02134297601878643,0.7904446721076965,1.53864236921072
jm1,TabPFN-v2.6,7256,3629,0.2588808238506317,0.4109627306461334,0.023482754826545715,0.029702499508857727,0.8208872675895691,1.0536813451908529
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03416426479816437,0.08082692325115204,0.009155506268143654,0.007323452737182379,0.9821803569793701,6.342307924758643
