dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
APSFailure,TabPFN-v2.6,50666,25334,0.008471186957193788,0.015921403545718155,0.0008703889907337725,0.0014795573661103845,0.9944343566894531,1.1999953552149236
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08139883273625288,0.15627662423307723,0.003988161683082581,0.0070592984557151794,0.9491897821426392,0.5106974150985479
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19748429593783512,0.3237536028834514,0.006522142328321934,0.017320452257990837,0.8659268021583557,0.2089618816971779
Bioresponse,TabPFN-v2.6,2500,1251,0.2739888266592667,0.4290500711249993,0.028818204998970032,0.052880242466926575,0.8073540925979614,0.09908194094896317
Diabetes130US,TabPFN-v2.6,47678,23840,0.1535465681097004,0.279797158034418,0.003917019814252853,0.004495315719395876,0.9119966626167297,1.0625644731335342
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3556476477780491,0.49705138275733446,0.01626121997833252,0.01620197668671608,0.6833924055099487,0.23808319913223386
Fitness_Club,TabPFN-v2.6,1000,500,0.3169211953923179,0.48326506664305807,0.025413725525140762,0.0539698526263237,0.7580000162124634,0.05044816015288234
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09746495511607656,0.1758046993741716,0.0016315430402755737,0.002952046226710081,0.9379000067710876,2.4870280693285167
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26936730577316564,0.4250026092332257,0.009941466152668,0.01894952915608883,0.8008142709732056,0.33268614672124386
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19239915870752408,0.32907784866659534,0.01570705510675907,0.03655116632580757,0.8852173686027527,0.05179212102666497
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13408927951765984,0.21979750516244909,0.019424453377723694,0.036013320088386536,0.9062918424606323,0.06579313986003399
