dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
APSFailure,TabPFN-v2.6,50666,25334,0.00945112813856573,0.021564337450728877,0.002866251626983285,0.002190172905102372,0.9943159222602844,0.1351951826363802
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08477583414658567,0.1656544645197779,0.014051264151930809,0.014682869426906109,0.9488235712051392,0.045261697843670845
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19970855938368412,0.33280577462559163,0.021207597106695175,0.03709753230214119,0.8680263757705688,0.020219936035573483
Bioresponse,TabPFN-v2.6,2500,1251,0.27253701455622975,0.4264570135860866,0.02465444803237915,0.04190155863761902,0.8081534504890442,0.011708497069776058
Diabetes130US,TabPFN-v2.6,47678,23840,0.15400942006022017,0.28143457422366724,0.007375041022896767,0.012749566696584225,0.9116610884666443,0.1138784047216177
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3590749467136199,0.5056624729883785,0.02391780912876129,0.0352528914809227,0.6793018579483032,0.03327930439263582
Fitness_Club,TabPFN-v2.6,1000,500,0.3184770339391805,0.4865797062296139,0.03557136654853821,0.0546267144382,0.7799999713897705,0.009189452975988388
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.10044918434354917,0.18726476043689835,0.014769827015697956,0.01589636132121086,0.9371799826622009,0.15874109137803316
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26962358006423554,0.42556668789559365,0.014889925718307495,0.018333150073885918,0.8039461374282837,0.03211117908358574
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19191196247327885,0.327814616794902,0.021582603454589844,0.04630911722779274,0.8747826218605042,0.010292351245880127
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13540976324339607,0.23180056756159315,0.0262297410517931,0.05336341634392738,0.9076305031776428,0.010450647212564945
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08644917335723279,0.15633942501245857,0.011755138635635376,0.021111132577061653,0.945134162902832,0.015321001410484314
bank-marketing,TabPFN-v2.6,30140,15071,0.17467081588062527,0.3059961441886001,0.01513935998082161,0.019103001803159714,0.8931059837341309,0.05640918482095003
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.30425816024223284,0.47805434594889185,0.03483591601252556,0.0710204467177391,0.7839999794960022,0.008352940902113914
churn,TabPFN-v2.6,3333,1667,0.05954108466599865,0.12292712390192219,0.007123730145394802,0.017514344304800034,0.9652069807052612,0.012428350746631622
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10764618098865364,0.20702210492302306,0.010891576297581196,0.008307083509862423,0.9370800256729126,0.01876097545027733
credit-g,TabPFN-v2.6,666,334,0.33231419766668996,0.5031220559668445,0.03233534097671509,0.0552264004945755,0.7455089688301086,0.009148082695901394
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2644829645819502,0.42393963507695087,0.01495552621781826,0.026223188266158104,0.8234000205993652,0.05118372477591038
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.056360437406854674,0.099562901589064,0.00811014510691166,0.012163105420768261,0.9626737833023071,0.2588002337142825
diabetes,TabPFN-v2.6,512,256,0.3137364415144805,0.4767972779601014,0.035831816494464874,0.09606041759252548,0.76171875,0.011282116174697876
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06513814398016435,0.12698563755288517,0.017092227935791016,0.020014237612485886,0.9599999785423279,0.010350117459893227
heloc,TabPFN-v2.6,6972,3487,0.36396108215253425,0.544147698398791,0.015304811298847198,0.021517684683203697,0.7324347496032715,0.020802955143153667
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29771431617080085,0.46180203269932907,0.009465809911489487,0.019693870097398758,0.7899715900421143,0.021966446191072464
jm1,TabPFN-v2.6,7256,3629,0.2597412309646416,0.4147288306488121,0.018825672566890717,0.037981368601322174,0.822265088558197,0.0196252828463912
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.033896257097320276,0.07873894508110496,0.0046645221300423145,0.001936105894856155,0.981580376625061,0.05841843597590923
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.14511033748620997,0.24664317715264716,0.024564117193222046,0.030288435518741608,0.9017031788825989,0.01988231483846903
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025169080898870853,0.05735333288754426,0.0068901171907782555,0.009028160944581032,0.9847715497016907,0.01840987429022789
qsar-biodeg,TabPFN-v2.6,702,352,0.18832075415414407,0.3196719951688589,0.04166191443800926,0.04285789281129837,0.875,0.012992510572075844
seismic-bumps,TabPFN-v2.6,1722,862,0.11000796869252659,0.20553210976082867,0.010687293484807014,0.0180195402354002,0.9338747262954712,0.014191619120538235
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04566220077039769,0.09043648295217445,0.010351824574172497,0.01245144009590149,0.9722833037376404,0.015637854114174843
APSFailure,TabICLv2,50666,25334,0.008823386601513699,0.020666557506744697,0.002645505592226982,0.002090188441798091,0.9948290586471558,0.09961447864770889
Amazon_employee_access,TabICLv2,21846,10923,0.08396207070861587,0.1632898921964063,0.011762009002268314,0.01221200916916132,0.9486404657363892,0.04098419100046158
Bank_Customer_Churn,TabICLv2,6666,3334,0.20098166186722677,0.3352620306575899,0.024500878527760506,0.04186181724071503,0.8677264451980591,0.019663406535983086
Bioresponse,TabICLv2,2500,1251,0.29303033418296076,0.4564553454139272,0.032046135514974594,0.05648963525891304,0.798561155796051,0.011861228384077549
Diabetes130US,TabICLv2,47678,23840,0.15445565870139502,0.2824826224487296,0.006883619353175163,0.01184204313904047,0.9117869138717651,0.08127688989043236
E-CommereShippingData,TabICLv2,7332,3667,0.3578600434565258,0.5033304412690416,0.02121913433074951,0.025865769013762474,0.6743932366371155,0.020711361430585384
Fitness_Club,TabICLv2,1000,500,0.3186386168957171,0.48646070510845324,0.03358002007007599,0.0634630024433136,0.7760000228881836,0.013970553874969482
GiveMeSomeCredit,TabICLv2,100000,50000,0.10022424401067188,0.18681032789908916,0.014593265950679779,0.016091199591755867,0.9379799962043762,0.1691073002293706
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26920075789005565,0.42482346234051555,0.014721471816301346,0.02555137686431408,0.8022236227989197,0.03445067536085844
Is-this-a-good-customer,TabICLv2,1148,575,0.19199509691442765,0.32723887945007685,0.02437371388077736,0.04610901698470116,0.8799999952316284,0.009344582445919514
Marketing_Campaign,TabICLv2,1493,747,0.14204198212405766,0.23833415601345978,0.02819482982158661,0.05187870189547539,0.8955823183059692,0.009942451491951942
NATICUSdroid,TabICLv2,4994,2497,0.08549593055838975,0.1563301238431899,0.014521447941660881,0.020672300830483437,0.9447336792945862,0.01567313726991415
bank-marketing,TabICLv2,30140,15071,0.17369007706408726,0.30468273457937967,0.016157351434230804,0.020009193569421768,0.8939685225486755,0.058554479852318764
blood-transfusion-service-center,TabICLv2,498,250,0.2945557072630084,0.46543486703000986,0.03434261679649353,0.050580672919750214,0.7960000038146973,0.008525833487510681
churn,TabICLv2,3333,1667,0.051413590532290776,0.11507081481651314,0.013425841927528381,0.014344736933708191,0.9706058502197266,0.012961244210600853
coil2000_insurance_policies,TabICLv2,6548,3274,0.10748369291858986,0.20665708596439905,0.010368164628744125,0.017463846132159233,0.9389126300811768,0.017496361397206783
credit-g,TabICLv2,666,334,0.32783434456259297,0.4982091217488112,0.029688067734241486,0.045542363077402115,0.7544910311698914,0.00801245030015707
credit_card_clients_default,TabICLv2,20000,10000,0.2637147002431651,0.42262985940654835,0.014469491317868233,0.026470281183719635,0.8227999806404114,0.04248057026416063
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05725210744074151,0.10109426005978356,0.009316844865679741,0.014729340560734272,0.9618191719055176,0.20081790629774332
diabetes,TabICLv2,512,256,0.3069860424394545,0.46921737995436025,0.035777002573013306,0.08032391965389252,0.7578125,0.010995795018970966
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.05597303228941433,0.10673690002622335,0.01243535801768303,0.026176199316978455,0.9649999737739563,0.011027407832443714
heloc,TabICLv2,6972,3487,0.3633981640247427,0.5433519296855713,0.014352425932884216,0.02265847846865654,0.7307140827178955,0.021139884367585182
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3123109835121707,0.47984759184185194,0.012386295944452286,0.027983736246824265,0.7795647978782654,0.02381669171154499
jm1,TabICLv2,7256,3629,0.26431077063598923,0.41995234639774015,0.019379477947950363,0.03834160417318344,0.8175805807113647,0.02193936239928007
kddcup09_appetency,TabICLv2,33333,16667,0.033787590599497215,0.07936523878380487,0.004532266408205032,0.001429838826879859,0.9822403788566589,0.058321512304246426
online_shoppers_intention,TabICLv2,8220,4110,0.14751389373851767,0.2497770106257113,0.025328923016786575,0.032495949417352676,0.9004865884780884,0.019173924811184406
polish_companies_bankruptcy,TabICLv2,3940,1970,0.029519472264331013,0.06560836682513806,0.008986648172140121,0.011742127127945423,0.9822335243225098,0.01893556769937277
qsar-biodeg,TabICLv2,702,352,0.17081867004973622,0.29745286505726953,0.04069861024618149,0.05540437996387482,0.8920454382896423,0.008527927100658417
seismic-bumps,TabICLv2,1722,862,0.10814208709692899,0.20461334809781417,0.013068931177258492,0.0236338023096323,0.9373549818992615,0.01053700502961874
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04411994954993427,0.08947538017111781,0.01107693649828434,0.01327771507203579,0.9731632471084595,0.019549611024558544
APSFailure,RealTabPFN-v2.5,50666,25334,0.009337719355212321,0.02068490220342008,0.002701830817386508,0.0017065092688426375,0.9944738149642944,0.07040396332740784
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08817645896726824,0.17375558300139016,0.01637289673089981,0.017269931733608246,0.9479081034660339,0.03987319488078356
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19599542740170803,0.32470087136456366,0.017468923702836037,0.03285384923219681,0.870125949382782,0.01859542727470398
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2726997919382063,0.4289156142301386,0.028779715299606323,0.055266834795475006,0.8153477311134338,0.011898946017026901
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15512584351212394,0.28408675670942135,0.007362578064203262,0.010015975683927536,0.9106124043464661,0.08130456041544676
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35803018895835903,0.502716988442678,0.02267393469810486,0.031116178259253502,0.6795746088027954,0.022247225046157837
Fitness_Club,RealTabPFN-v2.5,1000,500,0.32144322000143577,0.49151473332669127,0.03693995624780655,0.0702030211687088,0.7760000228881836,0.009382479824125767
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09946984129562124,0.18523645987010393,0.013421298936009407,0.015626760199666023,0.9383000135421753,0.16673735342919827
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2712467519950322,0.4281106184970808,0.018984515219926834,0.024364685639739037,0.8033197522163391,0.03155543189495802
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.2063414823368768,0.34892899345780876,0.018845384940505028,0.042712774127721786,0.8695651888847351,0.010474576614797115
