dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
APSFailure,TabPFN-v2.6,50666,25334,0.008467779805099282,0.01570202677718225,0.0006764353020116687,0.0015851304633542895,0.9944343566894531,0.06068493891507387
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08122182727787874,0.15633865628027865,0.0033690184354782104,0.00569690577685833,0.9488235712051392,0.02992202900350094
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1961053520205019,0.321286254051991,0.0078427754342556,0.018507208675146103,0.8677264451980591,0.00901126116514206
Bioresponse,TabPFN-v2.6,2500,1251,0.27054953626584105,0.419537298729342,0.022739186882972717,0.03523876518011093,0.8073540925979614,0.004465584643185139
Diabetes130US,TabPFN-v2.6,47678,23840,0.15320536091022832,0.27919675947694733,0.002744048833847046,0.0033417316153645515,0.9120385646820068,0.03495434392243624
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35436268744089805,0.49529422545592,0.011922046542167664,0.0056162490509450436,0.6896646022796631,0.009406228549778461
Fitness_Club,TabPFN-v2.6,1000,500,0.31359902067306983,0.477081423597676,0.02372276782989502,0.04864201694726944,0.7760000228881836,0.003419196233153343
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09740050927383749,0.1754522722499528,0.0011474043130874634,0.002905100816860795,0.9379600286483765,0.09458452556282282
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26826590644975173,0.4231725347662263,0.00840720534324646,0.01192811131477356,0.8061384558677673,0.017933737486600876
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1883127338036405,0.31893684851535176,0.014265081845223904,0.03626124933362007,0.886956512928009,0.004538169130682945
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13099049580376945,0.21084930153431453,0.015137847512960434,0.032841846346855164,0.9076305031776428,0.004123609513044357
NATICUSdroid,TabPFN-v2.6,4994,2497,0.0827228584089103,0.14145926372088719,0.005002099089324474,0.008870438672602177,0.9455346465110779,0.009533511474728584
bank-marketing,TabPFN-v2.6,30140,15071,0.1718440120915582,0.29929382239026264,0.003888107370585203,0.008765928447246552,0.8938358426094055,0.025843454524874687
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3080187368447053,0.48643528988843454,0.04163883626461029,0.09235436469316483,0.7799999713897705,0.003010805696249008
churn,TabPFN-v2.6,3333,1667,0.059292561996771444,0.12110137153017538,0.007194428704679012,0.01717256009578705,0.9646070599555969,0.007102498784661293
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10527960559334992,0.19941899483817924,0.005098644644021988,0.004567241296172142,0.9404398202896118,0.008479798212647438
credit-g,TabPFN-v2.6,666,334,0.33389025341351936,0.5012984325455113,0.04283301904797554,0.05309482663869858,0.7455089688301086,0.0027801161631941795
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2624834728287917,0.4194495747726268,0.004494781140238047,0.01028539054095745,0.8234999775886536,0.0185695867985487
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05264393381528206,0.08405908461608261,0.0011469246819615364,0.002230999991297722,0.9630664587020874,0.09267965145409107
diabetes,TabPFN-v2.6,512,256,0.30994396545559666,0.4666353615659493,0.023288901895284653,0.06563124060630798,0.75,0.003061467781662941
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06553285497879059,0.12059302397903485,0.013216695748269558,0.01435709185898304,0.9624999761581421,0.00563082005828619
heloc,TabPFN-v2.6,6972,3487,0.363218517175125,0.5429925166012922,0.01129559800028801,0.01941847801208496,0.7321479916572571,0.005342642776668072
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29783101202452045,0.46060205369470075,0.011417888104915619,0.020051367580890656,0.7897350788116455,0.007582651451230049
jm1,TabPFN-v2.6,7256,3629,0.25731883985365606,0.413330385827468,0.008140061050653458,0.0171611737459898,0.8211628794670105,0.008739848621189594
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03332070466679976,0.07521782764179127,0.0016442588530480862,0.0015449009370058775,0.9821803569793701,0.04237488470971584
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13892825297724035,0.22294155432558918,0.006094140466302633,0.012572324834764004,0.903649628162384,0.009981387294828892
