dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
APSFailure,TabPFN-v2.6,50666,25334,0.008482132015702614,0.015711053491015328,0.0007815274875611067,0.0014977265382185578,0.9944343566894531,5.589673776179552
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08115032878863458,0.15586897875542002,0.0034125149250030518,0.005276065319776535,0.9490982294082642,1.5120757929980755
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19619131923782065,0.32197112995369487,0.007531236857175827,0.020913295447826385,0.8680263757705688,0.6724491864442825
Bioresponse,TabPFN-v2.6,2500,1251,0.27116165603335834,0.42163659602318176,0.02725444734096527,0.03914688900113106,0.8105515837669373,0.3354587182402611
Diabetes130US,TabPFN-v2.6,47678,23840,0.1532287381632685,0.2792650882961288,0.0028978772461414337,0.003588895546272397,0.9120805263519287,2.4872576408088207
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3542784300114355,0.49528500538210785,0.010946646332740784,0.004580923356115818,0.6907553672790527,0.40817396342754364
Fitness_Club,TabPFN-v2.6,1000,500,0.3131325903070362,0.476626264081022,0.02092096209526062,0.048533253371715546,0.777999997138977,0.25006406009197235
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09737739646293565,0.1754371189935461,0.001203194260597229,0.0027525005862116814,0.9378799796104431,6.019076909869909
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26785939769136863,0.42288685862555503,0.00698697566986084,0.013664758764207363,0.8070780038833618,0.6510862074792385
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18857935422986197,0.31926942127539654,0.01493147574365139,0.024674536660313606,0.886956512928009,0.1356392316520214
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1317852412304705,0.21504736914320624,0.017224030569195747,0.0367598719894886,0.9062918424606323,0.36318065598607063
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08285323041717653,0.14414042683176048,0.006418876349925995,0.017365794628858566,0.945134162902832,0.7805844023823738
bank-marketing,TabPFN-v2.6,30140,15071,0.17183955894826256,0.2992705748874153,0.003334139473736286,0.0095372861251235,0.8933714032173157,1.2330287918448448
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.30843877367144623,0.49072735563355,0.043458618223667145,0.07028554379940033,0.7879999876022339,0.238225519657135
churn,TabPFN-v2.6,3333,1667,0.057985862925579106,0.11853345670621283,0.007202414330095053,0.015154652297496796,0.9646070599555969,0.41394949704408646
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10535247358088339,0.19959516608664207,0.005717635154724121,0.006730629131197929,0.9404398202896118,0.49311113730072975
credit-g,TabPFN-v2.6,666,334,0.3552194687887234,0.5216340664646946,0.06212276965379715,0.08757524192333221,0.7305389046669006,0.09706946462392807
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.26252384528805917,0.4196949839635368,0.007504054345190525,0.013438034802675247,0.8237000107765198,0.9604304134845734
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052630341590091716,0.08399207295743952,0.000961066223680973,0.0017736697336658835,0.9631357789039612,16.06254107132554
diabetes,TabPFN-v2.6,512,256,0.3104952993506194,0.46716829167236407,0.024205371737480164,0.07895566523075104,0.75,0.2079739235341549
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06635516978380554,0.11944374535905702,0.014263255521655083,0.01747038960456848,0.9587500095367432,0.4365309216082096
heloc,TabPFN-v2.6,6972,3487,0.3629762958434918,0.5426307213540646,0.009919971227645874,0.0162113755941391,0.7312876582145691,0.5781297273933887
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.298205860308256,0.4609515820528755,0.012964166700839996,0.022749632596969604,0.790917694568634,0.7954951599240303
jm1,TabPFN-v2.6,7256,3629,0.257027239784,0.409879741185891,0.008229110389947891,0.014542127959430218,0.8211628794670105,0.554299172013998
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03333108438313083,0.07530487147464414,0.0019155419431626797,0.002103065373376012,0.9821803569793701,2.2405563555657864
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13888773001050722,0.22343792433917267,0.0060632312670350075,0.013560076244175434,0.9029197096824646,0.9269067980349064
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.024540154992593485,0.05093911598553598,0.0035569407045841217,0.005940290633589029,0.9857867956161499,0.6034720093011856
qsar-biodeg,TabPFN-v2.6,702,352,0.18805592927295034,0.3171801974810814,0.034547820687294006,0.041026726365089417,0.8778409361839294,0.25162699446082115
seismic-bumps,TabPFN-v2.6,1722,862,0.11086511185542457,0.20453808678053553,0.00985277071595192,0.013957622461020947,0.9338747262954712,0.18405810743570328
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.043384449070992724,0.0781871744419451,0.0029742009937763214,0.007832937873899937,0.9718433618545532,0.6264410801231861
APSFailure,TabICLv2,50666,25334,0.007936628546058259,0.01448808851113549,0.0007721474394202232,0.0012825803132727742,0.9947896003723145,3.845182314515114
