dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
APSFailure,TabPFN-v2.6,50666,25334,0.008641764521598816,0.01597701944410801,0.0013066858518868685,0.0017625096952542663,0.9944343566894531,0.14743786305189133
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08136541396379471,0.15636485815048218,0.004511869512498379,0.00693494314327836,0.9485489130020142,0.05650023743510246
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1962490826845169,0.321449875831604,0.0082563366740942,0.017858639359474182,0.8677264451980591,0.01883266121149063
Bioresponse,TabPFN-v2.6,2500,1251,0.2712404429912567,0.42042645812034607,0.02777622640132904,0.04534274712204933,0.8033573031425476,0.008349023759365082
Diabetes130US,TabPFN-v2.6,47678,23840,0.15350466966629028,0.27979421615600586,0.005233917385339737,0.007033057976514101,0.9121224880218506,0.11982041597366333
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3547251224517822,0.4957243502140045,0.013401538133621216,0.007397881709039211,0.6880283355712891,0.02060086280107498
Fitness_Club,TabPFN-v2.6,1000,500,0.3131871819496155,0.4764535427093506,0.020932208746671677,0.040359582751989365,0.777999997138977,0.004865609109401703
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09741505980491638,0.17544406652450562,0.0012713707983493805,0.0030105612240731716,0.9379000067710876,0.24433103203773499
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2683757543563843,0.42327824234962463,0.009705953299999237,0.01410848181694746,0.8067647814750671,0.03391159698367119
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1888112723827362,0.3193270266056061,0.014566395431756973,0.03356220945715904,0.8852173686027527,0.005236450582742691
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1308738887310028,0.21095213294029236,0.014890503138303757,0.031102648004889488,0.9076305031776428,0.005944456905126572
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08298175036907196,0.14100661873817444,0.006988817825913429,0.011806613765656948,0.9431317448616028,0.014464013278484344
bank-marketing,TabPFN-v2.6,30140,15071,0.17189620435237885,0.29937952756881714,0.004204612225294113,0.008839726448059082,0.8937695026397705,0.07684776932001114
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3098604083061218,0.4917064309120178,0.04585881903767586,0.09095413237810135,0.7799999713897705,0.0037686787545681
churn,TabPFN-v2.6,3333,1667,0.05758463218808174,0.12156093865633011,0.007009758614003658,0.014292918145656586,0.9646070599555969,0.010534018278121948
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.105562224984169,0.19988994300365448,0.006357591599225998,0.006898937281221151,0.9401344060897827,0.01861964538693428
credit-g,TabPFN-v2.6,666,334,0.331979900598526,0.4992853105068207,0.037701018154621124,0.05666382238268852,0.7455089688301086,0.004120171070098877
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.26248863339424133,0.41945508122444153,0.004335155710577965,0.01053851842880249,0.8235999941825867,0.05112174525856972
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05263575166463852,0.08405737578868866,0.0011271563125774264,0.0021033105440437794,0.9630433917045593,0.2137402482330799
diabetes,TabPFN-v2.6,512,256,0.3093382716178894,0.46536052227020264,0.020839281380176544,0.06150773540139198,0.76171875,0.0036900751292705536
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06599205732345581,0.12151585519313812,0.014461200684309006,0.021143995225429535,0.9612500071525574,0.0064566247165203094
heloc,TabPFN-v2.6,6972,3487,0.3633020222187042,0.5431069135665894,0.01156703382730484,0.020148681476712227,0.7324347496032715,0.019498705863952637
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.2980949580669403,0.46066439151763916,0.012534089386463165,0.02012869529426098,0.7894985675811768,0.022761758416891098
jm1,TabPFN-v2.6,7256,3629,0.2575308680534363,0.4131232798099518,0.010845925658941269,0.01709253340959549,0.8219895362854004,0.0204559788107872
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.033336441963911057,0.07524698227643967,0.0015960386954247952,0.0010345230111852288,0.9821803569793701,0.08403994143009186
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13893121480941772,0.22297810018062592,0.006332543212920427,0.011467686854302883,0.9031630158424377,0.022510502487421036
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02544567734003067,0.05279231816530228,0.00474301353096962,0.006523609161376953,0.9842639565467834,0.012115925550460815
