dataset,model,cal_size,test_size,XGBoost_brier,XGBoost_logloss,XGBoost_kuiper,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
APSFailure,TabPFN-v2.6,50666,25334,0.009730521589517593,0.0188897754997015,0.003238150617107749,0.004810982383787632,0.9945132732391357,0.1947044557891786
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08145393431186676,0.15621787309646606,0.003842860460281372,0.00752711296081543,0.9490982294082642,0.10012980224564672
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1976080685853958,0.3248923718929291,0.007600282318890095,0.01868310756981373,0.8662267327308655,0.04640655918046832
Bioresponse,TabPFN-v2.6,2500,1251,0.2736966907978058,0.42848485708236694,0.02684764564037323,0.04556925967335701,0.808952808380127,0.03227773820981383
Diabetes130US,TabPFN-v2.6,47678,23840,0.1535513550043106,0.2798178791999817,0.005435429513454437,0.00460581062361598,0.9119966626167297,0.18153875367715955
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35548505187034607,0.5012540817260742,0.01552070677280426,0.02006116881966591,0.6831197142601013,0.046607397031039
Fitness_Club,TabPFN-v2.6,1000,500,0.3165791630744934,0.4809759259223938,0.024737268686294556,0.05010324716567993,0.7599999904632568,0.026336739771068096
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09751341491937637,0.17615294456481934,0.003146289847791195,0.004058591090142727,0.9379799962043762,0.3822730900719762
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26934877038002014,0.4248829185962677,0.010174952447414398,0.02098880708217621,0.8014406561851501,0.0661968169733882
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19499491155147552,0.33164533972740173,0.016741711646318436,0.03604259714484215,0.8782608509063721,0.02490751165896654
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1344781219959259,0.21939070522785187,0.01843366026878357,0.03645554929971695,0.9062918424606323,0.026696721091866493
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08375285565853119,0.15111683309078217,0.012874290347099304,0.02631838247179985,0.9447336792945862,0.037274220027029514
bank-marketing,TabPFN-v2.6,30140,15071,0.17186515033245087,0.2995150089263916,0.005243631079792976,0.006584945134818554,0.8939021825790405,0.12260831473395228
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.33099615573883057,0.5328239798545837,0.06295701861381531,0.11779326945543289,0.7879999876022339,0.022871865890920162
churn,TabPFN-v2.6,3333,1667,0.05963030457496643,0.12475895881652832,0.011212564073503017,0.02074078842997551,0.9646070599555969,0.031477270647883415
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10586214065551758,0.20063616335391998,0.008791133761405945,0.00505059864372015,0.9404398202896118,0.04372062906622887
credit-g,TabPFN-v2.6,666,334,0.3462209105491638,0.525233805179596,0.034263767302036285,0.06483954936265945,0.742514967918396,0.023122150916606188
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.26300764083862305,0.4203738868236542,0.008459635078907013,0.010287102311849594,0.8234000205993652,0.09016834991052747
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05359748378396034,0.10138227045536041,0.010697446763515472,0.02122170478105545,0.9630202651023865,0.30323047982528806
diabetes,TabPFN-v2.6,512,256,0.31691399216651917,0.47888419032096863,0.025980988517403603,0.05324561148881912,0.765625,0.025990059599280357
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.07000593096017838,0.13588666915893555,0.020812582224607468,0.03337535262107849,0.9599999785423279,0.028647000901401043
heloc,TabPFN-v2.6,6972,3487,0.3635610044002533,0.5431893467903137,0.013329923152923584,0.019616439938545227,0.7332950830459595,0.04897125996649265
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29935240745544434,0.4631587564945221,0.018094152212142944,0.030845019966363907,0.7904446721076965,0.05512841185554862
jm1,TabPFN-v2.6,7256,3629,0.2578471899032593,0.40967217087745667,0.010782113298773766,0.01708255149424076,0.8219895362854004,0.046135224867612123
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03341810405254364,0.07580498605966568,0.002788410522043705,0.0005383844254538417,0.9821803569793701,0.13714069686830044
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13926295936107635,0.22665508091449738,0.007284881547093391,0.01495546754449606,0.9024330973625183,0.050224124919623137
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025584978982806206,0.052433211356401443,0.006027931347489357,0.010505354963243008,0.9852792024612427,0.03394529968500137
qsar-biodeg,TabPFN-v2.6,702,352,0.19616937637329102,0.32801365852355957,0.03320062905550003,0.04590979591012001,0.8579545617103577,0.02406920026987791
seismic-bumps,TabPFN-v2.6,1722,862,0.11095946282148361,0.20336489379405975,0.008564047515392303,0.01405995711684227,0.9338747262954712,0.027614949736744165
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04408491402864456,0.0798710286617279,0.005070393905043602,0.009655265137553215,0.9718433618545532,0.03634916711598635
APSFailure,TabICLv2,50666,25334,0.009956116788089275,0.01883472502231598,0.004314036574214697,0.005040912888944149,0.9947501420974731,0.17721771961078048
Amazon_employee_access,TabICLv2,21846,10923,0.08135366439819336,0.1557525098323822,0.003365596756339073,0.004971658810973167,0.9485489130020142,0.10022824676707387
Bank_Customer_Churn,TabICLv2,6666,3334,0.19751298427581787,0.3243631422519684,0.011397589929401875,0.025389831513166428,0.8668266534805298,0.04693382419645786
Bioresponse,TabICLv2,2500,1251,0.29336315393447876,0.4560539126396179,0.029359467327594757,0.04711741581559181,0.7993605136871338,0.029657346662133932
Diabetes130US,TabICLv2,47678,23840,0.15417622029781342,0.2813618779182434,0.004706725478172302,0.005931804422289133,0.9119966626167297,0.17780357506126165
E-CommereShippingData,TabICLv2,7332,3667,0.35414499044418335,0.4997524917125702,0.012247465550899506,0.013062034733593464,0.6893918514251709,0.04493507323786616
Fitness_Club,TabICLv2,1000,500,0.316954642534256,0.4814339578151703,0.027382828295230865,0.052681345492601395,0.7599999904632568,0.025308931712061167
GiveMeSomeCredit,TabICLv2,100000,50000,0.0974937230348587,0.1760784387588501,0.0023930370807647705,0.003391028381884098,0.9377400279045105,0.3799609560519457
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2673915922641754,0.42230814695358276,0.011731281876564026,0.019634461030364037,0.8094268441200256,0.06645754585042596
Is-this-a-good-customer,TabICLv2,1148,575,0.19596761465072632,0.3366089165210724,0.01997903548181057,0.03472592309117317,0.8834782838821411,0.027280061971396208
Marketing_Campaign,TabICLv2,1493,747,0.14155982434749603,0.2252807468175888,0.01859307289123535,0.03143193572759628,0.8955823183059692,0.028155615087598562
NATICUSdroid,TabICLv2,4994,2497,0.0813707634806633,0.14664356410503387,0.012069284915924072,0.020539352670311928,0.9455346465110779,0.041017089039087296
bank-marketing,TabICLv2,30140,15071,0.17141561210155487,0.29936692118644714,0.00748862698674202,0.011334232054650784,0.8943003416061401,0.1297022271901369
blood-transfusion-service-center,TabICLv2,498,250,0.3155386447906494,0.51199871301651,0.051797907799482346,0.10262139141559601,0.7760000228881836,0.02455554297193885
churn,TabICLv2,3333,1667,0.05039258673787117,0.11330074816942215,0.014107320457696915,0.01751181297004223,0.970005989074707,0.03317382698878646
coil2000_insurance_policies,TabICLv2,6548,3274,0.10599526762962341,0.20101815462112427,0.005068364553153515,0.006024765782058239,0.9404398202896118,0.04454966215416789
credit-g,TabICLv2,666,334,0.33393561840057373,0.5071595907211304,0.045012831687927246,0.07194606214761734,0.757485032081604,0.024057375267148018
credit_card_clients_default,TabICLv2,20000,10000,0.2618100941181183,0.4187512695789337,0.007133476436138153,0.011713881976902485,0.8230000138282776,0.09116543596610427
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.0539521798491478,0.10161697119474411,0.010946415364742279,0.022634882479906082,0.9623273611068726,0.28880475321784616
diabetes,TabICLv2,512,256,0.3158930838108063,0.4818434715270996,0.0392264723777771,0.07374920696020126,0.77734375,0.024575934279710054
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.05400163307785988,0.10719414800405502,0.015139000490307808,0.03099595569074154,0.9637500047683716,0.030107103753834963
heloc,TabICLv2,6972,3487,0.363667368888855,0.5433622598648071,0.012731432914733887,0.0220438651740551,0.7315744161605835,0.04901634901762009
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3110645115375519,0.4769420325756073,0.01510891318321228,0.02226814068853855,0.7795647978782654,0.05468065990135074
jm1,TabICLv2,7256,3629,0.2604340612888336,0.41213420033454895,0.01723085157573223,0.016891542822122574,0.8203361630439758,0.04938320675864816
kddcup09_appetency,TabICLv2,33333,16667,0.03361993283033371,0.07670959085226059,0.0013638096861541271,0.0011051445035263896,0.9821803569793701,0.13567148614674807
online_shoppers_intention,TabICLv2,8220,4110,0.14131563901901245,0.22878117859363556,0.009014541283249855,0.018532445654273033,0.8999999761581421,0.04958960507065058
polish_companies_bankruptcy,TabICLv2,3940,1970,0.02866874448955059,0.06046668067574501,0.009091856889426708,0.012579374946653843,0.9842639565467834,0.03324746526777744
qsar-biodeg,TabICLv2,702,352,0.18058829009532928,0.3060251474380493,0.03461528569459915,0.04886296018958092,0.8863636255264282,0.024094881024211645
seismic-bumps,TabICLv2,1722,862,0.11380847543478012,0.21180963516235352,0.010566703975200653,0.012644889764487743,0.9338747262954712,0.026830098126083612
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04300489276647568,0.07981152087450027,0.005430853925645351,0.0072640483267605305,0.9709634780883789,0.03571053920313716
APSFailure,RealTabPFN-v2.5,50666,25334,0.009128332138061523,0.018266983330249786,0.002202556934207678,0.0032771816477179527,0.9944738149642944,0.16946582589298487
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08290018886327744,0.15852801501750946,0.003198908641934395,0.005520919803529978,0.9469925761222839,0.09696342423558235
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19611375033855438,0.3227798044681549,0.011743621900677681,0.027207816019654274,0.8698260188102722,0.044866403099149466
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2737123966217041,0.4291207194328308,0.027238160371780396,0.04030294343829155,0.8105515837669373,0.030196580570191145
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.1540137380361557,0.2814003825187683,0.004588059149682522,0.0053657786920666695,0.9119966626167297,0.1745942421257496
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35512521862983704,0.5008078813552856,0.021181363612413406,0.019947011023759842,0.6853013634681702,0.044075856916606426
Fitness_Club,RealTabPFN-v2.5,1000,500,0.31336501240730286,0.4775574505329132,0.021842170506715775,0.040391430258750916,0.765999972820282,0.02461280534043908
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09728910028934479,0.17616574466228485,0.004084229469299316,0.005671434570103884,0.9384400248527527,0.37053495505824685
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2684546411037445,0.4239822328090668,0.011927280575037003,0.01815170608460903,0.8051988482475281,0.0658812029287219
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.19725646078586578,0.3388744294643402,0.01874171569943428,0.02738615870475769,0.8713043332099915,0.025135039817541838
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.13505136966705322,0.2191295027732849,0.01758234202861786,0.035054437816143036,0.8995984196662903,0.02613612962886691
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08625774085521698,0.15467026829719543,0.014561422169208527,0.02611798234283924,0.9415298104286194,0.037316582165658474
bank-marketing,RealTabPFN-v2.5,30140,15071,0.1714104562997818,0.29898494482040405,0.004006950184702873,0.00576507393270731,0.8941676020622253,0.12647980405017734
