dataset,model,cal_size,test_size,n_classes,BBQ_brier,BBQ_logloss,BBQ_ece-15,BBQ_accuracy,BBQ_time
MIC,TabPFN-v2.6,1132,567,8,0.19711252200926455,0.5186535275024583,0.08865626156330109,0.8871251940727234,0.48085730616003275
SDSS17,TabPFN-v2.6,52035,26018,3,0.034341760256983246,0.07104307451269326,0.0010264224838465452,0.9788992404937744,7.753259799443185
anneal,TabPFN-v2.6,598,300,5,0.006660837519485765,0.2927819404427889,0.001671433448791504,0.996666669845581,0.1955497581511736
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.3137849532067776
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19101051256499957,0.393263783013791,0.040961332619190216,0.88165682554245,0.13619226217269897
splice,TabPFN-v2.6,2126,1064,3,0.03520010703260645,0.08190157144230416,0.015263820998370647,0.9765037298202515,0.28471656050533056
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31635222964246673,0.566420348393512,0.020225802436470985,0.7789830565452576,0.4262389987707138
website_phishing,TabPFN-v2.6,902,451,3,0.10450207263059452,0.2028320172081572,0.015717362985014915,0.9379157423973083,0.15795845538377762
MIC,TabICLv2,1132,567,8,0.19658218321984441,0.5235144785327864,0.07693814486265182,0.8888888955116272,0.46980060916393995
SDSS17,TabICLv2,52035,26018,3,0.03554292107184147,0.07499004222277485,0.0015665068058297038,0.9781689643859863,7.541766392067075
anneal,TabICLv2,598,300,5,0.012893607331286224,0.3067941438727161,0.0016004443168640137,0.9933333396911621,0.19644858315587044
hiva_agnostic,TabICLv2,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.31518080551177263
maternal_health_risk,TabICLv2,676,338,3,0.17926145380518405,0.35260596411778933,0.037561673671007156,0.8786982297897339,0.1354781538248062
splice,TabICLv2,2126,1064,3,0.03320563651174923,0.07669624208527916,0.011541577987372875,0.9802631735801697,0.28158218413591385
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3149314902774837,0.5692741651386639,0.025339456275105476,0.7823728919029236,0.41205020993947983
website_phishing,TabICLv2,902,451,3,0.10770405115802649,0.20751542777518506,0.01699044182896614,0.9356984496116638,0.15883056726306677
MIC,RealTabPFN-v2.5,1132,567,8,0.19297201910196046,0.5066983617611434,0.07565923780202866,0.8906525373458862,0.4805179126560688
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.032662103109678826,0.0696690309587011,0.0015409381594508886,0.9802060127258301,7.615733518265188
anneal,RealTabPFN-v2.5,598,300,5,0.006688884522032253,0.29445775281479286,2.7418136596679688e-06,0.996666669845581,0.1853631967678666
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.31485692132264376
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.200171167848058,0.404855033428131,0.058997828513383865,0.88165682554245,0.13492009788751602
splice,RealTabPFN-v2.5,2126,1064,3,0.0419811157741874,0.0928241950406094,0.008663766086101532,0.9746240377426147,0.2868420472368598
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31078547057495326,0.558458995846321,0.024939492344856262,0.7769491672515869,0.4195133289322257
website_phishing,RealTabPFN-v2.5,902,451,3,0.11386270420515932,0.2242114338158654,0.020748572424054146,0.9268292784690857,0.14840450044721365
MIC,TabICL_GPU,1132,567,8,0.20462616478215742,0.5342058497577138,0.05413687601685524,0.8835979104042053,0.4394654994830489
SDSS17,TabICL_GPU,52035,26018,3,0.03850331880802179,0.08046420298707288,0.001937754568643868,0.9765162467956543,7.3680451503023505
anneal,TabICL_GPU,598,300,5,0.021273960992485977,0.32556747238717787,0.011749603785574436,0.9866666793823242,0.18965772911906242
maternal_health_risk,TabICL_GPU,676,338,3,0.18451810347626935,0.3705099041755785,0.041581083089113235,0.8757396340370178,0.131368818692863
splice,TabICL_GPU,2126,1064,3,0.07515363249315977,0.14832294767621693,0.01592131517827511,0.9501879811286926,0.2840326437726617
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3250173635178878,0.5876257114033563,0.02017286606132984,0.7647457718849182,0.4170703710988164
website_phishing,TabICL_GPU,902,451,3,0.11113044671316738,0.21190321371205828,0.019572388380765915,0.9312638640403748,0.15657664835453033
MIC,LimiX_GPU,1132,567,8,0.20113979865044693,0.5477865824523944,0.06389106810092926,0.8871251940727234,0.46272677928209305
anneal,LimiX_GPU,598,300,5,0.006699486801087282,0.29477457550625896,0.0003148317337036133,0.996666669845581,0.18919359240680933
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.3066173968836665
maternal_health_risk,LimiX_GPU,676,338,3,0.18779872521749744,0.3757125882507158,0.0676417350769043,0.8875739574432373,0.1303674355149269
splice,LimiX_GPU,2126,1064,3,0.0348849317991606,0.08382693496393882,0.014688988216221333,0.9821428656578064,0.27750587835907936
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3184956810712268,0.5748010896718827,0.023946071043610573,0.7688135504722595,0.41460486501455307
website_phishing,LimiX_GPU,902,451,3,0.11684934024866446,0.2259523053861383,0.024233084172010422,0.9334811568260193,0.15628015343099833
MIC,TabM_GPU,1132,567,8,0.19456439707424683,0.5307773530047829,0.04464590176939964,0.8835979104042053,0.46509616170078516
SDSS17,TabM_GPU,52035,26018,3,0.04107486110550704,0.08647053422142698,0.0017021212261170149,0.9743254780769348,7.770686833187938
anneal,TabM_GPU,598,300,5,0.00973918644533619,0.29746558684330104,0.0015731514431536198,0.9933333396911621,0.19123387802392244
hiva_agnostic,TabM_GPU,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.3031834438443184
