dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
MIC,TabPFN-v2.6,1132,567,8,0.18248956714817177,1.354627795024311,0.051199279725551605,0.8906525373458862,0.01713840663433075
SDSS17,TabPFN-v2.6,52035,26018,3,0.03427212247479182,0.06968588872173156,0.0013026230735704303,0.97901451587677,0.04895681142807007
anneal,TabPFN-v2.6,598,300,5,0.006422169076724572,0.2306149821456944,0.0029457807540893555,0.996666669845581,0.008111145347356796
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06832455674088286,0.1748563801925613,0.0020723342895507812,0.9648985862731934,0.006480582058429718
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18814868331125262,0.929415634806714,0.034195393323898315,0.8786982297897339,0.00578177347779274
splice,TabPFN-v2.6,2126,1064,3,0.03560100487930879,0.07689004838964196,0.012235933914780617,0.9765037298202515,0.006813276559114456
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3138485286356521,0.5971806705292912,0.02761923521757126,0.7762711644172668,0.007976312190294266
website_phishing,TabPFN-v2.6,902,451,3,0.11021744858723584,0.3330019417836432,0.022680044174194336,0.9312638640403748,0.005675900727510452
MIC,TabICLv2,1132,567,8,0.18670662472919142,1.3640114089192428,0.04562072828412056,0.8888888955116272,0.01453307643532753
SDSS17,TabICLv2,52035,26018,3,0.03542893210459995,0.07350110314683464,0.0009201478096656501,0.9782074093818665,0.044073715806007385
anneal,TabICLv2,598,300,5,0.014408953764569219,0.2430639733103499,0.009303808212280273,0.9900000095367432,0.008267641067504883
hiva_agnostic,TabICLv2,2563,1282,3,0.06830640792544318,0.1759458013445463,0.0041956305503845215,0.9648985862731934,0.006380144506692886
maternal_health_risk,TabICLv2,676,338,3,0.17872296851228958,1.2849239098882672,0.042195092886686325,0.8875739574432373,0.005840718746185303
splice,TabICLv2,2126,1064,3,0.03375914589848571,0.07340365369759162,0.010672389529645443,0.981203019618988,0.0067825764417648315
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3112248603405572,0.5913789921820636,0.025195196270942688,0.7850847244262695,0.008096303790807724
website_phishing,TabICLv2,902,451,3,0.10842805206379663,0.3279921131967958,0.023748323321342468,0.9334811568260193,0.00565791130065918
MIC,RealTabPFN-v2.5,1132,567,8,0.18162314989936496,1.2434409544051008,0.04548443481326103,0.89241623878479,0.014680575579404831
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03244247529151433,0.0677147639620044,0.001636168803088367,0.9802444577217102,0.04357581213116646
anneal,RealTabPFN-v2.5,598,300,5,0.007671452000115487,0.23276511258501556,0.004818330518901348,0.996666669845581,0.008221447467803955
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06846497012104594,0.17509181282798755,0.0010742866434156895,0.9648985862731934,0.006531123071908951
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.1963525442535319,0.3761739641503696,0.047757554799318314,0.8786982297897339,0.005653403699398041
splice,RealTabPFN-v2.5,2126,1064,3,0.04044825384680146,0.08831155140246327,0.007248107343912125,0.9755638837814331,0.006765678524971008
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30941687131776596,0.5897857767072069,0.026530999690294266,0.7810169458389282,0.008194152265787125
