dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
MIC,TabPFN-v2.6,1132,567,8,0.1803283071506788,0.4613711660421384,0.046815142035484314,0.8871251940727234,11.539454270154238
SDSS17,TabPFN-v2.6,52035,26018,3,0.03442165957661916,0.0679712139545176,0.0009342419216409326,0.9789376854896545,11.483395580202341
anneal,TabPFN-v2.6,598,300,5,0.006206414612312597,0.057832159559751045,0.0035277248825877905,0.996666669845581,11.177948642522097
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06834657773837606,0.17427524857119342,0.0004622936248779297,0.9648985862731934,5.4625065587460995
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19095136089700715,0.3682222828564459,0.051654137670993805,0.8727810382843018,5.242144908756018
splice,TabPFN-v2.6,2126,1064,3,0.03736826185185128,0.08165518268398689,0.0144302723929286,0.9755638837814331,5.886523466557264
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3120202801639706,0.5507770251126238,0.03095436654984951,0.7830508351325989,5.6189534068107605
website_phishing,TabPFN-v2.6,902,451,3,0.11150051422454847,0.20413792446140405,0.023148464038968086,0.9312638640403748,5.559873431921005
MIC,TabICLv2,1132,567,8,0.18342379914642015,0.4773390979311202,0.039918575435876846,0.8871251940727234,0.7035708427429199
SDSS17,TabICLv2,52035,26018,3,0.03540745104777576,0.07147635188121662,0.0014110886259004474,0.9785917401313782,1.894577719271183
anneal,TabICLv2,598,300,5,0.01136310360031059,0.07538493807772112,0.009249315597116947,0.9933333396911621,1.138336006551981
hiva_agnostic,TabICLv2,2563,1282,3,0.06820093193189444,0.17344902311959143,0.00134354829788208,0.9648985862731934,0.6795488819479942
maternal_health_risk,TabICLv2,676,338,3,0.1765649775979946,0.34841816553668437,0.039603013545274734,0.8875739574432373,0.49659932404756546
splice,TabICLv2,2126,1064,3,0.03511669093814986,0.0771183224357577,0.017032068222761154,0.981203019618988,0.5669932924211025
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31080361015866353,0.5469007564022159,0.02726634591817856,0.7769491672515869,0.47099677100777626
website_phishing,TabICLv2,902,451,3,0.10858260879123571,0.20001989955465518,0.03229144960641861,0.9334811568260193,0.6420089676976204
MIC,RealTabPFN-v2.5,1132,567,8,0.17965007815810352,0.4557458011097866,0.03823896870017052,0.8906525373458862,0.5630669593811035
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03266039618219821,0.06634074319852841,0.0013616023352369666,0.9803981781005859,1.6490117460489273
anneal,RealTabPFN-v2.5,598,300,5,0.005316865189793892,0.03907393097247587,0.004671073984354734,0.996666669845581,1.6290747560560703
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06824991734380374,0.17363840032141548,0.0002186894416809082,0.9648985862731934,0.46721839532256126
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2051805296880895,0.3869739401150712,0.058521296828985214,0.8757396340370178,0.5001461245119572
splice,RealTabPFN-v2.5,2126,1064,3,0.0401983566528108,0.08665689741798373,0.013294931501150131,0.9736841917037964,0.4594881236553192
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3089128951290141,0.5467895590712512,0.01873418129980564,0.7884745597839355,0.4708886966109276
website_phishing,RealTabPFN-v2.5,902,451,3,0.11590266805619207,0.21000057696631338,0.02886078879237175,0.9290465712547302,0.6454448290169239
MIC,TabICL_GPU,1132,567,8,0.19103664349579963,0.4929162005695748,0.03691345825791359,0.8853615522384644,0.6949910409748554
