dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
MIC,TabPFN-v2.6,1132,567,8,0.18269443947776662,1.6097322028894543,0.05525015667080879,0.8906525373458862,0.015918022021651268
SDSS17,TabPFN-v2.6,52035,26018,3,0.034387477851867174,0.0706228271436846,0.001776214106939733,0.9789376854896545,0.06592740910127759
anneal,TabPFN-v2.6,598,300,5,0.006440353303734143,0.29238618102414354,0.0019126534461975098,0.996666669845581,0.009113517124205828
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06831683382712146,0.17437184687602977,4.655122756958008e-05,0.9648985862731934,0.009371585678309202
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1892303654760869,1.0956550000151788,0.03425372764468193,0.8757396340370178,0.00760150421410799
splice,TabPFN-v2.6,2126,1064,3,0.03540315055757125,0.07729880760950707,0.012461235746741295,0.978383481502533,0.009119583759456873
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3140862504221773,0.6109809589266539,0.01906469091773033,0.7769491672515869,0.009796116035431623
website_phishing,TabPFN-v2.6,902,451,3,0.1069547733106369,0.368267905687466,0.017967594787478447,0.9334811568260193,0.00753099424764514
MIC,TabICLv2,1132,567,8,0.18529799337405267,1.618185696393837,0.03608129918575287,0.8888888955116272,0.01180198322981596
SDSS17,TabICLv2,52035,26018,3,0.03546370723621027,0.07434764688518254,0.0010936909820884466,0.978053629398346,0.06206225976347923
anneal,TabICLv2,598,300,5,0.013175260009068044,0.3040594214625418,0.010986433364450932,0.9933333396911621,0.008886783849447966
hiva_agnostic,TabICLv2,2563,1282,3,0.06825890612662161,0.17408238346490273,0.0003184080123901367,0.9648985862731934,0.009623974561691284
maternal_health_risk,TabICLv2,676,338,3,0.18404024003314565,1.5638482369311313,0.04326937720179558,0.88165682554245,0.007374132052063942
splice,TabICLv2,2126,1064,3,0.034221062893620466,0.075609143972297,0.013853457756340504,0.9793233275413513,0.008908260613679886
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31221173442565997,0.6051662172777299,0.02449072152376175,0.7796609997749329,0.010710561648011208
website_phishing,TabICLv2,902,451,3,0.10719930657017362,0.3689182303977149,0.025161441415548325,0.9356984496116638,0.007568728178739548
MIC,RealTabPFN-v2.5,1132,567,8,0.18173799632253987,1.4609740252243184,0.04506058990955353,0.89241623878479,0.011668073944747448
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.032495376696044055,0.0685391089680998,0.0011682944605126977,0.9802829027175903,0.06339961709454656
anneal,RealTabPFN-v2.5,598,300,5,0.007403695712882155,0.29440218508523286,0.00549263646826148,0.996666669845581,0.008780117146670818
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06841181588426189,0.1756047308430989,0.00039207935333251953,0.9648985862731934,0.009945526253432035
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19608093868295778,0.3745343923973743,0.05755607783794403,0.8757396340370178,0.007918538060039282
splice,RealTabPFN-v2.5,2126,1064,3,0.040506745088075294,0.0850313373021632,0.008082893677055836,0.9765037298202515,0.00878747459501028
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3098319415522275,0.6025859622629961,0.023602962493896484,0.7789830565452576,0.009793766308575869
website_phishing,RealTabPFN-v2.5,902,451,3,0.11243071171597539,0.37496816632111524,0.021871935576200485,0.9312638640403748,0.0076319328509271145
MIC,TabICL_GPU,1132,567,8,0.1932721085620439,1.2036124311126255,0.03543145954608917,0.8871251940727234,0.01256385026499629
SDSS17,TabICL_GPU,52035,26018,3,0.03846841867276787,0.07900618203706417,0.0020807883702218533,0.9765931367874146,0.06352044688537717
anneal,TabICL_GPU,598,300,5,0.03289350414804191,0.33497238096290166,0.018207643181085587,0.9833333492279053,0.009561926126480103
maternal_health_risk,TabICL_GPU,676,338,3,0.1864880879507158,1.577796618139843,0.022270051762461662,0.8757396340370178,0.007382804993540049
splice,TabICL_GPU,2126,1064,3,0.07388230000954729,0.13842284164476,0.010848055593669415,0.9520676732063293,0.00891184713691473
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3229326171599049,0.6255533554267902,0.02550823800265789,0.7654237151145935,0.010415494907647371
website_phishing,TabICL_GPU,902,451,3,0.11219279516543415,0.3750442890176367,0.023015247657895088,0.9268292784690857,0.00786626385524869
MIC,LimiX_GPU,1132,567,8,0.18972856086336945,1.633318971641084,0.05010346695780754,0.8888888955116272,0.01172748114913702
anneal,LimiX_GPU,598,300,5,0.0076397113457655555,0.2949399981303543,0.006849485915154219,0.996666669845581,0.008566838223487139
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0682416936954687,0.1736136808337629,0.0003237216442357749,0.9648985862731934,0.009397672954946756
maternal_health_risk,LimiX_GPU,676,338,3,0.18489074227737642,0.8385734075165818,0.04519486054778099,0.8875739574432373,0.007839475758373737
splice,LimiX_GPU,2126,1064,3,0.03444357086493512,0.1565592299838715,0.013513311743736267,0.9830827116966248,0.009100490715354681
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3174533568890359,0.6132700197164095,0.01959928683936596,0.7715254426002502,0.00978074036538601
website_phishing,LimiX_GPU,902,451,3,0.11604060956950896,0.3868057865522532,0.033685702830553055,0.9312638640403748,0.007580196019262075
MIC,TabM_GPU,1132,567,8,0.18353406083369977,1.043721652529934,0.04038587585091591,0.8888888955116272,0.011927686631679535
SDSS17,TabM_GPU,52035,26018,3,0.04062911094803009,0.08439423097177834,0.0019244543509557843,0.9745945334434509,0.06314349919557571
anneal,TabM_GPU,598,300,5,0.009124600839415742,0.29531511368637453,0.006572926416993141,0.9933333396911621,0.009500662796199322
hiva_agnostic,TabM_GPU,2563,1282,3,0.06835160063692383,0.1750663230534293,0.0005573034286499023,0.9648985862731934,0.010386244393885136
maternal_health_risk,TabM_GPU,676,338,3,0.2693993266012992,0.49325691399228416,0.0700589269399643,0.8195266127586365,0.007908934261649847
splice,TabM_GPU,2126,1064,3,0.042259772843300916,0.16396718784363762,0.011568340472877026,0.9765037298202515,0.009031305089592934
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3195558811695888,0.5653668451753034,0.019972264766693115,0.7688135504722595,0.010093722958117723
website_phishing,TabM_GPU,902,451,3,0.11981248533566342,0.39112227611037104,0.0265464149415493,0.9201774001121521,0.007700780872255564
MIC,RealMLP_GPU,1132,567,8,0.1837170149293236,1.0233637764728727,0.039152126759290695,0.8906525373458862,0.011789086740463972
SDSS17,RealMLP_GPU,52035,26018,3,0.0428166199007287,0.08632102967671225,0.0022220395039767027,0.9744407534599304,0.06345587130635977
anneal,RealMLP_GPU,598,300,5,0.01575249928342325,0.3036268619494131,0.006308889947831631,0.9900000095367432,0.009092871099710464
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06866976520696975,0.17609449343427142,0.0010408218950033188,0.9648985862731934,0.009629471227526665
maternal_health_risk,RealMLP_GPU,676,338,3,0.21487588322480117,1.1240276521850334,0.0659930631518364,0.8639053106307983,0.007497136015444994
splice,RealMLP_GPU,2126,1064,3,0.039587941068506424,0.08424349509283237,0.009794977493584156,0.9736841917037964,0.009048218838870525
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3164368720386008,0.6720523205560064,0.019961562007665634,0.7783051133155823,0.009943992830812931
website_phishing,RealMLP_GPU,902,451,3,0.12008928578343336,0.7563266883622565,0.03372427821159363,0.9246119856834412,0.007637946866452694
MIC,BetaTabPFN_GPU,1132,567,8,0.18176597079513354,1.316357331513765,0.04232623800635338,0.8888888955116272,0.011926266364753246
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04786827831224618,0.0956835784704035,0.0030566747300326824,0.9712890982627869,0.06359525909647346
anneal,BetaTabPFN_GPU,598,300,5,0.015140073555760039,0.5874350458655713,0.0066221109591424465,0.9900000095367432,0.009350697975605726
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06833070030948551,0.17410680968823916,0.0014926042640581727,0.9648985862731934,0.009600833058357239
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28772010871775294,0.5029175776965514,0.0677570030093193,0.8254438042640686,0.007451103068888187
splice,BetaTabPFN_GPU,2126,1064,3,0.04103437622597385,0.08384301914287397,0.011972185224294662,0.9746240377426147,0.008976890239864588
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3211844017134386,0.6255307198676262,0.029118439182639122,0.7667796611785889,0.009917261078953743
website_phishing,BetaTabPFN_GPU,902,451,3,0.12819201146007572,0.40396281289474545,0.033929917961359024,0.9246119856834412,0.007620682008564472
MIC,ModernNCA_GPU,1132,567,8,0.18269297613922253,0.8919462133612202,0.033338893204927444,0.8906525373458862,0.01167038083076477
SDSS17,ModernNCA_GPU,52035,26018,3,0.03815243397720251,0.07518257333984354,0.0021077641285955906,0.9762471914291382,0.06382994027808309
anneal,ModernNCA_GPU,598,300,5,0.007050231952039625,0.29292264234980386,0.004692655522376299,0.996666669845581,0.009653999004513025
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851702015023926,0.17586153538427376,0.00275500793941319,0.9648985862731934,0.009733087848871946
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21825957903302054,1.3718259023587884,0.030872976407408714,0.8520709872245789,0.008737346157431602
splice,ModernNCA_GPU,2126,1064,3,0.045184207030230274,0.09749081909776447,0.022500427439808846,0.972744345664978,0.009531578980386257
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3250510327078439,0.575285819181315,0.0197603777050972,0.7749152779579163,0.010476068127900362
website_phishing,ModernNCA_GPU,902,451,3,0.12950704844902133,0.7736839085684023,0.034616731107234955,0.9201774001121521,0.00805002823472023
MIC,Mitra_GPU,1132,567,8,0.18254330676826,1.1760473661607347,0.032004278153181076,0.8871251940727234,0.011665944941341877
anneal,Mitra_GPU,598,300,5,0.010244896916254133,0.301234656257878,0.012375474907457829,0.996666669845581,0.008426062762737274
maternal_health_risk,Mitra_GPU,676,338,3,0.19293803451056543,0.619395601315483,0.055785130709409714,0.8875739574432373,0.007076547015458345
splice,Mitra_GPU,2126,1064,3,0.0415852727944176,0.08740658124545381,0.016937000676989555,0.9736841917037964,0.00886780396103859
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3157594526875741,0.6148549791663224,0.019779909402132034,0.7708474397659302,0.010119896847754717
website_phishing,Mitra_GPU,902,451,3,0.11747659513945068,0.38341202977122135,0.034646619111299515,0.9179601073265076,0.007499309256672859
MIC,TabDPT_GPU,1132,567,8,0.19142017026124367,1.9331580811291935,0.036317288875579834,0.8871251940727234,0.011592959985136986
SDSS17,TabDPT_GPU,52035,26018,3,0.04070711884271583,0.08362110519968195,0.002180331153795123,0.9750941395759583,0.06345831183716655
anneal,TabDPT_GPU,598,300,5,0.014368708124173641,0.5875821252583248,0.007613713853061199,0.9933333396911621,0.008631919045001268
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.068517996221615,0.24280172256749039,0.00021365009888540953,0.9648985862731934,0.009464817121624947
maternal_health_risk,TabDPT_GPU,676,338,3,0.17760263253893427,1.305288296916754,0.036111123859882355,0.8786982297897339,0.01336748618632555
splice,TabDPT_GPU,2126,1064,3,0.09947594563004637,0.1813900465074314,0.015300017781555653,0.9342105388641357,0.009380870964378119
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3253293692481801,0.6279713405130752,0.027327176183462143,0.7593220472335815,0.00981191685423255
