dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
MIC,TabPFN-v2.6,1132,567,8,0.20431125164031982,0.5403465628623962,0.07252974808216095,0.8853615522384644,0.12462306395173073
SDSS17,TabPFN-v2.6,52035,26018,3,0.03628334775567055,0.08096275478601456,0.011293703690171242,0.97901451587677,26.45388463884592
anneal,TabPFN-v2.6,598,300,5,0.006724977400153875,0.0610334649682045,0.0029519861564040184,0.996666669845581,0.018038585782051086
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826755404472351,0.17381586134433746,0.0007852315902709961,0.9648985862731934,0.17205902934074402
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18476340174674988,0.3619772791862488,0.03151803836226463,0.8727810382843018,0.01294872909784317
splice,TabPFN-v2.6,2126,1064,3,0.03710123524069786,0.08003423362970352,0.009148620069026947,0.9774436354637146,0.18950919434428215
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31293636560440063,0.5586928129196167,0.03390413150191307,0.7830508351325989,0.2628382742404938
website_phishing,TabPFN-v2.6,902,451,3,0.11220868676900864,0.2245071679353714,0.023016121238470078,0.9334811568260193,0.023189634084701538
MIC,TabICLv2,1132,567,8,0.20823681354522705,0.5488114356994629,0.07768198847770691,0.8835979104042053,0.09892047196626663
SDSS17,TabICLv2,52035,26018,3,0.037416428327560425,0.08191470056772232,0.009918047115206718,0.9781305193901062,27.001723542809486
anneal,TabICLv2,598,300,5,0.01777631789445877,0.11976554989814758,0.008112790063023567,0.9866666793823242,0.017968926578760147
hiva_agnostic,TabICLv2,2563,1282,3,0.06827147305011749,0.17384696006774902,0.001955687999725342,0.9648985862731934,0.1741085723042488
maternal_health_risk,TabICLv2,676,338,3,0.17731785774230957,0.3662756681442261,0.029070906341075897,0.8875739574432373,0.012862373143434525
splice,TabICLv2,2126,1064,3,0.034302305430173874,0.07962632924318314,0.007189889904111624,0.981203019618988,0.2016906887292862
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31196221709251404,0.5589553117752075,0.02944469079375267,0.7830508351325989,0.2674079015851021
website_phishing,TabICLv2,902,451,3,0.1079459860920906,0.21454878151416779,0.026455216109752655,0.9379157423973083,0.024263374507427216
MIC,RealTabPFN-v2.5,1132,567,8,0.2005726844072342,0.5322101712226868,0.0732952430844307,0.8871251940727234,0.10519658029079437
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03331060707569122,0.07254299521446228,0.007394551765173674,0.9803981781005859,26.53132776170969
anneal,RealTabPFN-v2.5,598,300,5,0.0066596209071576595,0.10853730887174606,0.0018956661224365234,0.996666669845581,0.018620554357767105
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0682666227221489,0.17381195724010468,5.620718002319336e-05,0.9648985862731934,0.17338423803448677
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19939252734184265,0.3912919759750366,0.04678263142704964,0.8698225021362305,0.012600593268871307
splice,RealTabPFN-v2.5,2126,1064,3,0.04084201529622078,0.08779784291982651,0.010682795196771622,0.9736841917037964,0.18573056161403656
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30913788080215454,0.552997350692749,0.03002341277897358,0.783728837966919,0.27146898210048676
website_phishing,RealTabPFN-v2.5,902,451,3,0.11536563187837601,0.24699513614177704,0.03374267369508743,0.9312638640403748,0.021206237375736237
MIC,TabICL_GPU,1132,567,8,0.21161073446273804,0.5575270056724548,0.06995679438114166,0.8835979104042053,0.10278508439660072
SDSS17,TabICL_GPU,52035,26018,3,0.040811795741319656,0.08715219795703888,0.011561279185116291,0.9759781956672668,26.988722179085016
anneal,TabICL_GPU,598,300,5,0.03034311905503273,0.1339130401611328,0.01687777414917946,0.9833333492279053,0.01795174926519394
maternal_health_risk,TabICL_GPU,676,338,3,0.183341845870018,0.3671300709247589,0.035163119435310364,0.8875739574432373,0.012490898370742798
splice,TabICL_GPU,2126,1064,3,0.07728283107280731,0.1533692181110382,0.018034150823950768,0.9492481350898743,0.1920049786567688
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32260560989379883,0.5754074454307556,0.03538155555725098,0.7661017179489136,0.26998119428753853
website_phishing,TabICL_GPU,902,451,3,0.11196687817573547,0.21237747371196747,0.017536627128720284,0.9334811568260193,0.02150321751832962
MIC,LimiX_GPU,1132,567,8,0.20923300087451935,0.5557581186294556,0.07071023434400558,0.8835979104042053,0.10105864703655243
anneal,LimiX_GPU,598,300,5,0.006687405984848738,0.07834883034229279,0.0019655227661132812,0.996666669845581,0.017679106444120407
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06827094405889511,0.1738690882921219,0.0002919435501098633,0.9648985862731934,0.1696283370256424
maternal_health_risk,LimiX_GPU,676,338,3,0.18702462315559387,0.3685491979122162,0.06722958385944366,0.8934911489486694,0.012823689728975296
splice,LimiX_GPU,2126,1064,3,0.033128634095191956,0.0777517631649971,0.008334237150847912,0.9821428656578064,0.20428211241960526
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3169881999492645,0.565361499786377,0.04084587097167969,0.7735593318939209,0.2809458561241627
website_phishing,LimiX_GPU,902,451,3,0.11629597097635269,0.2246152013540268,0.028816279023885727,0.9268292784690857,0.021764516830444336
MIC,TabM_GPU,1132,567,8,0.20653457939624786,0.5509278178215027,0.0750804990530014,0.8835979104042053,0.10184837505221367
SDSS17,TabM_GPU,52035,26018,3,0.04140171781182289,0.08671928942203522,0.0067514898255467415,0.9749404191970825,26.906576868146658
anneal,TabM_GPU,598,300,5,0.013158455491065979,0.14666110277175903,0.007180818356573582,0.9933333396911621,0.01786532625555992
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826682388782501,0.1738172322511673,5.608797073364258e-05,0.9648985862731934,0.1621791012585163
maternal_health_risk,TabM_GPU,676,338,3,0.2515474259853363,0.4610981345176697,0.04552016034722328,0.8254438042640686,0.012421570718288422
splice,TabM_GPU,2126,1064,3,0.04380990192294121,0.09298305958509445,0.011755567975342274,0.9746240377426147,0.15893474593758583
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31708166003227234,0.5666825771331787,0.035904884338378906,0.7789830565452576,0.2439812235534191
website_phishing,TabM_GPU,902,451,3,0.12001455575227737,0.2664245367050171,0.035550009459257126,0.9246119856834412,0.024088222533464432
MIC,RealMLP_GPU,1132,567,8,0.20050063729286194,0.5316972136497498,0.07326947152614594,0.8818342089653015,0.1004054993391037
SDSS17,RealMLP_GPU,52035,26018,3,0.04420145973563194,0.0953114926815033,0.010804149322211742,0.9742101430892944,28.658608201891184
anneal,RealMLP_GPU,598,300,5,0.019487351179122925,0.14547686278820038,0.009780466556549072,0.9900000095367432,0.017851535230875015
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.0682845413684845,0.1739775836467743,0.0023124217987060547,0.9648985862731934,0.16582001373171806
maternal_health_risk,RealMLP_GPU,676,338,3,0.20091094076633453,0.38551464676856995,0.05064156651496887,0.8668639063835144,0.011945437639951706
splice,RealMLP_GPU,2126,1064,3,0.04080275818705559,0.08507142961025238,0.01202830858528614,0.9736841917037964,0.14983730763196945
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3159451484680176,0.563700258731842,0.03570053353905678,0.7823728919029236,0.22434575483202934
website_phishing,RealMLP_GPU,902,451,3,0.11499343812465668,0.23138892650604248,0.037796564400196075,0.9268292784690857,0.0233585387468338
MIC,BetaTabPFN_GPU,1132,567,8,0.20293724536895752,0.5406818389892578,0.07326599210500717,0.8871251940727234,0.09883786365389824
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04936448857188225,0.10518322885036469,0.010568867437541485,0.9709432125091553,27.359979692846537
anneal,BetaTabPFN_GPU,598,300,5,0.01949242316186428,0.15100492537021637,0.008130908012390137,0.9900000095367432,0.017376508563756943
