dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
MIC,TabPFN-v2.6,1132,567,8,0.18344840822607222,0.48415953382830834,0.0326499305665493,0.8835979104042053,0.4382815947756171
SDSS17,TabPFN-v2.6,52035,26018,3,0.0342428822315525,0.06765209638479473,0.001311952481046319,0.9789760708808899,3.36161682754755
anneal,TabPFN-v2.6,598,300,5,0.0067033001199291575,0.02959418877147442,0.0012624792288988829,0.996666669845581,0.20636126026511192
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.0683756795291319,0.1743639345664861,0.0007799522718414664,0.9648985862731934,0.15570155438035727
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1891518036070637,0.3632281792406527,0.03803030028939247,0.8786982297897339,0.13962391205132008
splice,TabPFN-v2.6,2126,1064,3,0.03572335028362686,0.08021199944741755,0.020762518048286438,0.9774436354637146,0.23319566529244184
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31602069276175027,0.5608872596021273,0.018547531217336655,0.7776271104812622,0.3201776538044214
website_phishing,TabPFN-v2.6,902,451,3,0.10995661256561591,0.20110634170901004,0.026971442624926567,0.9356984496116638,0.15685650147497654
MIC,TabICLv2,1132,567,8,0.18850962422077625,0.4930781540912185,0.03392742574214935,0.8853615522384644,0.4344555698335171
SDSS17,TabICLv2,52035,26018,3,0.03542392108724534,0.07146768655715503,0.0014715008437633514,0.9784764647483826,3.416745087131858
anneal,TabICLv2,598,300,5,0.0113580651265947,0.03744013233804921,0.01032696757465601,0.9933333396911621,0.18955903593450785
hiva_agnostic,TabICLv2,2563,1282,3,0.06839822702690725,0.17507113434991173,0.000369668094208464,0.9648985862731934,0.14664448332041502
maternal_health_risk,TabICLv2,676,338,3,0.18570358122986683,0.3539043744303515,0.048878263682127,0.8846153616905212,0.12656404171139002
splice,TabICLv2,2126,1064,3,0.03568830845229491,0.07893367865188573,0.01511691976338625,0.9774436354637146,0.24601186998188496
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31447341370858306,0.5564721537758396,0.030666891485452652,0.7830508351325989,0.30978433322161436
website_phishing,TabICLv2,902,451,3,0.11229955960479139,0.2084421819842472,0.035793449729681015,0.9356984496116638,0.14077731501311064
MIC,RealTabPFN-v2.5,1132,567,8,0.18492119740990068,0.4832110571759231,0.02887517772614956,0.8871251940727234,0.41576551739126444
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.0322237054266556,0.06518660759669202,0.0006084291962906718,0.9806287884712219,3.3466154327616096
anneal,RealTabPFN-v2.5,598,300,5,0.007921169665846028,0.02811283877793247,0.0029029950965195894,0.996666669845581,0.1896207444369793
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0683707032623875,0.17478165975787804,0.0009830233175307512,0.9648985862731934,0.15943749248981476
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2091915618177603,0.39292898541064303,0.06918139010667801,0.8668639063835144,0.13192238379269838
splice,RealTabPFN-v2.5,2126,1064,3,0.04122902436328257,0.08846474631379062,0.016306284815073013,0.9746240377426147,0.23482586815953255
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3123139161402561,0.5551407254569979,0.023757630959153175,0.7796609997749329,0.3081306293606758
website_phishing,RealTabPFN-v2.5,902,451,3,0.1134672882042307,0.2085559486067613,0.027559496462345123,0.9246119856834412,0.14586796797811985
MIC,TabICL_GPU,1132,567,8,0.1968229426561737,0.5208346573233711,0.020679010078310966,0.8800705671310425,0.4215072486549616
SDSS17,TabICL_GPU,52035,26018,3,0.03813382980633619,0.07568036990262385,0.0016946730902418494,0.9765546917915344,3.3990243077278137
anneal,TabICL_GPU,598,300,5,0.03256095108957609,0.08100899733979704,0.01412150263786316,0.9800000190734863,0.21705850400030613
maternal_health_risk,TabICL_GPU,676,338,3,0.186794306933242,0.35628240794742116,0.02199394814670086,0.8786982297897339,0.13893738947808743
splice,TabICL_GPU,2126,1064,3,0.07620936496184677,0.14689179057361235,0.013639711774885654,0.9492481350898743,0.23919339384883642
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32622013050994925,0.5787790928369838,0.020609769970178604,0.7627118825912476,0.3155822576954961
website_phishing,TabICL_GPU,902,451,3,0.11525301471015892,0.21027315806406463,0.029410449787974358,0.9290465712547302,0.14378732908517122
MIC,LimiX_GPU,1132,567,8,0.19194528341290953,0.5044602020584766,0.04455210641026497,0.8853615522384644,0.43533339630812407
anneal,LimiX_GPU,598,300,5,0.009388005479466327,0.033683171038056785,0.014546792954206467,0.996666669845581,0.1803853465244174
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06837626014659053,0.17477813797255567,1.2636184692382812e-05,0.9648985862731934,0.14611582830548286
maternal_health_risk,LimiX_GPU,676,338,3,0.19147474319944388,0.36175259668104626,0.050058335065841675,0.8875739574432373,0.13008994702249765
splice,LimiX_GPU,2126,1064,3,0.03501741994132195,0.0830002921740939,0.01836528070271015,0.9821428656578064,0.24493638891726732
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3199533558459868,0.5658092428965916,0.019557036459445953,0.7728813290596008,0.3216821104288101
website_phishing,LimiX_GPU,902,451,3,0.11935086614725884,0.2198098806252401,0.034912414848804474,0.9290465712547302,0.1440233802422881
MIC,TabM_GPU,1132,567,8,0.18384903023827392,0.48174175758218163,0.015898076817393303,0.8888888955116272,0.42249239794909954
SDSS17,TabM_GPU,52035,26018,3,0.04016009137458855,0.08037861954521745,0.0021306525450199842,0.9750941395759583,3.3651771247386932
anneal,TabM_GPU,598,300,5,0.010789776239056059,0.040472498951735505,0.007442590780556202,0.9933333396911621,0.1793622588738799
hiva_agnostic,TabM_GPU,2563,1282,3,0.06836783513170248,0.17512854550739287,9.846687316894531e-05,0.9648985862731934,0.14498443715274334
maternal_health_risk,TabM_GPU,676,338,3,0.292986630112051,0.5142484131639522,0.08699078112840652,0.7958579659461975,0.14165607932955027
splice,TabM_GPU,2126,1064,3,0.04220313321349576,0.08869350501833297,0.014473284594714642,0.9736841917037964,0.25762616749852896
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3212263131734737,0.5715054425826175,0.028691772371530533,0.7674576044082642,0.30498924665153027
website_phishing,TabM_GPU,902,451,3,0.12283609397308887,0.21971571589209973,0.029066283255815506,0.911308228969574,0.15291655529290438
MIC,RealMLP_GPU,1132,567,8,0.18816616352963,0.4848595005421363,0.021954452618956566,0.8835979104042053,0.4165220055729151
SDSS17,RealMLP_GPU,52035,26018,3,0.042574967581054356,0.08589576802775845,0.002462274394929409,0.9747098088264465,3.339196218177676
anneal,RealMLP_GPU,598,300,5,0.02077066955883613,0.049280387656017596,0.007705255877226591,0.9866666793823242,0.15715970378369093
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06823156269607175,0.17342874816874232,0.000617338577285409,0.9648985862731934,0.15249552950263023
maternal_health_risk,RealMLP_GPU,676,338,3,0.23549012107283648,0.4246019773662069,0.1044020876288414,0.8698225021362305,0.12293160427361727
splice,RealMLP_GPU,2126,1064,3,0.03815102882480736,0.08314820914087873,0.01218921784311533,0.9765037298202515,0.24221165385097265
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31586141142400326,0.5622056142439099,0.020252054557204247,0.7762711644172668,0.30033104959875345
website_phishing,RealMLP_GPU,902,451,3,0.12210624868063936,0.2222086513374623,0.02428189292550087,0.9246119856834412,0.15787792578339577
MIC,BetaTabPFN_GPU,1132,567,8,0.1848159841106716,0.4932226714876568,0.028320137411355972,0.8888888955116272,0.41934563778340816
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.0475163541669607,0.0945075308824737,0.003487911308184266,0.9714812636375427,3.440814250148833
anneal,BetaTabPFN_GPU,598,300,5,0.017167821469630563,0.06187600757408396,0.006450682878494263,0.9900000095367432,0.1838806103914976
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06828159336814611,0.17396391826528215,0.0002460479736328125,0.9648985862731934,0.14627033844590187
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.30448063615957854,0.5193750501486802,0.06447403132915497,0.7781065106391907,0.13811024650931358
splice,BetaTabPFN_GPU,2126,1064,3,0.04107622798973415,0.08780703323605982,0.013923841528594494,0.9755638837814331,0.24855198711156845
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3210986818350082,0.5710723869416364,0.01414091419428587,0.7654237151145935,0.30688976030796766
website_phishing,BetaTabPFN_GPU,902,451,3,0.13091293251220926,0.23499102863580348,0.022376416251063347,0.9201774001121521,0.14890259969979525
MIC,ModernNCA_GPU,1132,567,8,0.18512275610693596,0.4854883107608116,0.021314570680260658,0.8888888955116272,0.42714865785092115
SDSS17,ModernNCA_GPU,52035,26018,3,0.03803835681210355,0.07513906279859416,0.0024578848388046026,0.9763625264167786,3.308911985717714
anneal,ModernNCA_GPU,598,300,5,0.009316123072700628,0.0380733027167949,0.005054534412920475,0.9933333396911621,0.1821306860074401
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06829640370107548,0.17388264195333228,0.0022559762001037598,0.9648985862731934,0.15414608642458916
maternal_health_risk,ModernNCA_GPU,676,338,3,0.2294511839093816,0.40805535654275155,0.03661416471004486,0.8372781276702881,0.1407344015315175
splice,ModernNCA_GPU,2126,1064,3,0.044487561722314335,0.09865769761149376,0.025396037846803665,0.9755638837814331,0.24648004118353128
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32590741481085134,0.581368623318423,0.031887415796518326,0.7755932211875916,0.2872879337519407
website_phishing,ModernNCA_GPU,902,451,3,0.13152241716011298,0.23727892686193142,0.02542007341980934,0.9135255217552185,0.16374302934855223
MIC,Mitra_GPU,1132,567,8,0.18715478661341664,0.49550259422728543,0.032360952347517014,0.8835979104042053,0.41813470143824816
anneal,Mitra_GPU,598,300,5,0.01720468440193498,0.0464926357742812,0.016581429168581963,0.9866666793823242,0.1801081746816635
maternal_health_risk,Mitra_GPU,676,338,3,0.2079657632010434,0.39721989169616223,0.030224421992897987,0.8639053106307983,0.14878075290471315
splice,Mitra_GPU,2126,1064,3,0.04307760561609145,0.09207664803913929,0.0181608684360981,0.9746240377426147,0.2474880525842309
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3179368441631925,0.5682677137799985,0.026683848351240158,0.7735593318939209,0.3056013938039541
website_phishing,Mitra_GPU,902,451,3,0.12108824017310661,0.218974516332014,0.03520623594522476,0.9068736433982849,0.14152900874614716
MIC,TabDPT_GPU,1132,567,8,0.19537098249994483,0.5130614416359637,0.04595211148262024,0.8853615522384644,0.441910388879478
SDSS17,TabDPT_GPU,52035,26018,3,0.04068739569077062,0.08060582769424164,0.001762302010320127,0.9751710295677185,3.347066660411656
anneal,TabDPT_GPU,598,300,5,0.014658842274641492,0.048750068970955705,0.007319167256355286,0.9933333396911621,0.18306975811719894
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06852661066416865,0.17624692020097774,0.0008341331849806011,0.9648985862731934,0.15526941884309053
maternal_health_risk,TabDPT_GPU,676,338,3,0.17607467554937312,0.3318795059384582,0.022881263867020607,0.8905325531959534,0.14485806319862604
splice,TabDPT_GPU,2126,1064,3,0.10170901776981298,0.1901495470280302,0.013664321042597294,0.9332706928253174,0.23896794207394123
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3257812128268156,0.5770231288983151,0.02106703445315361,0.7654237151145935,0.30982051882892847
website_phishing,TabDPT_GPU,902,451,3,0.11613389157378753,0.21225937236185174,0.023390719667077065,0.9290465712547302,0.13866777531802654
