dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
MIC,TabPFN-v2.6,1132,567,8,0.17907067559115172,0.4484632353682397,0.04465743526816368,0.89241623878479,0.11670741997659206
SDSS17,TabPFN-v2.6,52035,26018,3,0.034357353573102704,0.06750084642975529,0.0008996299584396183,0.9788223505020142,0.49749602004885674
anneal,TabPFN-v2.6,598,300,5,0.00696943599151357,0.030356284235190555,0.002046085661277175,0.996666669845581,0.05047624930739403
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.0683629422102363,0.1748898310135955,0.00037639180663973093,0.9648985862731934,0.03784401062875986
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1892506827384197,0.36558729784461413,0.052170995622873306,0.8698225021362305,0.055568079464137554
splice,TabPFN-v2.6,2126,1064,3,0.03684202555847134,0.08045983960886344,0.012362106703221798,0.9765037298202515,0.03986278176307678
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3118735537712504,0.5503118273677716,0.027137871831655502,0.7823728919029236,0.0606595017015934
website_phishing,TabPFN-v2.6,902,451,3,0.1112150029482095,0.2039419369264428,0.02404063567519188,0.9334811568260193,0.03643424715846777
MIC,TabICLv2,1132,567,8,0.18182506479344132,0.46040031753143434,0.03260884806513786,0.8906525373458862,0.0629041837528348
SDSS17,TabICLv2,52035,26018,3,0.03533752461547596,0.07106172770266193,0.0014938520034775138,0.978553295135498,0.4948717523366213
anneal,TabICLv2,598,300,5,0.015454994908871296,0.04004934878994155,0.008809451013803482,0.9900000095367432,0.036374409683048725
hiva_agnostic,TabICLv2,2563,1282,3,0.06843736667595843,0.1747415226510268,0.0026789563708007336,0.9648985862731934,0.05984006356447935
maternal_health_risk,TabICLv2,676,338,3,0.17643018157008708,0.3454945299579116,0.032321978360414505,0.8846153616905212,0.05780621059238911
splice,TabICLv2,2126,1064,3,0.03475443312948653,0.07633880781243371,0.013007115572690964,0.9802631735801697,0.045776549726724625
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3107702490312115,0.5469474129731343,0.021226126700639725,0.7769491672515869,0.03317051287740469
website_phishing,TabICLv2,902,451,3,0.10799142180760836,0.1991820517536857,0.026058323681354523,0.9356984496116638,0.04249157942831516
MIC,RealTabPFN-v2.5,1132,567,8,0.17883424399316983,0.4458885010654165,0.03832360357046127,0.8888888955116272,0.08350748755037785
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.032408514672937226,0.06560110519020287,0.0013744867173954844,0.9803597331047058,0.44362043403089046
anneal,RealTabPFN-v2.5,598,300,5,0.007160041023955942,0.024032303416467247,0.004071291070431471,0.996666669845581,0.03911879099905491
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06838190431217267,0.1747033997627859,0.0014014840126037598,0.9648985862731934,0.03846127260476351
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2032275168766172,0.3836158402256039,0.06146334484219551,0.8757396340370178,0.04947366937994957
splice,RealTabPFN-v2.5,2126,1064,3,0.039582178269398714,0.08539235608148643,0.012667950242757797,0.9736841917037964,0.0390408867970109
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30870560482633036,0.5462334440952139,0.01797405071556568,0.7877966165542603,0.04572464898228645
website_phishing,RealTabPFN-v2.5,902,451,3,0.11563116916466058,0.2105698774020914,0.027162255719304085,0.9290465712547302,0.048297581262886524
MIC,TabICL_GPU,1132,567,8,0.19031985786188235,0.47790100039995426,0.0328453928232193,0.8853615522384644,0.0867771664634347
SDSS17,TabICL_GPU,52035,26018,3,0.0379798524349928,0.07499614734031308,0.002098717028275132,0.9767853021621704,0.4883002592250705
anneal,TabICL_GPU,598,300,5,0.021290284547461857,0.04835778267089421,0.0079171322286129,0.9866666793823242,0.04346258658915758
maternal_health_risk,TabICL_GPU,676,338,3,0.18173619481754744,0.3609245341277277,0.04096568003296852,0.88165682554245,0.05216408893465996
splice,TabICL_GPU,2126,1064,3,0.07620274891402759,0.14146005922491547,0.013424484059214592,0.9492481350898743,0.043830438517034054
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32118929393926265,0.5656651426978689,0.025902848690748215,0.7681356072425842,0.045932136476039886
website_phishing,TabICL_GPU,902,451,3,0.11104932766318759,0.19951020184757284,0.02557826228439808,0.9356984496116638,0.03746218141168356
MIC,LimiX_GPU,1132,567,8,0.185996924273752,0.474164430527055,0.03947017341852188,0.8835979104042053,0.07781214267015457
anneal,LimiX_GPU,598,300,5,0.007731022251910806,0.02490834031863256,0.004028541501611471,0.996666669845581,0.034997605718672276
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06829735733063395,0.17346092696791396,0.001314094988629222,0.9648985862731934,0.06260127294808626
maternal_health_risk,LimiX_GPU,676,338,3,0.19086516963755085,0.3721211338714551,0.05317065864801407,0.8875739574432373,0.05754994601011276
splice,LimiX_GPU,2126,1064,3,0.03708414917691402,0.08157210022668882,0.015657300129532814,0.9802631735801697,0.04072762094438076
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31591373009609475,0.5569811694678253,0.031691476702690125,0.7762711644172668,0.048054663464426994
website_phishing,LimiX_GPU,902,451,3,0.11403425709747624,0.20743107711507716,0.031548403203487396,0.9290465712547302,0.04362640809267759
MIC,TabM_GPU,1132,567,8,0.17944631458332053,0.44703030741372374,0.02652134746313095,0.8906525373458862,0.0880698673427105
SDSS17,TabM_GPU,52035,26018,3,0.04056604959382959,0.08109881832637308,0.0028151858132332563,0.9751710295677185,0.4612761875614524
anneal,TabM_GPU,598,300,5,0.009274418367011027,0.037847532201845675,0.005758424289524555,0.996666669845581,0.043724472634494305
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826525347153563,0.1738655152933543,0.00011026859283447266,0.9648985862731934,0.03496375400573015
maternal_health_risk,TabM_GPU,676,338,3,0.26313044655428935,0.47835839547266584,0.08287668973207474,0.8372781276702881,0.055905082263052464
splice,TabM_GPU,2126,1064,3,0.0420526096310606,0.09206678359340321,0.01359989307820797,0.9755638837814331,0.0509059764444828
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31817244955342083,0.5629810884039071,0.024246808141469955,0.7742372751235962,0.03817816078662872
website_phishing,TabM_GPU,902,451,3,0.12013792721192817,0.22029100611871022,0.028540313243865967,0.9290465712547302,0.03180297464132309
MIC,RealMLP_GPU,1132,567,8,0.1804743599079633,0.4496792068257747,0.04346190765500069,0.8906525373458862,0.10308308620005846
SDSS17,RealMLP_GPU,52035,26018,3,0.04266329119669393,0.08561839742380334,0.0019324618624523282,0.9739411473274231,0.3548761196434498
