dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
MIC,TabPFN-v2.6,1132,567,8,0.1790188103914261,0.4474071264266968,0.046402573585510254,0.8906525373458862,0.04429749399423599
SDSS17,TabPFN-v2.6,52035,26018,3,0.03431506082415581,0.06744249910116196,0.0010535138426348567,0.978783905506134,0.342418210580945
anneal,TabPFN-v2.6,598,300,5,0.006867128890007734,0.029393937438726425,0.0016408415976911783,0.996666669845581,0.014554565772414207
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06836334615945816,0.1748839020729065,0.00033661077031865716,0.9648985862731934,0.024832816794514656
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19056051969528198,0.36934196949005127,0.0398743636906147,0.8757396340370178,0.025900758802890778
splice,TabPFN-v2.6,2126,1064,3,0.03677742928266525,0.0804404616355896,0.012766092084348202,0.9765037298202515,0.025971973314881325
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31204870343208313,0.5508148670196533,0.026356853544712067,0.7816948890686035,0.037789907306432724
website_phishing,TabPFN-v2.6,902,451,3,0.11183637380599976,0.20499765872955322,0.0222192220389843,0.9334811568260193,0.017466474324464798
MIC,TabICLv2,1132,567,8,0.18168187141418457,0.45909589529037476,0.029465844854712486,0.8906525373458862,0.02603449858725071
SDSS17,TabICLv2,52035,26018,3,0.035348907113075256,0.071085624396801,0.0013077729381620884,0.978553295135498,0.3238159976899624
anneal,TabICLv2,598,300,5,0.015563001856207848,0.03932136297225952,0.008222326636314392,0.9900000095367432,0.01353602483868599
hiva_agnostic,TabICLv2,2563,1282,3,0.0684487372636795,0.17555832862854004,0.0030106049962341785,0.9648985862731934,0.040463464334607124
maternal_health_risk,TabICLv2,676,338,3,0.17833082377910614,0.3580286204814911,0.03303780034184456,0.8846153616905212,0.016887253150343895
splice,TabICLv2,2126,1064,3,0.034665171056985855,0.07618570327758789,0.014402467757463455,0.981203019618988,0.025029342621564865
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31105363368988037,0.5476084351539612,0.027085373178124428,0.7776271104812622,0.030364956706762314
website_phishing,TabICLv2,902,451,3,0.10859492421150208,0.20099912583827972,0.022939320653676987,0.9356984496116638,0.017639167606830597
MIC,RealTabPFN-v2.5,1132,567,8,0.17877089977264404,0.44492825865745544,0.03704347833991051,0.8888888955116272,0.030420443043112755
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03246193751692772,0.06565185636281967,0.0014607962220907211,0.9803212881088257,0.3632253296673298
anneal,RealTabPFN-v2.5,598,300,5,0.007352214772254229,0.023875989019870758,0.004061384126543999,0.996666669845581,0.014092905446887016
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06839326024055481,0.17480312287807465,0.00151824951171875,0.9648985862731934,0.027006547898054123
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20483393967151642,0.38576430082321167,0.06082693487405777,0.8757396340370178,0.022390158846974373
splice,RealTabPFN-v2.5,2126,1064,3,0.03969709947705269,0.08557020872831345,0.012675105594098568,0.9736841917037964,0.020865045487880707
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3091397285461426,0.5475600361824036,0.020821282640099525,0.7844067811965942,0.04331239312887192
website_phishing,RealTabPFN-v2.5,902,451,3,0.11587842553853989,0.21088038384914398,0.025299597531557083,0.9268292784690857,0.016873007640242577
MIC,TabICL_GPU,1132,567,8,0.19019106030464172,0.4767831265926361,0.03244832158088684,0.8853615522384644,0.030198941007256508
SDSS17,TabICL_GPU,52035,26018,3,0.0382833369076252,0.0755036249756813,0.002644709777086973,0.9766700267791748,0.398567333817482
anneal,TabICL_GPU,598,300,5,0.020748119801282883,0.04741021990776062,0.011715554632246494,0.9866666793823242,0.01410822942852974
maternal_health_risk,TabICL_GPU,676,338,3,0.18311052024364471,0.3706917464733124,0.03561794012784958,0.88165682554245,0.021015508100390434
splice,TabICL_GPU,2126,1064,3,0.07513722777366638,0.14013372361660004,0.011585429310798645,0.951127827167511,0.027368497103452682
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32138898968696594,0.5663819313049316,0.03147854283452034,0.7647457718849182,0.03384396433830261
website_phishing,TabICL_GPU,902,451,3,0.11165735125541687,0.20153124630451202,0.026041459292173386,0.9334811568260193,0.02378983236849308
MIC,LimiX_GPU,1132,567,8,0.18572795391082764,0.47259700298309326,0.03854750841856003,0.8835979104042053,0.03041159175336361
anneal,LimiX_GPU,598,300,5,0.007356791291385889,0.02304219640791416,0.002923452528193593,0.996666669845581,0.014279305934906006
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06829702109098434,0.17365503311157227,0.0009669120190665126,0.9648985862731934,0.03477750904858112
maternal_health_risk,LimiX_GPU,676,338,3,0.19187404215335846,0.37778738141059875,0.05524783954024315,0.8875739574432373,0.016822319477796555
splice,LimiX_GPU,2126,1064,3,0.03675753250718117,0.08128520101308823,0.018735211342573166,0.9830827116966248,0.02628922462463379
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3157660663127899,0.5569721460342407,0.02850109525024891,0.7769491672515869,0.03434555418789387
website_phishing,LimiX_GPU,902,451,3,0.11516796052455902,0.209861621260643,0.031732358038425446,0.9312638640403748,0.02059781737625599
MIC,TabM_GPU,1132,567,8,0.1798866093158722,0.4480092525482178,0.027863966301083565,0.8906525373458862,0.02931899204850197
SDSS17,TabM_GPU,52035,26018,3,0.040776126086711884,0.0815364271402359,0.0036369566805660725,0.9750941395759583,0.35276184789836407
anneal,TabM_GPU,598,300,5,0.009141526184976101,0.036656107753515244,0.005353161599487066,0.996666669845581,0.018599634990096092
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826522201299667,0.17386509478092194,0.00010836124420166016,0.9648985862731934,0.02388756163418293
maternal_health_risk,TabM_GPU,676,338,3,0.26166412234306335,0.4771551489830017,0.08425489813089371,0.8402366638183594,0.024479065090417862
splice,TabM_GPU,2126,1064,3,0.04204553738236427,0.09257715195417404,0.012321025133132935,0.9746240377426147,0.029798634350299835
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3184550106525421,0.5632833242416382,0.0263772401958704,0.7728813290596008,0.0383909922093153
website_phishing,TabM_GPU,902,451,3,0.12067504972219467,0.2210402935743332,0.03734470158815384,0.9312638640403748,0.020597971975803375
MIC,RealMLP_GPU,1132,567,8,0.18037346005439758,0.4487899839878082,0.045881785452365875,0.89241623878479,0.035490162670612335
SDSS17,RealMLP_GPU,52035,26018,3,0.04275848716497421,0.08577761054039001,0.002173348795622587,0.9738642573356628,0.34949079900979996
anneal,RealMLP_GPU,598,300,5,0.012905550189316273,0.032340388745069504,0.00638039642944932,0.9900000095367432,0.013076908886432648
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06868870556354523,0.17739853262901306,0.0014592432416975498,0.9648985862731934,0.034046679735183716
maternal_health_risk,RealMLP_GPU,676,338,3,0.20986859500408173,0.3995838463306427,0.07443350553512573,0.8786982297897339,0.02047373168170452
splice,RealMLP_GPU,2126,1064,3,0.03950170800089836,0.0867220088839531,0.012965631671249866,0.9746240377426147,0.023003019392490387
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31610068678855896,0.5604939460754395,0.02343669906258583,0.7810169458389282,0.03395714797079563
website_phishing,RealMLP_GPU,902,451,3,0.11717789620161057,0.210168719291687,0.04102543368935585,0.9223946928977966,0.028331637382507324
MIC,BetaTabPFN_GPU,1132,567,8,0.18016517162322998,0.45251867175102234,0.025454243645071983,0.8888888955116272,0.02865905687212944
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04787407070398331,0.09566105902194977,0.0025273889768868685,0.9711738228797913,0.366183465346694
