dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
MIC,TabPFN-v2.6,1132,567,8,0.179778887117735,0.46009629457773193,0.036502156406641006,0.8888888955116272,2.070167602971196
SDSS17,TabPFN-v2.6,52035,26018,3,0.03432993132766041,0.06742924585644114,0.000916187884286046,0.9788992404937744,29.072983507998288
anneal,TabPFN-v2.6,598,300,5,0.0069751685508404266,0.023504966366038403,0.002661448670551181,0.996666669845581,1.00195259321481
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826587415076162,0.17355903306883036,0.0008322000503540039,0.9648985862731934,0.8104656552895904
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19057740666424594,0.3899849668145003,0.0506746880710125,0.8757396340370178,0.8483151523396373
splice,TabPFN-v2.6,2126,1064,3,0.03600790049208011,0.07933534486868951,0.01934913359582424,0.9765037298202515,2.024608137086034
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3116231605451163,0.5489848370797367,0.02547403797507286,0.783728837966919,1.2538726730272174
website_phishing,TabPFN-v2.6,902,451,3,0.11154591486226849,0.2000907160708937,0.026179086416959763,0.9290465712547302,0.9933278551325202
MIC,TabICLv2,1132,567,8,0.182375752787104,0.4700081142401374,0.0340256541967392,0.89241623878479,2.0166713055223227
SDSS17,TabICLv2,52035,26018,3,0.03540204670333233,0.07115178348855515,0.0019574854522943497,0.9786301851272583,24.984002696350217
anneal,TabICLv2,598,300,5,0.012879058969106315,0.04538202046662381,0.01186246145516634,0.9933333396911621,1.025939472950995
hiva_agnostic,TabICLv2,2563,1282,3,0.06844427059455088,0.17666967357917066,0.0006806119927205145,0.9648985862731934,0.9788161925971508
maternal_health_risk,TabICLv2,676,338,3,0.17751395873523326,0.3725149867770418,0.03935793414711952,0.88165682554245,0.8377673197537661
splice,TabICLv2,2126,1064,3,0.03409919040862858,0.07636985188515272,0.017514215782284737,0.981203019618988,1.9206465054303408
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31106213422935214,0.5488323877747366,0.02859444171190262,0.7769491672515869,1.4797012833878398
website_phishing,TabICLv2,902,451,3,0.10872037354644215,0.19837068425225515,0.024321118369698524,0.9379157423973083,1.066510577686131
MIC,RealTabPFN-v2.5,1132,567,8,0.17943787994336227,0.45699475594547323,0.025933636352419853,0.8906525373458862,1.9406131375581026
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03250700375615771,0.06567611551299728,0.0013845846988260746,0.9802444577217102,24.89012242667377
anneal,RealTabPFN-v2.5,598,300,5,0.0071301136540970755,0.032730639566717255,0.004660992417484522,0.996666669845581,1.0287184566259384
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06829102124931477,0.1740678515210448,0.0010561347007751465,0.9648985862731934,0.7009049067273736
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19664932405023866,0.37846541789148397,0.06438056379556656,0.8698225021362305,0.8692643838003278
splice,RealTabPFN-v2.5,2126,1064,3,0.039527869248440387,0.08418648252559473,0.01154414750635624,0.9746240377426147,2.136417862959206
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3081769194116978,0.5442680642793375,0.020516782999038696,0.7823728919029236,1.3865135200321674
website_phishing,RealTabPFN-v2.5,902,451,3,0.11406951703566623,0.20633580884923555,0.01915830373764038,0.9290465712547302,1.0374413430690765
MIC,TabICL_GPU,1132,567,8,0.1897950094651881,0.4809814991225841,0.029011623933911324,0.8853615522384644,2.0056391675025225
SDSS17,TabICL_GPU,52035,26018,3,0.038343307800087434,0.07561184864631211,0.002276767510920763,0.9765546917915344,27.854166817851365
anneal,TabICL_GPU,598,300,5,0.02045265699133423,0.06045342630947266,0.01758195273578167,0.9900000095367432,0.9761250037699938
maternal_health_risk,TabICL_GPU,676,338,3,0.1820405666861451,0.37008310586609305,0.03702075034379959,0.8875739574432373,0.9613485662266612
splice,TabICL_GPU,2126,1064,3,0.07457754160560164,0.13862360521321665,0.01204710453748703,0.9520676732063293,2.073635091073811
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32131627594029255,0.5668966874501218,0.02410414069890976,0.7688135504722595,1.6289617717266083
website_phishing,TabICL_GPU,902,451,3,0.11187872810100942,0.20017660589507258,0.03182072564959526,0.9356984496116638,0.9501850176602602
MIC,LimiX_GPU,1132,567,8,0.18651806783339633,0.5010991174295684,0.03944466635584831,0.8871251940727234,2.1352796955034137
anneal,LimiX_GPU,598,300,5,0.007355013259771743,0.024707810790195472,0.004871751181781292,0.996666669845581,0.9458072921261191
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06833681164961831,0.17475702292005996,0.0009331107139587402,0.9648985862731934,0.7809486063197255
maternal_health_risk,LimiX_GPU,676,338,3,0.18569212165912466,0.35948347214266596,0.052044108510017395,0.8934911489486694,0.9157656859606504
splice,LimiX_GPU,2126,1064,3,0.034714167035814626,0.07796823602783105,0.016605636104941368,0.9830827116966248,1.7156797051429749
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31526578496697816,0.5556329374928557,0.026898404583334923,0.7762711644172668,1.5343855759128928
