dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
MIC,TabPFN-v2.6,1132,567,8,0.18449205795892198,0.45993455573397013,0.04596326872706413,0.8853615522384644,0.20937049761414528
SDSS17,TabPFN-v2.6,52035,26018,3,0.034334909482094,0.06767531307688483,0.002413249807432294,0.9789376854896545,6.966829560697079
anneal,TabPFN-v2.6,598,300,5,0.009611213136015482,0.04718923008373727,0.03405849263072014,0.996666669845581,0.08422079682350159
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06879884618918831,0.17628859458909674,0.002988141030073166,0.9648985862731934,0.03483669459819794
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19179145404749365,0.3693827536140654,0.05121693015098572,0.8757396340370178,0.02931351587176323
splice,TabPFN-v2.6,2126,1064,3,0.0369998809464961,0.08478980303488702,0.0238531194627285,0.978383481502533,0.11044064909219742
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3139306146963872,0.5560674527014772,0.02005506306886673,0.7783051133155823,0.0907757468521595
website_phishing,TabPFN-v2.6,902,451,3,0.10948707371422736,0.202789181528771,0.02936909720301628,0.9334811568260193,0.05225128307938576
MIC,TabICLv2,1132,567,8,0.1871133820355164,0.47261238407180184,0.04170043393969536,0.8888888955116272,0.19790469482541084
SDSS17,TabICLv2,52035,26018,3,0.03546864276310848,0.07160152095958214,0.0021403469145298004,0.9781689643859863,10.29381100833416
anneal,TabICLv2,598,300,5,0.020579933732601245,0.06491350099504097,0.039805084466934204,0.9900000095367432,0.08320068195462227
hiva_agnostic,TabICLv2,2563,1282,3,0.0689636975707145,0.17633438216858208,0.003193953074514866,0.9648985862731934,0.035457149147987366
maternal_health_risk,TabICLv2,676,338,3,0.1845210900833747,0.3524419584649779,0.0632970929145813,0.88165682554245,0.03152090311050415
splice,TabICLv2,2126,1064,3,0.036017383862615625,0.08292714606172268,0.0221145860850811,0.9793233275413513,0.10899925231933594
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3126521677876939,0.5516982589949495,0.02752899006009102,0.7796609997749329,0.09657388180494308
website_phishing,TabICLv2,902,451,3,0.11206965375225625,0.20668377833657964,0.03837045654654503,0.9379157423973083,0.051358893513679504
MIC,RealTabPFN-v2.5,1132,567,8,0.18368307610781356,0.4558425229853016,0.03640452399849892,0.8888888955116272,0.1950678713619709
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03247346454408907,0.06572413097191371,0.0011831617448478937,0.9802829027175903,7.2820009626448154
anneal,RealTabPFN-v2.5,598,300,5,0.01278749489905378,0.05437885380517891,0.04181481525301933,0.996666669845581,0.0677763819694519
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0686066061242575,0.17593235935243712,0.004072986543178558,0.9648985862731934,0.04326953366398811
