dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
MIC,TabPFN-v2.6,1132,567,8,0.18258486688137054,0.48805999755859375,0.03493552282452583,0.8871251940727234,0.1150476224720478
SDSS17,TabPFN-v2.6,52035,26018,3,0.035612381994724274,0.09159300476312637,0.02683454379439354,0.9788223505020142,0.42505425587296486
anneal,TabPFN-v2.6,598,300,5,0.008416358381509781,0.04083114117383957,0.02775546908378601,0.996666669845581,0.04370108246803284
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06886210292577744,0.17858688533306122,0.005913783796131611,0.9648985862731934,0.04808665066957474
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19536429643630981,0.377183198928833,0.06352010369300842,0.8698225021362305,0.0331142283976078
splice,TabPFN-v2.6,2126,1064,3,0.03721804544329643,0.10179803520441055,0.04581506922841072,0.9802631735801697,0.04496438801288605
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31638163328170776,0.5684704780578613,0.03238359093666077,0.7796609997749329,0.05549987033009529
website_phishing,TabPFN-v2.6,902,451,3,0.11294695734977722,0.21507522463798523,0.03747672215104103,0.9268292784690857,0.03682495281100273
MIC,TabICLv2,1132,567,8,0.1906183511018753,0.49809834361076355,0.045512158423662186,0.8835979104042053,0.09860673174262047
SDSS17,TabICLv2,52035,26018,3,0.036791328340768814,0.09437547624111176,0.027563245967030525,0.9783226847648621,0.40483973175287247
anneal,TabICLv2,598,300,5,0.0233458224684,0.0713934674859047,0.022322433069348335,0.9900000095367432,0.04166484996676445
hiva_agnostic,TabICLv2,2563,1282,3,0.06895850598812103,0.18017353117465973,0.004313020035624504,0.9648985862731934,0.04707832634449005
maternal_health_risk,TabICLv2,676,338,3,0.18638065457344055,0.3582846522331238,0.0518568754196167,0.88165682554245,0.033172253519296646
splice,TabICLv2,2126,1064,3,0.03760780394077301,0.10268519073724747,0.04645503684878349,0.9774436354637146,0.043247830122709274
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3140312135219574,0.5628641247749329,0.0387212298810482,0.7857627272605896,0.05169446021318436
website_phishing,TabICLv2,902,451,3,0.11253614723682404,0.21684415638446808,0.04888976365327835,0.9379157423973083,0.03397577255964279
MIC,RealTabPFN-v2.5,1132,567,8,0.18331848084926605,0.479897677898407,0.03303748369216919,0.8888888955116272,0.0992385745048523
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03358450159430504,0.08907458931207657,0.027501605451107025,0.9802060127258301,0.4041401073336601
anneal,RealTabPFN-v2.5,598,300,5,0.01168129500001669,0.04629427194595337,0.03163553401827812,0.9933333396911621,0.03817383944988251
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06872459501028061,0.17727841436862946,0.005808905232697725,0.9648985862731934,0.04624330252408981
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.21364423632621765,0.4066930413246155,0.07038886100053787,0.8668639063835144,0.03312103822827339
splice,RealTabPFN-v2.5,2126,1064,3,0.04298883303999901,0.10989242792129517,0.0405539944767952,0.9746240377426147,0.04376121237874031
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31275901198387146,0.5617477893829346,0.031980644911527634,0.7803390026092529,0.051537659019231796
website_phishing,RealTabPFN-v2.5,902,451,3,0.11634040623903275,0.22089938819408417,0.04279787465929985,0.9246119856834412,0.033077046275138855
MIC,TabICL_GPU,1132,567,8,0.19650164246559143,0.519905149936676,0.031225137412548065,0.8818342089653015,0.09169008210301399
SDSS17,TabICL_GPU,52035,26018,3,0.03955090790987015,0.09876732528209686,0.02763396129012108,0.9765931367874146,0.4017222300171852
anneal,TabICL_GPU,598,300,5,0.031629528850317,0.0830184817314148,0.03508749231696129,0.9833333492279053,0.04207853600382805
maternal_health_risk,TabICL_GPU,676,338,3,0.18683986365795135,0.3615390956401825,0.056068193167448044,0.88165682554245,0.03317934647202492
