dataset,model,cal_size,test_size,Affine_brier,Affine_logloss,Affine_kuiper,Affine_ece-15,Affine_accuracy,Affine_time
2dplanes,CatBoost,36691,4077,0.09566581992819971,0.15233013869202797,0.006399699952453375,0.01286080852150917,0.9261711835861206,0.021960424026474357
2dplanes,ExtraTrees,36691,4077,0.09486259351824752,0.1522995448848157,0.00589916855096817,0.008719940669834614,0.9254353642463684,0.013385678990744054
2dplanes,LightGBM,36691,4077,0.09542333070410883,0.15329470517962826,0.0061399550177156925,0.011605599895119667,0.9298503994941711,0.010713189956732094
2dplanes,LinearModel,36691,4077,0.2337732752576288,0.3669847591000591,0.013548547402024269,0.02186155505478382,0.840569019317627,0.005783029017038643
2dplanes,NeuralNetFastAI,36691,4077,0.09425699663896286,0.15071827500104576,0.004214500542730093,0.008939535357058048,0.9327937364578247,0.011827033944427967
2dplanes,NeuralNetTorch,36691,4077,0.09469411382307698,0.15216671161174664,0.005059823859483004,0.008495915681123734,0.9310767650604248,0.014291716972365975
2dplanes,RandomForest,36691,4077,0.09544858890160915,0.15378825350301406,0.004531474784016609,0.014212976209819317,0.9269070625305176,0.012119864928536117
2dplanes,XGBoost,36691,4077,0.09558433454857965,0.15293179586912792,0.006124821491539478,0.014089211821556091,0.9276428818702698,0.01067499304190278
APSFailure,CatBoost,68400,7600,0.007761000153745533,0.0152193238845961,0.0009338749805465341,0.0023817133624106646,0.9948683977127075,0.02481058705598116
APSFailure,ExtraTrees,68400,7600,0.011589878833129433,0.03060976898697719,0.004116983152925968,0.007090381812304258,0.9934210777282715,0.024631564039736986
APSFailure,LightGBM,68400,7600,0.0077832229402722474,0.015415725547864119,0.000854058307595551,0.001603254466317594,0.9955263137817383,0.028446916956454515
APSFailure,LinearModel,68400,7600,0.011553600702173861,0.021881646739667717,0.001577920513227582,0.0030037816613912582,0.9930263161659241,0.02481276891194284
APSFailure,NeuralNetFastAI,68400,7600,0.009235961982739412,0.01716643549012211,0.0013248911127448082,0.0029057946521788836,0.9940789341926575,0.032589680049568415
APSFailure,NeuralNetTorch,68400,7600,0.010806109353806227,0.020834811480544207,0.0017727389931678772,0.0029826671816408634,0.9932894706726074,0.0268517549848184
APSFailure,RandomForest,68400,7600,0.011961665436600462,0.03726285291096602,0.00540623813867569,0.00998071301728487,0.992236852645874,0.023681405000388622
APSFailure,XGBoost,68400,7600,0.007513703522720557,0.014739966057415219,0.0009042337769642472,0.0022251028567552567,0.9952631592750549,0.026466213050298393
Amazon_employee_access,CatBoost,29492,3277,0.07193192466550104,0.13413631812910784,0.00542988907545805,0.011412578634917736,0.9551419019699097,0.009834909928031266
Amazon_employee_access,ExtraTrees,29492,3277,0.082140626735393,0.1529240059909255,0.011549726128578186,0.021867720410227776,0.9459871649742126,0.011542883003130555
Amazon_employee_access,LightGBM,29492,3277,0.07920271457688983,0.15141921101043082,0.00580126978456974,0.007857047021389008,0.9484284520149231,0.012527829967439175
Amazon_employee_access,LinearModel,29492,3277,0.08357951586362995,0.1561309522912233,0.004591979086399078,0.00919494777917862,0.9459871649742126,0.011386372963897884
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08350442927802122,0.1551958746656624,0.005411969497799873,0.011232579126954079,0.9462923407554626,0.01221837499178946
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08611357638545528,0.16149090783854703,0.01035042479634285,0.017105266451835632,0.9453768730163574,0.011494918959215283
Amazon_employee_access,RandomForest,29492,3277,0.0866146229649513,0.16033954990563293,0.021921057254076004,0.04001961275935173,0.9423252940177917,0.014463581959716976
Amazon_employee_access,XGBoost,29492,3277,0.07554979998381496,0.14388134760405047,0.004782927688211203,0.00944639090448618,0.951785147190094,0.011543097090907395
Australian,CatBoost,621,69,0.175344759070343,0.2902051278121342,0.04993043094873428,0.06492980569601059,0.8695651888847351,0.0017878049984574318
Australian,ExtraTrees,621,69,0.17222995770599914,0.29034115902612023,0.06129022687673569,0.10142247378826141,0.8550724387168884,0.001863825018517673
Australian,LightGBM,621,69,0.1766193182773117,0.32007189371925954,0.06214376538991928,0.09003978222608566,0.8695651888847351,0.0018572540720924735
Australian,LinearModel,621,69,0.17057963432345205,0.2924167091929369,0.05988682061433792,0.13184185326099396,0.9130434989929199,0.001913751009851694
Australian,NeuralNetFastAI,621,69,0.15764011068777542,0.2836347040924532,0.06398133933544159,0.07763846963644028,0.8985507488250732,0.001899093040265143
Australian,NeuralNetTorch,621,69,0.16569923510447548,0.2824072533454757,0.04373052716255188,0.11237600445747375,0.8840579986572266,0.0018604230135679245
Australian,RandomForest,621,69,0.18027915718912005,0.32630214193069695,0.07998612523078918,0.15420107543468475,0.8550724387168884,0.0020033769542351365
Australian,XGBoost,621,69,0.1494930532728283,0.26180568202232907,0.04624854773283005,0.0912298932671547,0.8840579986572266,0.0017414010362699628
Bioresponse,CatBoost,3375,376,0.277408016402791,0.4353730205094898,0.02296493947505951,0.06812729686498642,0.813829779624939,0.002668119966983795
Bioresponse,ExtraTrees,3375,376,0.28315678037768327,0.4317584903299206,0.023012887686491013,0.04973232373595238,0.8005319237709045,0.002643610001541674
Bioresponse,LightGBM,3375,376,0.2769685132142267,0.432747737631137,0.02681404910981655,0.06046689301729202,0.8191489577293396,0.002680813893675804
Bioresponse,LinearModel,3375,376,0.42897985737327693,0.6171882358017312,0.09775514900684357,0.17651893198490143,0.7234042286872864,0.004452700959518552
Bioresponse,NeuralNetFastAI,3375,376,0.2869663693114109,0.44356301395957193,0.023994728922843933,0.06536714732646942,0.7792553305625916,0.0026824979577213526
Bioresponse,NeuralNetTorch,3375,376,0.29225940007798185,0.45076949651794357,0.027825556695461273,0.07731866836547852,0.789893627166748,0.0026852870360016823
Bioresponse,RandomForest,3375,376,0.28159389438020477,0.4344125152158513,0.0290638767182827,0.050168849527835846,0.813829779624939,0.002694671042263508
Bioresponse,XGBoost,3375,376,0.2754903240802447,0.43221440654625604,0.027272619307041168,0.05774606019258499,0.813829779624939,0.0026745930081233382
Click_prediction_small,CatBoost,35953,3995,0.2533766930280174,0.4118231106766105,0.007921060547232628,0.011253930628299713,0.8367959856987,0.01470352301839739
Click_prediction_small,ExtraTrees,35953,3995,0.2601769540780173,0.42092903106046836,0.0077056242153048515,0.010245641693472862,0.8342928886413574,0.014125591958872974
Click_prediction_small,LightGBM,35953,3995,0.25809430922124166,0.41894475188501995,0.008067607879638672,0.011720110662281513,0.8367959856987,0.014142011990770698
Click_prediction_small,LinearModel,35953,3995,0.2604433377746252,0.42315005565013336,0.010695872828364372,0.016838563606142998,0.8357947468757629,0.015269662020727992
Click_prediction_small,NeuralNetFastAI,35953,3995,0.25863579887328647,0.420333406873833,0.007359720766544342,0.00854614656418562,0.8372966051101685,0.015235060011036694
Click_prediction_small,NeuralNetTorch,35953,3995,0.25948432872030935,0.41849460783052633,0.005152774974703789,0.0066300854086875916,0.8340425491333008,0.015221709967590868
Click_prediction_small,RandomForest,35953,3995,0.2590970536936725,0.4183615666894161,0.005884293466806412,0.010271519422531128,0.8342928886413574,0.013521219021640718
Click_prediction_small,XGBoost,35953,3995,0.25794805296920026,0.4171647656670594,0.008579224348068237,0.013719807378947735,0.8347935080528259,0.013907246990129352
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4077541540552538,0.598329068334872,0.08083455264568329,0.14746995270252228,0.737500011920929,0.0018137370934709907
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5043816615412696,0.6975355703353108,0.07341286540031433,0.049285247921943665,0.4749999940395355,0.0018041720613837242
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5121468777503204,0.7053207665759164,0.08610089123249054,0.04348013177514076,0.3812499940395355,0.0019131480948999524
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5000569436558797,0.693204139929599,0.03162092715501785,0.0003169274714309722,0.53125,0.0027502570301294327
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.4927012392132806,0.6858399371486122,0.05734679475426674,0.02779356949031353,0.6000000238418579,0.0019159390358254313
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5012867108786543,0.6944341272411287,0.052577823400497437,0.0008502955315634608,0.46875,0.0024510829243808985
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5072629796057372,0.7004334951113481,0.04729720577597618,0.04434098303318024,0.4375,0.0017828309210017323
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5023620478714985,0.6955259131738297,0.03574836254119873,0.06088367849588394,0.5062500238418579,0.0018101379973813891
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4150193416524486,0.6058378676449507,0.04540605843067169,0.07337941229343414,0.699999988079071,0.0017969839973375201
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.4677140397100249,0.6602045836637848,0.04476534575223923,0.0552951954305172,0.6000000238418579,0.0020278720185160637
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.4380368159606151,0.6292442299097776,0.05924036353826523,0.12208256125450134,0.6625000238418579,0.0017903399420902133
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.501390434897508,0.6945336600129549,0.043937668204307556,0.02542153000831604,0.5,0.0017678820295259356
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4106054196051067,0.5998174889611677,0.050447434186935425,0.09036806970834732,0.699999988079071,0.0020589219639077783
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4130375401133709,0.606307338331668,0.04510566592216492,0.08677779883146286,0.699999988079071,0.0019322220468893647
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.47645172831738253,0.6694780434711995,0.04010464996099472,0.06164556369185448,0.612500011920929,0.0019312860677018762
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44422086179226217,0.6361207136826593,0.042401790618896484,0.05852126702666283,0.6625000238418579,0.001971716992557049
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.30599230056519955,0.4581977620045349,0.04429733753204346,0.10690757632255554,0.75,0.001961396890692413
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.39819577182673216,0.591794961626183,0.046327508985996246,0.10954046994447708,0.6937500238418579,0.002078004996292293
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3418526679372474,0.5079907139162902,0.06518185138702393,0.14885161817073822,0.731249988079071,0.0018002729630097747
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.49715052606189125,0.6902857740146524,0.034769266843795776,0.03322843834757805,0.5,0.0017765869852155447
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2856297408428741,0.43556806900347,0.04184820130467415,0.019641803577542305,0.793749988079071,0.0017733550630509853
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.304669642683858,0.46613968221378455,0.038451969623565674,0.09641482681035995,0.7875000238418579,0.0024185540387406945
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.395468393445395,0.5862286431816078,0.04555980861186981,0.11239240318536758,0.699999988079071,0.0022080530179664493
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.3545966446799544,0.5284601986454837,0.06070288270711899,0.14501288533210754,0.731249988079071,0.0019723770674318075
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.4037892434526709,0.5823167095546798,0.05147041380405426,0.10472195595502853,0.637499988079071,0.0019506929675117135
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.48783589126221427,0.6809514948035563,0.03184026479721069,0.06084383279085159,0.5562499761581421,0.002208664081990719
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.48570948965240535,0.6786533905021828,0.04447363689541817,0.04429858550429344,0.5874999761581421,0.0017551879864186049
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.49953536732054865,0.6926828960050265,0.039010800421237946,0.013983946293592453,0.5062500238418579,0.0017734059365466237
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.39609101086121623,0.5654768934848547,0.04755726456642151,0.09681303799152374,0.65625,0.001933543011546135
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.4264043940092007,0.6143828676338507,0.0467412956058979,0.10949563980102539,0.625,0.0020638819551095366
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.491943799029405,0.6848448609947424,0.04795160889625549,0.09224448353052139,0.512499988079071,0.001943037030287087
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.48830231746886205,0.6812685155477853,0.05619756877422333,0.07070014625787735,0.5687500238418579,0.0021668639965355396
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.42028774974507205,0.5942111292668554,0.07495258748531342,0.16913549602031708,0.6499999761581421,0.001856049057096243
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.4966637656465392,0.6977516734549567,0.06538693606853485,0.13718077540397644,0.6187499761581421,0.00198397901840508
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.4635387985252599,0.6550955500826502,0.07221049815416336,0.10604552179574966,0.6312500238418579,0.0017678069416433573
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.4971595921217914,0.6903055575748513,0.06555770337581635,0.00021662107610609382,0.550000011920929,0.001869846018962562
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.4628503220260676,0.6505539489413475,0.08464387059211731,0.15496528148651123,0.606249988079071,0.0019034380093216896
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.4490979810881063,0.6372692663906441,0.06667834520339966,0.14041195809841156,0.6499999761581421,0.002063049003481865
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.49695976058740693,0.6971139538496858,0.06086813285946846,0.12715353071689606,0.606249988079071,0.002276418963447213
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.45443923740839853,0.6477196801996958,0.049558188766241074,0.10465870052576065,0.6499999761581421,0.0019930420676246285
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.3756135455966024,0.5542988841079112,0.04796754568815231,0.09399884939193726,0.6875,0.0019685119623318315
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,ExtraTrees,1440,160,0.41794812495529643,0.6072414946349222,0.03853253647685051,0.07903684675693512,0.668749988079071,0.0023276900174096227
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LightGBM,1440,160,0.3880795958676653,0.5738900402066176,0.040820538997650146,0.09616751223802567,0.7124999761581421,0.0018580820178613067
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LinearModel,1440,160,0.5031161121762718,0.696277763900264,0.05621013790369034,0.07439937442541122,0.45625001192092896,0.0017146279569715261
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetFastAI,1440,160,0.3765932311485146,0.5571313083832271,0.051237620413303375,0.10264281183481216,0.706250011920929,0.0019843849586322904
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetTorch,1440,160,0.3513301794360986,0.5273562003034604,0.06416201591491699,0.10386490821838379,0.7250000238418579,0.002143923076801002
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,RandomForest,1440,160,0.4060225180445263,0.5948889640500141,0.037596702575683594,0.09429503232240677,0.699999988079071,0.002261140034534037
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,XGBoost,1440,160,0.39033348365077314,0.5758826855940289,0.03762737661600113,0.05808364599943161,0.6937500238418579,0.001882203039713204
Internet-Advertisements,CatBoost,2951,328,0.04462413907111372,0.09111373332111396,0.015668153762817383,0.01967891864478588,0.9725610017776489,0.00296469300519675
Internet-Advertisements,ExtraTrees,2951,328,0.061964162745790766,0.3807582302423236,0.04006991535425186,0.07361911237239838,0.9725610017776489,0.003419754095375538
Internet-Advertisements,LightGBM,2951,328,0.044867341555203354,0.0916383600781973,0.013571321964263916,0.02464853785932064,0.9725610017776489,0.002824863069690764
Internet-Advertisements,LinearModel,2951,328,0.0646298787084792,0.13694528331323946,0.015521539375185966,0.030797656625509262,0.9664633870124817,0.0034006009809672832
Internet-Advertisements,NeuralNetFastAI,2951,328,0.058737072910759136,0.11558655742507701,0.01853431761264801,0.018861055374145508,0.9634146094322205,0.0036128800129517913
Internet-Advertisements,NeuralNetTorch,2951,328,0.05243508577086659,0.11405282105732574,0.012632012367248535,0.030760467052459717,0.9664633870124817,0.002935187891125679
Internet-Advertisements,RandomForest,2951,328,0.06218656751904613,0.12446253312735024,0.03694065660238266,0.06211136654019356,0.9725610017776489,0.0033564260229468346
Internet-Advertisements,XGBoost,2951,328,0.05019020027913793,0.10062889411593004,0.012568933889269829,0.01934063248336315,0.9695122241973877,0.0029077959479764104
OVA_Colon,CatBoost,1390,155,0.0737147415206841,0.17357118405440253,0.019401978701353073,0.03198995813727379,0.9612902998924255,0.0023349879775196314
OVA_Colon,ExtraTrees,1390,155,0.06893616555439014,0.15293864596692608,0.021138392388820648,0.035253990441560745,0.9612902998924255,0.0024133239639922976
OVA_Colon,LightGBM,1390,155,0.06438796325109654,0.15440012623375338,0.01769307255744934,0.025350242853164673,0.9677419066429138,0.0024694650201126933
OVA_Colon,LinearModel,1390,155,0.0735991661468595,0.3236724201620024,0.01822643354535103,0.02896733395755291,0.9677419066429138,0.004041305044665933
OVA_Colon,NeuralNetFastAI,1390,155,0.08277580472922066,0.18710871163432533,0.02720719203352928,0.0440516360104084,0.9612902998924255,0.0026684999465942383
OVA_Colon,NeuralNetTorch,1390,155,0.07006796527559245,0.16284109489140028,0.02154611423611641,0.04046029970049858,0.9677419066429138,0.0030709999846294522
OVA_Colon,RandomForest,1390,155,0.08064509354585889,0.17641688962531538,0.019006114453077316,0.04441213980317116,0.948387086391449,0.0022704140283167362
OVA_Colon,XGBoost,1390,155,0.0718937485258963,0.17114404375755998,0.01920458674430847,0.03347620740532875,0.9612902998924255,0.002378166071139276
OVA_Endometrium,CatBoost,1390,155,0.05379745196594286,0.10216485676273186,0.013892630115151405,0.02442122809588909,0.9612902998924255,0.002652244991622865
OVA_Endometrium,ExtraTrees,1390,155,0.05533645779834371,0.09932783549807199,0.013090619817376137,0.02499310113489628,0.9677419066429138,0.0025320829590782523
OVA_Endometrium,LightGBM,1390,155,0.04597573283784774,0.09028319389807847,0.01499198004603386,0.02966882847249508,0.9677419066429138,0.002693291986361146
