dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
2dplanes,CatBoost,36691,4077,0.09543231129646301,0.15236444771289825,0.004566417075693607,0.012091150507330894,0.9256806373596191,0
2dplanes,ExtraTrees,36691,4077,0.09471885114908218,0.1524251401424408,0.004878722131252289,0.009821116924285889,0.9256806373596191,0
2dplanes,LightGBM,36691,4077,0.09518422931432724,0.15320947766304016,0.004900310188531876,0.01182944793254137,0.9298503994941711,0
2dplanes,LinearModel,36691,4077,0.23376791179180145,0.36697930097579956,0.013462168164551258,0.021334253251552582,0.8403237462043762,0
2dplanes,NeuralNetFastAI,36691,4077,0.09419181197881699,0.15068641304969788,0.0038826935924589634,0.006719970144331455,0.9332842826843262,0
2dplanes,NeuralNetTorch,36691,4077,0.09496723115444183,0.15251469612121582,0.007837517186999321,0.010501952841877937,0.9315673112869263,0
2dplanes,RandomForest,36691,4077,0.0955839529633522,0.15412765741348267,0.005769227631390095,0.015465280041098595,0.9271523356437683,0
2dplanes,XGBoost,36691,4077,0.09541554749011993,0.15281131863594055,0.005235745571553707,0.013086169958114624,0.9276428818702698,0
APSFailure,CatBoost,68400,7600,0.007906051352620125,0.015564832836389542,0.002003224566578865,0.0025358879938721657,0.9952631592750549,0
APSFailure,ExtraTrees,68400,7600,0.010426864959299564,0.030556997284293175,0.00296531873755157,0.0051865968853235245,0.9940789341926575,0
APSFailure,LightGBM,68400,7600,0.00785303208976984,0.015779683366417885,0.0018749019363895059,0.002466464415192604,0.9951315522193909,0
APSFailure,LinearModel,68400,7600,0.011443558149039745,0.021686546504497528,0.0011906218715012074,0.002349348971620202,0.99289470911026,0
APSFailure,NeuralNetFastAI,68400,7600,0.009783987887203693,0.017761720344424248,0.0031306196469813585,0.0034025642089545727,0.9934210777282715,0
APSFailure,NeuralNetTorch,68400,7600,0.010688526555895805,0.020483413711190224,0.0014999050181359053,0.0027351276949048042,0.9931579232215881,0
APSFailure,RandomForest,68400,7600,0.009398515336215496,0.03965792432427406,0.0031219294760376215,0.005517568904906511,0.9951315522193909,0
APSFailure,XGBoost,68400,7600,0.007680209819227457,0.015079761855304241,0.002060774015262723,0.0024517024867236614,0.9952631592750549,0
Amazon_employee_access,CatBoost,29492,3277,0.07200741022825241,0.13419784605503082,0.006143119186162949,0.010523088276386261,0.9545316100120544,0
Amazon_employee_access,ExtraTrees,29492,3277,0.08102736622095108,0.15151375532150269,0.011198271065950394,0.018761521205306053,0.9469026327133179,0
Amazon_employee_access,LightGBM,29492,3277,0.07910288125276566,0.1526315063238144,0.007008193526417017,0.013154854997992516,0.9499542117118835,0
Amazon_employee_access,LinearModel,29492,3277,0.08389903604984283,0.15655037760734558,0.005997653119266033,0.008888361975550652,0.9453768730163574,0
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08413137495517731,0.15578849613666534,0.010190427303314209,0.010567179881036282,0.9481232762336731,0
Amazon_employee_access,NeuralNetTorch,29492,3277,0.0851261094212532,0.16017699241638184,0.00836610421538353,0.01150801032781601,0.9465975165367126,0
Amazon_employee_access,RandomForest,29492,3277,0.07725365459918976,0.14403975009918213,0.011011917144060135,0.01629059948027134,0.9478181004524231,0
Amazon_employee_access,XGBoost,29492,3277,0.07557325065135956,0.1438266485929489,0.005207340698689222,0.007868272252380848,0.951785147190094,0
Australian,CatBoost,621,69,0.17655044794082642,0.29109907150268555,0.050891079008579254,0.07604491710662842,0.8695651888847351,0
Australian,ExtraTrees,621,69,0.17386336624622345,0.2975848913192749,0.06704474240541458,0.10827922821044922,0.8550724387168884,0
Australian,LightGBM,621,69,0.17529742419719696,0.31807824969291687,0.06125889718532562,0.08998207747936249,0.8695651888847351,0
Australian,LinearModel,621,69,0.16847632825374603,0.28760817646980286,0.055910397320985794,0.14216604828834534,0.9130434989929199,0
Australian,NeuralNetFastAI,621,69,0.15721623599529266,0.28406789898872375,0.06255407631397247,0.10214037448167801,0.8985507488250732,0
Australian,NeuralNetTorch,621,69,0.16472429037094116,0.2813814878463745,0.039724286645650864,0.10998894274234772,0.8840579986572266,0
Australian,RandomForest,621,69,0.1683199107646942,0.30758020281791687,0.05638868361711502,0.10339899361133575,0.8550724387168884,0
Australian,XGBoost,621,69,0.15030990540981293,0.2631295919418335,0.049209192395210266,0.1014801636338234,0.8840579986572266,0
Bioresponse,CatBoost,3375,376,0.27819377183914185,0.43654629588127136,0.023774869740009308,0.06419827789068222,0.8164893388748169,0
Bioresponse,ExtraTrees,3375,376,0.28654229640960693,0.441098153591156,0.030700400471687317,0.055301420390605927,0.7952127456665039,0
Bioresponse,LightGBM,3375,376,0.27692681550979614,0.4326964020729065,0.025130493566393852,0.06232214719057083,0.8218085169792175,0
Bioresponse,LinearModel,3375,376,0.40198248624801636,0.9868406653404236,0.07880228757858276,0.15371975302696228,0.7473404407501221,0
Bioresponse,NeuralNetFastAI,3375,376,0.28822532296180725,0.44707033038139343,0.028717130422592163,0.07319726794958115,0.7792553305625916,0
Bioresponse,NeuralNetTorch,3375,376,0.29168784618377686,0.44928932189941406,0.019856974482536316,0.05702453479170799,0.7952127456665039,0
Bioresponse,RandomForest,3375,376,0.2896362543106079,0.45028695464134216,0.04483965039253235,0.08481287956237793,0.811170220375061,0
Bioresponse,XGBoost,3375,376,0.2755576968193054,0.4323415160179138,0.02605593577027321,0.0520130954682827,0.8164893388748169,0
Click_prediction_small,CatBoost,35953,3995,0.253390371799469,0.41182443499565125,0.008160162717103958,0.011175465770065784,0.8362953662872314,0
Click_prediction_small,ExtraTrees,35953,3995,0.2602503001689911,0.42096686363220215,0.009078935720026493,0.010282364673912525,0.8342928886413574,0
Click_prediction_small,LightGBM,35953,3995,0.2580600678920746,0.4188697934150696,0.0077596865594387054,0.010927317664027214,0.8367959856987,0
Click_prediction_small,LinearModel,35953,3995,0.2614515721797943,0.42712950706481934,0.015511855483055115,0.03134749457240105,0.8365457057952881,0
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2582909166812897,0.4200838804244995,0.0066131288185715675,0.008642853237688541,0.8375469446182251,0
Click_prediction_small,NeuralNetTorch,35953,3995,0.25980767607688904,0.4188726544380188,0.010461362078785896,0.011982818134129047,0.8345431685447693,0
Click_prediction_small,RandomForest,35953,3995,0.2591693699359894,0.4183278977870941,0.006714874878525734,0.008219546638429165,0.8342928886413574,0
Click_prediction_small,XGBoost,35953,3995,0.2579512596130371,0.417172908782959,0.008577808737754822,0.014465530402958393,0.8347935080528259,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4069204330444336,0.5972369909286499,0.08291943371295929,0.1444229781627655,0.737500011920929,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5062357783317566,0.6993947625160217,0.07736702263355255,0.051103077828884125,0.4375,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5069959759712219,0.7001489400863647,0.080898717045784,0.04448109120130539,0.39375001192092896,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.8360319137573242,3.669351100921631,0.19782030582427979,0.38827213644981384,0.48124998807907104,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.48447567224502563,0.6775907278060913,0.04882434010505676,0.050130926072597504,0.5874999761581421,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.6174885034561157,0.8343741297721863,0.1256849765777588,0.2230030596256256,0.46875,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5132755637168884,0.7065437436103821,0.05333402752876282,0.05463365837931633,0.4437499940395355,0
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5022252202033997,0.6953881978988647,0.03510946035385132,0.03002108260989189,0.4937500059604645,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4164929986000061,0.6071683168411255,0.051107391715049744,0.06912705302238464,0.699999988079071,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.47158828377723694,0.6643341779708862,0.046821944415569305,0.06320751458406448,0.6000000238418579,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.43767890334129333,0.628867506980896,0.05800744891166687,0.11665476858615875,0.668749988079071,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.5073885321617126,0.7009062767028809,0.04955734312534332,0.06127462163567543,0.5,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4123741090297699,0.6017968058586121,0.054070185869932175,0.04791754111647606,0.699999988079071,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4209481179714203,0.6135191917419434,0.06548936665058136,0.11078985035419464,0.699999988079071,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4803644120693207,0.6734100580215454,0.047071121633052826,0.0736866295337677,0.612500011920929,0
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44206637144088745,0.6339981555938721,0.0359080471098423,0.049679823219776154,0.6625000238418579,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.30407610535621643,0.45987191796302795,0.044877875596284866,0.11481545120477676,0.7562500238418579,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.40652236342430115,0.5966809988021851,0.051985159516334534,0.09635763615369797,0.699999988079071,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3407801687717438,0.5070436596870422,0.06498168408870697,0.1521052122116089,0.731249988079071,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5159648656845093,0.7095029354095459,0.05982567369937897,0.08906475454568863,0.5062500238418579,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2854751646518707,0.4349283277988434,0.03692067787051201,0.01864412985742092,0.793749988079071,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.3054670989513397,0.47018808126449585,0.0504794605076313,0.10850751399993896,0.7875000238418579,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.411207377910614,0.6011322736740112,0.060998205095529556,0.12331853806972504,0.699999988079071,0
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.354526162147522,0.5283601880073547,0.06153443455696106,0.14510780572891235,0.731249988079071,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.4053261876106262,0.586000382900238,0.05469249188899994,0.1298421174287796,0.643750011920929,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.490922749042511,0.6849653124809265,0.03703680634498596,0.0842369794845581,0.5562499761581421,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.48571890592575073,0.6786671876907349,0.04388592019677162,0.038158614188432693,0.574999988079071,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.5111716389656067,0.7052257061004639,0.04301515221595764,0.06409981846809387,0.512499988079071,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.39987891912460327,0.56606125831604,0.05110347270965576,0.1054561510682106,0.65625,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.426731675863266,0.6086937189102173,0.06570272892713547,0.12952154874801636,0.6312500238418579,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.4960629940032959,0.68913733959198,0.06012970209121704,0.09608040750026703,0.543749988079071,0
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.4911557734012604,0.6842569708824158,0.05814138054847717,0.021187487989664078,0.5687500238418579,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.41378918290138245,0.5868753790855408,0.06600919365882874,0.1150037944316864,0.6499999761581421,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.47988563776016235,0.6733540892601013,0.047866858541965485,0.08954034745693207,0.6187499761581421,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LightGBM,1440,160,0.46603140234947205,0.658225417137146,0.0736064687371254,0.10290839523077011,0.6187499761581421,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,LinearModel,1440,160,0.5328477621078491,0.7269219160079956,0.09218108654022217,0.14352825284004211,0.45625001192092896,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetFastAI,1440,160,0.4503137469291687,0.6368707418441772,0.07517354935407639,0.1402469128370285,0.612500011920929,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,NeuralNetTorch,1440,160,0.43598490953445435,0.6243771314620972,0.04474775493144989,0.13351057469844818,0.6312500238418579,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,RandomForest,1440,160,0.47922635078430176,0.6721950769424438,0.04904226213693619,0.08958430588245392,0.606249988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,XGBoost,1440,160,0.46462321281433105,0.6641603708267212,0.063576340675354,0.09836418926715851,0.6499999761581421,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,CatBoost,1440,160,0.3754254877567291,0.5547319054603577,0.04338887333869934,0.11426404118537903,0.6937500238418579,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,ExtraTrees,1440,160,0.43073177337646484,0.6217926144599915,0.05630628764629364,0.10514295846223831,0.668749988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LightGBM,1440,160,0.3886260390281677,0.5743420720100403,0.04050065577030182,0.07919297367334366,0.699999988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,LinearModel,1440,160,0.5058653354644775,0.6995823383331299,0.05918833240866661,0.06289772689342499,0.543749988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetFastAI,1440,160,0.38059958815574646,0.5633004903793335,0.06921425461769104,0.11351864784955978,0.699999988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,NeuralNetTorch,1440,160,0.3462854325771332,0.5201171636581421,0.045912016183137894,0.08058083057403564,0.737500011920929,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,RandomForest,1440,160,0.434757798910141,0.6267006993293762,0.07254169881343842,0.11678202450275421,0.699999988079071,0
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,XGBoost,1440,160,0.39008578658103943,0.5756276249885559,0.03708391636610031,0.07928169518709183,0.6937500238418579,0
Internet-Advertisements,CatBoost,2951,328,0.04692990705370903,0.0971364676952362,0.021881937980651855,0.02279205434024334,0.9756097793579102,0
Internet-Advertisements,ExtraTrees,2951,328,0.03766246140003204,0.3305571973323822,0.0181482695043087,0.03280307725071907,0.9786585569381714,0
Internet-Advertisements,LightGBM,2951,328,0.04805522412061691,0.09963595122098923,0.021923720836639404,0.023315373808145523,0.9695122241973877,0
Internet-Advertisements,LinearModel,2951,328,0.06370019912719727,0.17270605266094208,0.017780624330043793,0.032253094017505646,0.9603658318519592,0
Internet-Advertisements,NeuralNetFastAI,2951,328,0.05417487025260925,0.11800321936607361,0.015532094053924084,0.030299236997961998,0.9603658318519592,0
Internet-Advertisements,NeuralNetTorch,2951,328,0.05253104493021965,0.11573318392038345,0.014987647533416748,0.02094101347029209,0.9664633870124817,0
