dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
2dplanes,CatBoost,36691,4077,0.0951545255391334,0.1515100554568984,0.008091762661933899,0.009531295858323574,0.9266617894172668,0.6805513724684715
2dplanes,ExtraTrees,36691,4077,0.09494215375083664,0.15227445897774344,0.011437863111495972,0.007428702432662249,0.9259259104728699,0.5867033842951059
2dplanes,LightGBM,36691,4077,0.09520837413911838,0.15208959443170741,0.00901433452963829,0.010991153307259083,0.9271523356437683,0.5842615813016891
2dplanes,LinearModel,36691,4077,0.23160253868522676,0.36167384780504486,0.007780738640576601,0.013941608369350433,0.8400784730911255,0.6097464375197887
2dplanes,NeuralNetFastAI,36691,4077,0.09395130567175944,0.1500597930732279,0.010634975507855415,0.006315513979643583,0.931812584400177,0.5868525765836239
2dplanes,NeuralNetTorch,36691,4077,0.09430533688864878,0.15122760782161077,0.0036290776915848255,0.006013868842273951,0.931812584400177,0.5954287983477116
2dplanes,RandomForest,36691,4077,0.09470823935807438,0.15280760978177213,0.008747396990656853,0.009364799596369267,0.9256806373596191,0.5751925390213728
2dplanes,XGBoost,36691,4077,0.09532216854007786,0.1518462214928529,0.009524590335786343,0.010605803690850735,0.927397608757019,0.5880861263722181
APSFailure,CatBoost,68400,7600,0.007922890034895337,0.015571685040420556,0.001132193487137556,0.0015797559171915054,0.9951315522193909,0.8631335962563753
APSFailure,ExtraTrees,68400,7600,0.009219484144714967,0.017678136134389257,0.0010608809534460306,0.0017974606016650796,0.9940789341926575,0.8350409492850304
APSFailure,LightGBM,68400,7600,0.007617656697346682,0.01508841561262023,0.0011929788161069155,0.001489052432589233,0.9955263137817383,0.857697281986475
APSFailure,LinearModel,68400,7600,0.011777536320287139,0.022274207136904225,0.0014183181338012218,0.0029303557239472866,0.99289470911026,0.8576236739754677
APSFailure,NeuralNetFastAI,68400,7600,0.009410202634088774,0.017667136263239007,0.0010954011231660843,0.0025723257567733526,0.9944736957550049,0.8201531898230314
APSFailure,NeuralNetTorch,68400,7600,0.011259089744695201,0.021507932739231926,0.0015336514916270971,0.0031506335362792015,0.9932894706726074,0.8351685181260109
APSFailure,RandomForest,68400,7600,0.007918359921719477,0.015894549909245888,0.0011646560160443187,0.001605825498700142,0.9951315522193909,0.8188881278038025
APSFailure,XGBoost,68400,7600,0.007747513632700113,0.01498348625960329,0.0010803753975778818,0.0017462045652791858,0.9952631592750549,0.8667272683233023
Amazon_employee_access,CatBoost,29492,3277,0.07215908573168267,0.13409277736463304,0.005912343040108681,0.010163200087845325,0.9542264342308044,0.5277075488120317
Amazon_employee_access,ExtraTrees,29492,3277,0.07914584602908764,0.14856310577401272,0.005875395145267248,0.010255562141537666,0.9490387439727783,0.5295785814523697
Amazon_employee_access,LightGBM,29492,3277,0.07917776530582298,0.15107302269473535,0.005431279540061951,0.011501896195113659,0.9493439197540283,0.5146029386669397
Amazon_employee_access,LinearModel,29492,3277,0.08351068741265179,0.15622679024595937,0.0040091462433338165,0.00886563491076231,0.9459871649742126,0.5176560208201408
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.0834688879667526,0.1551985596608082,0.00399748794734478,0.008953958749771118,0.9465975165367126,0.5052094664424658
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08559629726951379,0.16076047503745328,0.007820919156074524,0.014189365319907665,0.9459871649742126,0.521849263459444
Amazon_employee_access,RandomForest,29492,3277,0.07510926187086939,0.14191520815407607,0.006664040498435497,0.01163751631975174,0.952395498752594,0.5149443130940199
Amazon_employee_access,XGBoost,29492,3277,0.07538152705264509,0.14386267578359405,0.0035921521484851837,0.007724380120635033,0.9514800310134888,0.5104452427476645
Australian,CatBoost,621,69,0.175696577356168,0.29596219059015333,0.05198504030704498,0.06358366459608078,0.8840579986572266,0.18216638825833797
Australian,ExtraTrees,621,69,0.16933472927448817,0.29139739984051993,0.05173775181174278,0.11407141387462616,0.8695651888847351,0.18005314841866493
Australian,LightGBM,621,69,0.1818177708328861,0.32307371918445704,0.06956671923398972,0.09951795637607574,0.8550724387168884,0.17876135744154453
Australian,LinearModel,621,69,0.16831125530418667,0.29583834005194726,0.06315243244171143,0.13737031817436218,0.9130434989929199,0.1782548539340496
Australian,NeuralNetFastAI,621,69,0.153735252114141,0.280139805723,0.06535343825817108,0.09909117221832275,0.8985507488250732,0.17942154966294765
Australian,NeuralNetTorch,621,69,0.16810052696019176,0.290187861774011,0.04822896420955658,0.10475646704435349,0.8840579986572266,0.17643403075635433
Australian,RandomForest,621,69,0.1635728002402046,0.28428773943020524,0.051255449652671814,0.0831388384103775,0.8550724387168884,0.1828097105026245
Australian,XGBoost,621,69,0.1482223099155125,0.26435689564571596,0.043284740298986435,0.08497285097837448,0.9130434989929199,0.1805246789008379
Bioresponse,CatBoost,3375,376,0.2790088630303715,0.4364108502976158,0.025640783831477165,0.05867145583033562,0.811170220375061,0.21899175085127354
Bioresponse,ExtraTrees,3375,376,0.2847729472282598,0.4396678454601252,0.02647068351507187,0.05987284332513809,0.8005319237709045,0.21937380358576775
Bioresponse,LightGBM,3375,376,0.27814276588935727,0.4327819053563024,0.030742494389414787,0.07829374074935913,0.813829779624939,0.2170672807842493
Bioresponse,LinearModel,3375,376,0.36862738583920024,0.5534580223537668,0.04642130807042122,0.07266362011432648,0.7367021441459656,0.22098944336175919
Bioresponse,NeuralNetFastAI,3375,376,0.28617476801174324,0.4417448353492251,0.021428372710943222,0.04950602352619171,0.7792553305625916,0.21755756624042988
Bioresponse,NeuralNetTorch,3375,376,0.2944516553899061,0.4542396530032911,0.02578142285346985,0.04752403497695923,0.7792553305625916,0.21524026803672314
Bioresponse,RandomForest,3375,376,0.28249136781265033,0.43813794960352576,0.031270384788513184,0.06492182612419128,0.813829779624939,0.2181540559977293
Bioresponse,XGBoost,3375,376,0.27656342426804714,0.43341509020177615,0.03357475996017456,0.04246418550610542,0.8085106611251831,0.21928000822663307
Click_prediction_small,CatBoost,35953,3995,0.2537276606813441,0.4125928018817947,0.009461261332035065,0.013637986034154892,0.8362953662872314,0.588267931714654
Click_prediction_small,ExtraTrees,35953,3995,0.26011501505588136,0.4206510142287269,0.006185254082083702,0.010568032041192055,0.8340425491333008,0.5849953722208738
Click_prediction_small,LightGBM,35953,3995,0.2581852683708349,0.41894977465708655,0.00786815956234932,0.009896988980472088,0.8365457057952881,0.5741698667407036
Click_prediction_small,LinearModel,35953,3995,0.2607533675758535,0.42454654579003925,0.013696763664484024,0.019764212891459465,0.8350437879562378,0.5729112178087234
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2587752670212121,0.4205447517688285,0.0070746950805187225,0.0074160415679216385,0.8365457057952881,0.595227425917983
Click_prediction_small,NeuralNetTorch,35953,3995,0.25935787279937106,0.418275135041263,0.0046474747359752655,0.006770620588213205,0.8340425491333008,0.5883556194603443
Click_prediction_small,RandomForest,35953,3995,0.2594823126678415,0.41862460061515894,0.004935888573527336,0.00963402446359396,0.8342928886413574,0.5874693505465984
Click_prediction_small,XGBoost,35953,3995,0.25816198508541555,0.41748754908892166,0.007924836128950119,0.015878504142165184,0.8355444073677063,0.58729905821383
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4064870110969327,0.5973379105409358,0.08357708156108856,0.1348862498998642,0.7437499761581421,0.1909883562475443
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5001650379265057,0.6933396818867995,0.16122935712337494,0.012809265404939651,0.5249999761581421,0.18932894803583622
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5167448607822314,0.7099493679009103,0.08659951388835907,0.05905185267329216,0.375,0.19355052150785923
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5016040784251893,0.6947516765832485,0.14179925620555878,0.010804628022015095,0.4625000059604645,0.18969137035310268
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.49497220666234243,0.6881246498752878,0.10181574523448944,0.0075790719129145145,0.5625,0.19278481230139732
