dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
2dplanes,CatBoost,36691,4077,0.09477774414557777,0.15106290311055726,0.006376558914780617,0.009780902415513992,0.9264164566993713,0.49621391482651234
2dplanes,ExtraTrees,36691,4077,0.09489178832211521,0.15230194841440337,0.0080049317330122,0.006859376560896635,0.9296051263809204,0.397131958976388
2dplanes,LightGBM,36691,4077,0.09551922301694685,0.1523312258905787,0.013417067937552929,0.011577337048947811,0.9271523356437683,0.3941400460898876
2dplanes,LinearModel,36691,4077,0.23143629737791654,0.36141090228692646,0.009443758055567741,0.015965290367603302,0.8420407176017761,0.3913766499608755
2dplanes,NeuralNetFastAI,36691,4077,0.09410498283784124,0.15036069805275226,0.008338291198015213,0.006940343417227268,0.931812584400177,0.3953367732465267
2dplanes,NeuralNetTorch,36691,4077,0.09449363142714416,0.15161090552990292,0.006458340212702751,0.00656247278675437,0.931812584400177,0.3967441953718662
2dplanes,RandomForest,36691,4077,0.09554805995227562,0.15372741017235386,0.010017549619078636,0.01237587071955204,0.9266617894172668,0.393889632076025
2dplanes,XGBoost,36691,4077,0.09570204787310382,0.15233641197724987,0.010320255532860756,0.010643026791512966,0.927397608757019,0.4002426825463772
APSFailure,CatBoost,68400,7600,0.00794948458423991,0.015641121917490973,0.0011768040712922812,0.0015279829967767,0.9951315522193909,0.5902604851871729
APSFailure,ExtraTrees,68400,7600,0.009218748341087582,0.0176471180180785,0.0010827446822077036,0.0019739207345992327,0.9940789341926575,0.5637330114841461
APSFailure,LightGBM,68400,7600,0.007603192011728431,0.014994306994314486,0.0009935483103618026,0.0014810113934800029,0.9955263137817383,0.5977895315736532
APSFailure,LinearModel,68400,7600,0.011715193904270447,0.02220044644305974,0.0013950066640973091,0.00277891056612134,0.99289470911026,0.6061976011842489
APSFailure,NeuralNetFastAI,68400,7600,0.009411465365864949,0.01770486040472314,0.0010220645926892757,0.0025134833995252848,0.9944736957550049,0.5990262180566788
APSFailure,NeuralNetTorch,68400,7600,0.011245066632250366,0.021463140014549877,0.0015919143334031105,0.0030290314462035894,0.9932894706726074,0.595192389562726
APSFailure,RandomForest,68400,7600,0.007904659030629103,0.015851098172443342,0.0010894619626924396,0.0015618342440575361,0.9951315522193909,0.5707624573260546
APSFailure,XGBoost,68400,7600,0.0077373504504243615,0.014957583827737299,0.00099039392080158,0.001676526851952076,0.9952631592750549,0.5998068768531084
Amazon_employee_access,CatBoost,29492,3277,0.07271392591263157,0.13464555112955956,0.0063995495438575745,0.009720567613840103,0.9542264342308044,0.340169383212924
Amazon_employee_access,ExtraTrees,29492,3277,0.07880724226408778,0.1484971327325206,0.005669781472533941,0.01043874491006136,0.9490387439727783,0.33533420972526073
Amazon_employee_access,LightGBM,29492,3277,0.07903121645913727,0.1511164243171511,0.004735406022518873,0.010729190893471241,0.9493439197540283,0.3211317751556635
Amazon_employee_access,LinearModel,29492,3277,0.08362721678588993,0.15653375423568655,0.004106614738702774,0.006174231879413128,0.9459871649742126,0.32486293837428093
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08369924290451144,0.15564276980538122,0.0037409067153930664,0.008393272757530212,0.9456820487976074,0.31990217976272106
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08524986998479292,0.16036871418459356,0.0076631829142570496,0.011942967772483826,0.9459871649742126,0.3277732618153095
Amazon_employee_access,RandomForest,29492,3277,0.07509847750269447,0.14183401180806535,0.006770184263586998,0.012305345386266708,0.9533109664916992,0.328730134293437
Amazon_employee_access,XGBoost,29492,3277,0.07528921878885582,0.144020564534677,0.0032524317502975464,0.007886004634201527,0.9514800310134888,0.31899477541446686
Australian,CatBoost,621,69,0.17532144380227332,0.29721309466956014,0.05140342563390732,0.07097137719392776,0.8840579986572266,0.053207261487841606
