dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
2dplanes,CatBoost,36691,4077,0.09509786264776054,0.15153003332386486,0.004755719099193811,0.009795109741389751,0.9286239743232727,0.3558763610199094
2dplanes,ExtraTrees,36691,4077,0.09582542420933379,0.15373129408211889,0.005438813008368015,0.00971527025103569,0.9261711835861206,0.2596556367352605
2dplanes,LightGBM,36691,4077,0.09576616058818879,0.15335427442590802,0.004985157400369644,0.012937565334141254,0.927397608757019,0.25577093102037907
2dplanes,LinearModel,36691,4077,0.22145042770567464,0.34365132954375505,0.011580740101635456,0.017942089587450027,0.8413048982620239,0.2604586910456419
2dplanes,NeuralNetFastAI,36691,4077,0.0947798881523287,0.15136612142462683,0.005045559257268906,0.008965668268501759,0.9269070625305176,0.2596465479582548
2dplanes,NeuralNetTorch,36691,4077,0.09519247518273756,0.1528171227026993,0.004105426371097565,0.011410500854253769,0.9323031902313232,0.25726557103917
2dplanes,RandomForest,36691,4077,0.09432829201817655,0.15267330252701722,0.004033186007291079,0.0103004677221179,0.9323031902313232,0.25405260268598795
2dplanes,XGBoost,36691,4077,0.09428749519531832,0.15074326118444745,0.003580259159207344,0.0053995936177670956,0.9308314919471741,0.25319948187097907
APSFailure,CatBoost,68400,7600,0.007947516115936542,0.015740520860027443,0.0012834417866542935,0.0014827572740614414,0.9951315522193909,0.3922050860710442
APSFailure,ExtraTrees,68400,7600,0.009341744994937843,0.01789388544363805,0.001074867439456284,0.0016469152178615332,0.9940789341926575,0.363009266089648
APSFailure,LightGBM,68400,7600,0.007603002050983742,0.015105215400835238,0.0008880103705450892,0.0017613485688343644,0.9955263137817383,0.3911885260604322
APSFailure,LinearModel,68400,7600,0.011829572486700341,0.022647411996389553,0.0016192474868148565,0.0019508030964061618,0.99289470911026,0.40147080225870013
APSFailure,NeuralNetFastAI,68400,7600,0.009426714373756926,0.017796283765222014,0.0009556729928590357,0.0023595918901264668,0.9944736957550049,0.3905751798301935
APSFailure,NeuralNetTorch,68400,7600,0.011269715825476942,0.02176810997737697,0.0016053932486101985,0.0031264389399439096,0.9932894706726074,0.40469896886497736
APSFailure,RandomForest,68400,7600,0.007879442108026555,0.015975741645912735,0.0010233669308945537,0.00215265154838562,0.9951315522193909,0.3601357783190906
APSFailure,XGBoost,68400,7600,0.0077492324675953505,0.015024562929171127,0.001126523595303297,0.0016607268480584025,0.9952631592750549,0.398033709730953
