dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
2dplanes,CatBoost,36691,4077,0.09516200706938112,0.15163828367794574,0.006264261901378632,0.010662411339581013,0.9278881549835205,9.1241245130077
2dplanes,ExtraTrees,36691,4077,0.09490667045883858,0.15254229297111455,0.00441823760047555,0.005332854110747576,0.9254353642463684,13.063336384482682
2dplanes,LightGBM,36691,4077,0.09487147048476045,0.15199526198584146,0.005721100606024265,0.009169891476631165,0.9259259104728699,11.508847506716847
2dplanes,LinearModel,36691,4077,0.2202129526500852,0.34039131424277913,0.010867411270737648,0.02052348293364048,0.8408143520355225,36.83303301781416
2dplanes,NeuralNetFastAI,36691,4077,0.09440057015952054,0.15074545793447103,0.004862867295742035,0.007715701125562191,0.9261711835861206,10.698395998217165
2dplanes,NeuralNetTorch,36691,4077,0.09454176262022874,0.15168453884663113,0.003956051543354988,0.00685566570609808,0.932548463344574,11.912770822644234
2dplanes,RandomForest,36691,4077,0.09439936695564516,0.1524199267565154,0.0037359297275543213,0.006410552188754082,0.9305862188339233,9.219802095554769
2dplanes,XGBoost,36691,4077,0.09433442252730352,0.1508155460925161,0.005187824368476868,0.008043467067182064,0.9298503994941711,11.133915568701923
APSFailure,CatBoost,68400,7600,0.007896742554385789,0.015564358694569215,0.0011702155461534858,0.0017596109537407756,0.9951315522193909,12.635453877039254
APSFailure,ExtraTrees,68400,7600,0.009205150834895048,0.017584707483961643,0.0010891992133110762,0.0019414470298215747,0.9940789341926575,9.363507088273764
APSFailure,LightGBM,68400,7600,0.007658212640290534,0.015180722804390557,0.0007914060261100531,0.001397517742589116,0.9955263137817383,10.8078009262681
APSFailure,LinearModel,68400,7600,0.011703013516507974,0.022161465278296016,0.0012904375325888395,0.0029348968528211117,0.99289470911026,9.467580568045378
APSFailure,NeuralNetFastAI,68400,7600,0.009322140228035717,0.017588758557847715,0.0009929481893777847,0.0026149083860218525,0.9946052432060242,11.387344668619335
