dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
2dplanes,CatBoost,36691,4077,0.09557302075393065,0.15222850905388177,0.005903234705328941,0.011474385857582092,0.9256806373596191,0.07731555902864784
2dplanes,ExtraTrees,36691,4077,0.0948389586826589,0.15227761783708915,0.005816571414470673,0.01022307574748993,0.9256806373596191,0.06636648904532194
2dplanes,LightGBM,36691,4077,0.09521477880591829,0.15318088087554949,0.005113505758345127,0.01202847994863987,0.9298503994941711,0.057629271992482245
2dplanes,LinearModel,36691,4077,0.23356884624160812,0.36682689761416903,0.012428482994437218,0.02244919165968895,0.8403237462043762,0.05712767201475799
2dplanes,NeuralNetFastAI,36691,4077,0.09418669392023336,0.1506874334908385,0.003838068339973688,0.006824558600783348,0.9332842826843262,0.050077558029443026
2dplanes,NeuralNetTorch,36691,4077,0.09473409574432314,0.1523156931158469,0.006919626612216234,0.010306626558303833,0.9315673112869263,0.06678416894283146
2dplanes,RandomForest,36691,4077,0.09558035340347179,0.15416729567239149,0.0057494970969855785,0.01571769081056118,0.9271523356437683,0.06288214400410652
2dplanes,XGBoost,36691,4077,0.0954480812480354,0.15281292684666217,0.005445943213999271,0.013167266733944416,0.9276428818702698,0.05754830699879676
APSFailure,CatBoost,68400,7600,0.007906073617463268,0.015610362086236593,0.001917778979986906,0.0028102484066039324,0.9952631592750549,0.14398710301611573
APSFailure,ExtraTrees,68400,7600,0.009589972003546623,0.018891561099343472,0.0029450736474245787,0.0024725282564759254,0.9940789341926575,0.2793682269984856
APSFailure,LightGBM,68400,7600,0.007862839339644554,0.015738504034483024,0.0017112140776589513,0.0017467672005295753,0.9951315522193909,0.14186095795594156
APSFailure,LinearModel,68400,7600,0.011450513617595411,0.02177202114630148,0.0012132894480600953,0.0032931738533079624,0.99289470911026,0.12279466399922967
APSFailure,NeuralNetFastAI,68400,7600,0.009734005950879672,0.018258946705141686,0.002337941899895668,0.004076207987964153,0.9934210777282715,0.14390046789776534
APSFailure,NeuralNetTorch,68400,7600,0.01084973480362826,0.021105466277899335,0.0022416249848902225,0.004097715951502323,0.9931579232215881,0.13640651991590858
APSFailure,RandomForest,68400,7600,0.008468765717838894,0.016965988579517085,0.0028555765748023987,0.0030066710896790028,0.9951315522193909,0.2809798059752211
APSFailure,XGBoost,68400,7600,0.007693010383042786,0.015284735705235008,0.0018949011573567986,0.0024770020972937346,0.9952631592750549,0.13168856594711542
Amazon_employee_access,CatBoost,29492,3277,0.07197038440030067,0.13447716773310747,0.0050738356076180935,0.01304036844521761,0.9545316100120544,0.0460326389875263
Amazon_employee_access,ExtraTrees,29492,3277,0.08110785464584411,0.15051245249426315,0.01010238379240036,0.014588583260774612,0.9469026327133179,0.05922624992672354
Amazon_employee_access,LightGBM,29492,3277,0.0790376170562454,0.1507220456434684,0.003437486942857504,0.008478041738271713,0.9499542117118835,0.11367347801569849
Amazon_employee_access,LinearModel,29492,3277,0.08389908400296246,0.15655007034071083,0.005998754408210516,0.008884596638381481,0.9453768730163574,0.039864122052676976
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08369644878041364,0.15632021606057317,0.008397046476602554,0.015311329625546932,0.9481232762336731,0.056629115948453546
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08514150985449029,0.1598314233172296,0.008900294080376625,0.014033813960850239,0.9465975165367126,0.06231440091505647
Amazon_employee_access,RandomForest,29492,3277,0.07728274081476802,0.14367637328730434,0.008598396554589272,0.015589665621519089,0.9478181004524231,0.0646641090279445
Amazon_employee_access,XGBoost,29492,3277,0.07552224375404279,0.14408214509188363,0.0053036510944366455,0.010387985035777092,0.951785147190094,0.05979249509982765
Australian,CatBoost,621,69,0.17592263069132408,0.2907139981616477,0.05100765824317932,0.0644533783197403,0.8695651888847351,0.004014441045001149
Australian,ExtraTrees,621,69,0.17223898459808182,0.29118773016506877,0.06196114793419838,0.09472201019525528,0.8550724387168884,0.004484715987928212
Australian,LightGBM,621,69,0.17532065085777257,0.31762167431883553,0.06171493977308273,0.09173355251550674,0.8695651888847351,0.004053151002153754
Australian,LinearModel,621,69,0.17017468716600465,0.2917773558633588,0.05918435379862785,0.12702862918376923,0.9130434989929199,0.01123840594664216
Australian,NeuralNetFastAI,621,69,0.1579817972993381,0.2802727352148544,0.06431520730257034,0.09245079755783081,0.8985507488250732,0.011551009956747293
Australian,NeuralNetTorch,621,69,0.16383331141089766,0.2795281534702477,0.03672540560364723,0.11898310482501984,0.8840579986572266,0.006655073957517743
Australian,RandomForest,621,69,0.16838670032550507,0.3012477526085468,0.05242559686303139,0.08925926685333252,0.8550724387168884,0.006693310919217765
Australian,XGBoost,621,69,0.15065466527124724,0.26462814817038677,0.050626300275325775,0.1025230661034584,0.8840579986572266,0.004595136968418956
Bioresponse,CatBoost,3375,376,0.27727775955179607,0.435337677354437,0.021771438419818878,0.06825267523527145,0.8164893388748169,0.009447167976759374
Bioresponse,ExtraTrees,3375,376,0.28356480638837833,0.4342391839058454,0.018455911427736282,0.03915878012776375,0.7952127456665039,0.016565866069868207
Bioresponse,LightGBM,3375,376,0.2766681520089457,0.4327362875741219,0.024341437965631485,0.05773197486996651,0.8218085169792175,0.009493218967691064
Bioresponse,LinearModel,3375,376,0.3682036398264893,0.5526934572190374,0.050540633499622345,0.07128006964921951,0.7473404407501221,0.01987290207762271
Bioresponse,NeuralNetFastAI,3375,376,0.2867051827645989,0.4428100956606007,0.021079331636428833,0.06903822720050812,0.7792553305625916,0.01415460801217705
Bioresponse,NeuralNetTorch,3375,376,0.2918169083402408,0.4499259665050261,0.02037874609231949,0.057867757976055145,0.7952127456665039,0.01286037394311279
Bioresponse,RandomForest,3375,376,0.28084461158845264,0.4351393077251432,0.024151913821697235,0.055289376527071,0.811170220375061,0.016171931056305766
Bioresponse,XGBoost,3375,376,0.2752124731412288,0.43196380342769614,0.02584553137421608,0.052155639976263046,0.8164893388748169,0.00942866294644773
Click_prediction_small,CatBoost,35953,3995,0.25339692920261614,0.4118328728689109,0.008455535396933556,0.011560116894543171,0.8362953662872314,0.048051603022031486
Click_prediction_small,ExtraTrees,35953,3995,0.26023635405969453,0.4209615551120329,0.007042183540761471,0.007908317260444164,0.8342928886413574,0.09305559797212481
Click_prediction_small,LightGBM,35953,3995,0.2580591519473345,0.41887395506270986,0.007619813084602356,0.010558267123997211,0.8367959856987,0.04738970007747412
Click_prediction_small,LinearModel,35953,3995,0.26143474729096744,0.42448493434893353,0.022713560611009598,0.02383272722363472,0.8365457057952881,0.1351951389806345
Click_prediction_small,NeuralNetFastAI,35953,3995,0.25827662651604283,0.4200665410879835,0.005732293240725994,0.007136334199458361,0.8375469446182251,0.07720362895634025
Click_prediction_small,NeuralNetTorch,35953,3995,0.25974249219276063,0.4188369104386477,0.008333511650562286,0.010174804367125034,0.8345431685447693,0.10112676292192191
Click_prediction_small,RandomForest,35953,3995,0.25915689669658476,0.41833700685356606,0.0048914458602666855,0.009224701672792435,0.8342928886413574,0.07695985701866448
Click_prediction_small,XGBoost,35953,3995,0.25794854421354907,0.417173657491699,0.00847017765045166,0.013150726445019245,0.8347935080528259,0.06899932795204222
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4087963982681589,0.5993143378254079,0.08420169353485107,0.15139774978160858,0.737500011920929,0.0068491019774228334
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5042880033002968,0.6974392246251238,0.07507222890853882,0.04339584708213806,0.4375,0.008209158084355295
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5123654197961209,0.705543011785332,0.08488383889198303,0.04394838586449623,0.39375001192092896,0.015946893952786922
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5005625497888392,0.6937097997465929,0.03536327928304672,3.010531327163335e-05,0.48124998807907104,0.01011410600040108
