dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
2dplanes,CatBoost,36691,4077,0.0943996479910876,0.15524967137848034,0.011775454506278038,0.005964185576885939,0.9281334280967712,0.002682279795408249
2dplanes,ExtraTrees,36691,4077,0.09415316108029208,0.15506847357818856,0.011395159177482128,0.004259049892425537,0.9293597936630249,0.001966133713722229
2dplanes,LightGBM,36691,4077,0.0943557173143536,0.15611819418224032,0.013448071666061878,0.004400505684316158,0.9288692474365234,0.001776028424501419
2dplanes,LinearModel,36691,4077,0.2347348470761989,0.37517382595673615,0.010911010205745697,0.013231774792075157,0.8403237462043762,0.0020382925868034363
2dplanes,NeuralNetFastAI,36691,4077,0.09420519249576499,0.15510538857295128,0.013388371095061302,0.004359720274806023,0.9293597936630249,0.0017526838928461075
2dplanes,NeuralNetTorch,36691,4077,0.09461064513707411,0.15937810100111413,0.011907940730452538,0.005334897898137569,0.9291145205497742,0.001771511510014534
2dplanes,RandomForest,36691,4077,0.09446605080777151,0.15917852713716169,0.011003216728568077,0.0062901172786951065,0.9327937364578247,0.0018699169158935547
2dplanes,XGBoost,36691,4077,0.09449967734822533,0.1575049986647894,0.013007371686398983,0.005671321880072355,0.9288692474365234,0.001783754676580429
APSFailure,CatBoost,68400,7600,0.008045936346008406,0.020289694693370927,0.0018383306451141834,0.0014187803026288748,0.9952631592750549,0.0036191754043102264
APSFailure,ExtraTrees,68400,7600,0.009298184672207988,0.019815740971053337,0.0010514343157410622,0.0011676992289721966,0.9939473867416382,0.002650938928127289
APSFailure,LightGBM,68400,7600,0.007809824830601293,0.01902690327399075,0.0015758972149342299,0.0014878178481012583,0.9951315522193909,0.0024973247200250626
APSFailure,LinearModel,68400,7600,0.011538770016636423,0.024652597665438508,0.0016407696530222893,0.003001526929438114,0.99289470911026,0.002788841724395752
APSFailure,NeuralNetFastAI,68400,7600,0.00961449438728771,0.022998108252776095,0.002117264550179243,0.0022121488582342863,0.9944736957550049,0.002565547823905945
APSFailure,NeuralNetTorch,68400,7600,0.011240473834763216,0.024084729209334518,0.002423483645543456,0.0031143028754740953,0.9931579232215881,0.0026467368006706238
APSFailure,RandomForest,68400,7600,0.007841477249143924,0.016186803582663372,0.0013976336922496557,0.002228022553026676,0.9951315522193909,0.002778058871626854
APSFailure,XGBoost,68400,7600,0.00785407950249863,0.020567305285659674,0.002039180137217045,0.001514557865448296,0.9952631592750549,0.002724023535847664
Amazon_employee_access,CatBoost,29492,3277,0.07302874092472957,0.14442208066734372,0.016612350940704346,0.005073106847703457,0.9545316100120544,0.0012648236006498337
Amazon_employee_access,ExtraTrees,29492,3277,0.07952855375626934,0.15251023157768173,0.018526315689086914,0.007904231548309326,0.9484284520149231,0.0013719331473112106
Amazon_employee_access,LightGBM,29492,3277,0.0789374178440582,0.15353424946976285,0.016757458448410034,0.005770277697592974,0.9499542117118835,0.001264834776520729
Amazon_employee_access,LinearModel,29492,3277,0.08450296671090425,0.16249389204042794,0.017514288425445557,0.007593222428113222,0.9469026327133179,0.0013216882944107056
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08468870418791388,0.16396670758790324,0.020289123058319092,0.007653546053916216,0.9459871649742126,0.0012853443622589111
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08565644959544508,0.16304127999857052,0.017226876690983772,0.012692190706729889,0.9462923407554626,0.0013858340680599213
Amazon_employee_access,RandomForest,29492,3277,0.07578372593013365,0.1463457049884917,0.016848832368850708,0.00940720085054636,0.951785147190094,0.0013914834707975388
Amazon_employee_access,XGBoost,29492,3277,0.07596565768197575,0.1498012095076542,0.018019795417785645,0.0043954309076070786,0.952090322971344,0.001371428370475769
Australian,CatBoost,621,69,0.16657200484320162,0.2826375400956271,0.0556362122297287,0.06653115898370743,0.8840579986572266,0.0002872701734304428
Australian,ExtraTrees,621,69,0.16339093413911954,0.27844619122362596,0.058487072587013245,0.0761995017528534,0.8550724387168884,0.0002559646964073181
Australian,LightGBM,621,69,0.17443231869102452,0.2892142197828495,0.06640733778476715,0.08816129714250565,0.8695651888847351,0.00026789121329784393
Australian,LinearModel,621,69,0.15229712275221913,0.2900453658962473,0.062124721705913544,0.12291046977043152,0.9130434989929199,0.000248173251748085
Australian,NeuralNetFastAI,621,69,0.15703282655696046,0.27609502659845847,0.05743301659822464,0.06924105435609818,0.9130434989929199,0.00026200711727142334
Australian,NeuralNetTorch,621,69,0.18100541216873722,0.3038036135458943,0.05091772973537445,0.06912054866552353,0.8840579986572266,0.0002567097544670105
Australian,RandomForest,621,69,0.15446916559731086,0.26537306899924756,0.05549567937850952,0.06679828464984894,0.8695651888847351,0.00026622042059898376
Australian,XGBoost,621,69,0.1531714221746321,0.25847644732588365,0.035723522305488586,0.05849272757768631,0.9130434989929199,0.00026638805866241455
Bioresponse,CatBoost,3375,376,0.28309681020622174,0.44581785078378305,0.028656668961048126,0.04671287536621094,0.811170220375061,0.0004314389079809189
Bioresponse,ExtraTrees,3375,376,0.2879124472039561,0.44473587118251545,0.04096636176109314,0.04194668307900429,0.792553186416626,0.000401204451918602
Bioresponse,LightGBM,3375,376,0.2792371421029648,0.438923124391216,0.035964399576187134,0.06083293631672859,0.8218085169792175,0.00037647970020771027
Bioresponse,LinearModel,3375,376,0.3672007926094751,0.5523867995687405,0.04431144893169403,0.05958101153373718,0.7446808218955994,0.00039065442979335785
Bioresponse,NeuralNetFastAI,3375,376,0.28309883862711127,0.44100663512165056,0.03249464929103851,0.04877423495054245,0.789893627166748,0.0004070121794939041
Bioresponse,NeuralNetTorch,3375,376,0.29445668808691805,0.4544803648127828,0.034919872879981995,0.03950702026486397,0.7792553305625916,0.00043659284710884094
Bioresponse,RandomForest,3375,376,0.2875235300087188,0.44831030438510355,0.03883093595504761,0.0636238157749176,0.811170220375061,0.0004039295017719269
Bioresponse,XGBoost,3375,376,0.28026451036077965,0.4396659143026213,0.03238368779420853,0.05563916638493538,0.8164893388748169,0.0004117153584957123
Click_prediction_small,CatBoost,35953,3995,0.2559697133480005,0.4171563428882318,0.02978205308318138,0.014722882770001888,0.8362953662872314,0.0016979258507490158
Click_prediction_small,ExtraTrees,35953,3995,0.26307225649275084,0.42602070710608575,0.0671110451221466,0.008667915128171444,0.8332915902137756,0.0017097759991884232
Click_prediction_small,LightGBM,35953,3995,0.25959363376084416,0.42238797038854936,0.0280226431787014,0.009023946709930897,0.8367959856987,0.0018336251378059387
Click_prediction_small,LinearModel,35953,3995,0.26145683131082126,0.4252344375505454,0.045848995447158813,0.013180737383663654,0.8352941274642944,0.0017350874841213226
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2605531857027268,0.42469000965865605,0.017605140805244446,0.007309380918741226,0.8357947468757629,0.0018312614411115646
Click_prediction_small,NeuralNetTorch,35953,3995,0.2602582468279797,0.4207552654826076,0.025730427354574203,0.004186529666185379,0.8345431685447693,0.0017567053437232971
Click_prediction_small,RandomForest,35953,3995,0.2609592070691445,0.4227334977131954,0.02772284857928753,0.006565595045685768,0.8342928886413574,0.0018080063164234161
Click_prediction_small,XGBoost,35953,3995,0.2603701248389958,0.42214023303359716,0.02992396429181099,0.009934986010193825,0.8347935080528259,0.0018461775034666061
