dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
2dplanes,CatBoost,36691,4077,0.09471304079319069,0.15055115856129944,0.008280339650809765,0.009629258885979652,0.9261711835861206,0.04353288188576698
2dplanes,ExtraTrees,36691,4077,0.09438856275690749,0.1515363767702519,0.013203964568674564,0.0049520921893417835,0.9259259104728699,0.03311774879693985
2dplanes,LightGBM,36691,4077,0.09437526661928707,0.1508385834309919,0.012184570543467999,0.005369360558688641,0.9271523356437683,0.03053152561187744
2dplanes,LinearModel,36691,4077,0.23018659392397237,0.35888613948106446,0.009302654303610325,0.013297240249812603,0.8425312638282776,0.031075138598680496
2dplanes,NeuralNetFastAI,36691,4077,0.0940488425400004,0.14992482754162448,0.007301646750420332,0.004884618800133467,0.9305862188339233,0.03057726100087166
2dplanes,NeuralNetTorch,36691,4077,0.09445815777810115,0.1515684419526745,0.0037746820598840714,0.006475367117673159,0.9315673112869263,0.030617550015449524
2dplanes,RandomForest,36691,4077,0.09425721358422429,0.15263042700274648,0.013433200307190418,0.005008322186768055,0.9308314919471741,0.03015989065170288
2dplanes,XGBoost,36691,4077,0.09417562936203484,0.15033206467897967,0.010069534182548523,0.005560106132179499,0.927397608757019,0.030910249799489975
APSFailure,CatBoost,68400,7600,0.007741980107647489,0.02556101906713305,0.0008437527576461434,0.0020657647401094437,0.9952631592750549,0.05858365073800087
APSFailure,ExtraTrees,68400,7600,0.009235157742775738,0.01772469018807913,0.0010946991387754679,0.0014788326807320118,0.9940789341926575,0.05462079495191574
APSFailure,LightGBM,68400,7600,0.007693198026999897,0.015051793361631973,0.0006382022984325886,0.0015553755220025778,0.995394766330719,0.05810399353504181
APSFailure,LinearModel,68400,7600,0.011537218557431884,0.022136365001310176,0.0016379423905164003,0.002680512610822916,0.9930263161659241,0.058315690606832504
APSFailure,NeuralNetFastAI,68400,7600,0.009179287966144974,0.017310759391334488,0.0008850486483424902,0.0025390752125531435,0.9943420886993408,0.05802648887038231
APSFailure,NeuralNetTorch,68400,7600,0.01117216963057745,0.03165187135729108,0.002006097696721554,0.0033600954338908195,0.9932894706726074,0.058386679738759995
APSFailure,RandomForest,68400,7600,0.007907991893168478,0.015912592868496486,0.001134393154643476,0.0016324162716045976,0.9951315522193909,0.053740132600069046
APSFailure,XGBoost,68400,7600,0.007491505143053955,0.014556992577192741,0.000687964609824121,0.0018059378489851952,0.9950000047683716,0.05802367627620697
Amazon_employee_access,CatBoost,29492,3277,0.0724301682364996,0.13429006284909809,0.005512661300599575,0.010937003418803215,0.9527006149291992,0.026324912905693054
Amazon_employee_access,ExtraTrees,29492,3277,0.07880018037550574,0.14796276931932198,0.006047933362424374,0.008695172145962715,0.9490387439727783,0.02587905153632164
Amazon_employee_access,LightGBM,29492,3277,0.07916367686165135,0.1510670916165995,0.004704885184764862,0.010427111759781837,0.9493439197540283,0.026145055890083313
Amazon_employee_access,LinearModel,29492,3277,0.08376186043947607,0.15656024171980495,0.0045197950676083565,0.00988295953720808,0.9465975165367126,0.026670072227716446
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08343525780631136,0.1550611973542844,0.00725189782679081,0.006287756841629744,0.9465975165367126,0.026599694043397903
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08550901516975083,0.1607997228312553,0.006837949156761169,0.010550032369792461,0.9459871649742126,0.026082351803779602
Amazon_employee_access,RandomForest,29492,3277,0.07508522930139117,0.14170531090717725,0.0063857268542051315,0.011440192349255085,0.9530057907104492,0.025704164057970047
Amazon_employee_access,XGBoost,29492,3277,0.07518983598479896,0.14368402127940677,0.003997273743152618,0.00831995066255331,0.951785147190094,0.026102986186742783
Australian,CatBoost,621,69,0.1834144785333985,0.3213646480788056,0.05337388068437576,0.05380701646208763,0.8840579986572266,0.006874833256006241
Australian,ExtraTrees,621,69,0.17298987017821268,0.290404599611696,0.06481873244047165,0.10197900980710983,0.8550724387168884,0.0058968886733055115
Australian,LightGBM,621,69,0.18397511025735505,2.7298694007383775,0.07164609432220459,0.12508675456047058,0.8550724387168884,0.006009358912706375
Australian,LinearModel,621,69,0.16674053446237327,0.29177219664694043,0.06019840016961098,0.07093513011932373,0.9130434989929199,0.0057270824909210205
Australian,NeuralNetFastAI,621,69,0.1566533465313015,0.2900303582558752,0.06992318481206894,0.0841740295290947,0.8985507488250732,0.005805622786283493
Australian,NeuralNetTorch,621,69,0.17084805484985802,0.288489125354627,0.054988279938697815,0.07329244166612625,0.8840579986572266,0.006054792553186417
Australian,RandomForest,621,69,0.1689195262319935,0.2958955857718983,0.04529506713151932,0.07164029031991959,0.8550724387168884,0.005935464054346085
Australian,XGBoost,621,69,0.1500904766288049,1.463871404564108,0.04011908546090126,0.08471163362264633,0.8985507488250732,0.005895189940929413
Bioresponse,CatBoost,3375,376,0.2826632496683684,0.4419837228606741,0.02064475789666176,0.04961641877889633,0.8058510422706604,0.007949449121952057
Bioresponse,ExtraTrees,3375,376,0.287145842521992,0.4414593898505158,0.02909836918115616,0.05862611532211304,0.8005319237709045,0.007909346371889114
Bioresponse,LightGBM,3375,376,0.2802239233281944,0.43651484905620147,0.03664746135473251,0.07002352178096771,0.811170220375061,0.007929950952529907
Bioresponse,LinearModel,3375,376,0.36577346808049965,0.550138656265132,0.042724866420030594,0.07482701539993286,0.7446808218955994,0.00805635005235672
Bioresponse,NeuralNetFastAI,3375,376,0.2866160415236372,0.44211085881344003,0.027175715193152428,0.04545876756310463,0.7792553305625916,0.007919780910015106
Bioresponse,NeuralNetTorch,3375,376,0.2984734344813936,0.4587133306312406,0.024881066754460335,0.04731784388422966,0.7765957713127136,0.007824096828699112
Bioresponse,RandomForest,3375,376,0.28454639804812837,0.43917308446325354,0.03363758325576782,0.06980898231267929,0.8085106611251831,0.007834095507860184
Bioresponse,XGBoost,3375,376,0.27844941288139075,0.43743707765475187,0.027968470007181168,0.056576378643512726,0.811170220375061,0.007856771349906921
Click_prediction_small,CatBoost,35953,3995,0.2535961640909279,0.4326774770328082,0.008405536413192749,0.012694512493908405,0.8367959856987,0.034170012921094894
Click_prediction_small,ExtraTrees,35953,3995,0.2603059255657534,0.42077492074595146,0.006381697952747345,0.009746713563799858,0.8345431685447693,0.034237395972013474
Click_prediction_small,LightGBM,35953,3995,0.2584071249964197,0.41925147064293367,0.010400704108178616,0.012786859646439552,0.8372966051101685,0.0330827459692955
Click_prediction_small,LinearModel,35953,3995,0.2611635456836553,0.4656746141097447,0.012593450024724007,0.02057061716914177,0.8345431685447693,0.03351424261927605
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2585986512916865,0.420191240463326,0.01214621216058731,0.0066657960414886475,0.8375469446182251,0.03343244642019272
Click_prediction_small,NeuralNetTorch,35953,3995,0.25944529365955316,0.4181770848293758,0.00911843404173851,0.006892682518810034,0.8340425491333008,0.03330867737531662
Click_prediction_small,RandomForest,35953,3995,0.25941939024180743,0.4185259798048013,0.005330178886651993,0.01112817320972681,0.8340425491333008,0.033473268151283264
Click_prediction_small,XGBoost,35953,3995,0.2579815807777542,0.41745244324830266,0.007049968466162682,0.012878905050456524,0.8357947468757629,0.03315848484635353
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.41154579890716025,0.6026625458978812,0.09402582049369812,0.12877586483955383,0.7437499761581421,0.006563391536474228
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5006287758232782,0.693818854857606,0.18221533298492432,0.015074885450303555,0.518750011920929,0.006491038948297501
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5170807268893653,0.7103079367478261,0.09028171002864838,0.05258845165371895,0.375,0.006463952362537384
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5024198515884942,0.6955700705037863,0.1570008099079132,0.026205338537693024,0.45625001192092896,0.006541263312101364
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.49459681789010695,0.6877430097490377,0.19206969439983368,0.04153556376695633,0.5625,0.006545949727296829
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5018496493385011,0.6950095129569288,0.08772888034582138,0.010056822560727596,0.4625000059604645,0.006772380322217941
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5123850706543027,0.7056104107079861,0.05926892161369324,0.08036184310913086,0.44999998807907104,0.00634114071726799
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5017134212310046,0.6948849587009768,0.04119475185871124,0.02249062806367874,0.518750011920929,0.006386801600456238
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4137919178187694,0.6042358577519269,0.07222980260848999,0.0656828060746193,0.699999988079071,0.006560049951076508
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46305408376818563,0.6555022426700484,0.06715407967567444,0.07727038860321045,0.6312500238418579,0.006505288183689117
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.44465871111337235,0.6359957237294817,0.051847487688064575,0.06827366352081299,0.6625000238418579,0.0064581334590911865
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.49992296934831676,0.6930702835890987,0.2323119044303894,0.0007843576604500413,0.5062500238418579,0.006603345274925232
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4125382110976791,0.6015863058440992,0.03681933507323265,0.05099107325077057,0.699999988079071,0.00650792196393013
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.40518448838266063,0.5953058463040225,0.06760624051094055,0.07558702677488327,0.699999988079071,0.0063535720109939575
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.48007397800887885,0.6728798320669448,0.06968515366315842,0.031688589602708817,0.612500011920929,0.006549112498760223
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44063869722614657,0.6312280668494781,0.066623754799366,0.04870360344648361,0.65625,0.006326030939817429
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.29407960385085674,0.44765050816251506,0.03891468793153763,0.08014541864395142,0.7875000238418579,0.006561007350683212
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3947203029238261,0.5832862061480686,0.03910858929157257,0.0459444597363472,0.699999988079071,0.006603702902793884
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3125314182521436,0.47142574062394277,0.04899806156754494,0.07037820667028427,0.768750011920929,0.006531096994876862
