dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
2dplanes,CatBoost,36691,4077,0.09457086771726608,0.1532302349805832,0.006883102934807539,0.008386276662349701,0.9276428818702698,3.822248851880431
2dplanes,ExtraTrees,36691,4077,0.09444867819547653,0.15335160493850708,0.008158758282661438,0.00966531690210104,0.9293597936630249,3.7277847472578287
2dplanes,LightGBM,36691,4077,0.09468698501586914,0.1547970175743103,0.007434476166963577,0.009746660478413105,0.9288692474365234,3.7714646365493536
2dplanes,LinearModel,36691,4077,0.2342114895582199,0.3680263161659241,0.01520396489650011,0.028841830790042877,0.8410596251487732,3.4232289446517825
2dplanes,NeuralNetFastAI,36691,4077,0.09416377544403076,0.15322136878967285,0.005426742136478424,0.008189178071916103,0.9296051263809204,3.686009792611003
2dplanes,NeuralNetTorch,36691,4077,0.09525176137685776,0.15567052364349365,0.007897424511611462,0.012879176065325737,0.9296051263809204,3.7248938269913197
2dplanes,RandomForest,36691,4077,0.09489081054925919,0.15503503382205963,0.006667841225862503,0.011644044890999794,0.9298503994941711,3.783621536567807
2dplanes,XGBoost,36691,4077,0.09480509907007217,0.15449103713035583,0.006671850103884935,0.009626176208257675,0.9276428818702698,3.7397422241047025
APSFailure,CatBoost,68400,7600,0.008079812861979008,0.019025813788175583,0.002399097429588437,0.0029033028986305,0.9950000047683716,3.3876319462433457
APSFailure,ExtraTrees,68400,7600,0.009212737902998924,0.018963387235999107,0.0022671762853860855,0.0025990991853177547,0.9942105412483215,3.6300798021256924
APSFailure,LightGBM,68400,7600,0.007793155033141375,0.018860643729567528,0.002156815491616726,0.002950150752440095,0.995394766330719,3.387060796841979
APSFailure,LinearModel,68400,7600,0.011796141974627972,0.024024207144975662,0.003040836425498128,0.004147332161664963,0.99289470911026,3.502550797536969
APSFailure,NeuralNetFastAI,68400,7600,0.009844724088907242,0.021158715710043907,0.0025966251268982887,0.0036064740270376205,0.9943420886993408,3.363763064146042
APSFailure,NeuralNetTorch,68400,7600,0.010873605497181416,0.02205161564052105,0.002222456270828843,0.0035965198185294867,0.9934210777282715,3.3996096570044756
APSFailure,RandomForest,68400,7600,0.008116260170936584,0.016661183908581734,0.0022946104872971773,0.0029094060882925987,0.9948683977127075,3.498156141489744
APSFailure,XGBoost,68400,7600,0.007942021824419498,0.018747448921203613,0.0027998769655823708,0.0031015716958791018,0.9948683977127075,3.383766634389758
