dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
2dplanes,CatBoost,36691,4077,0.10974757402196873,0.17367049266854884,0.019046347588300705,0.00910857878625393,0.9259259104728699,0.05365471448749304
2dplanes,ExtraTrees,36691,4077,0.1082108696828946,0.1716194937645857,0.009149426594376564,0.012071352452039719,0.9249448180198669,0.044518730603158474
2dplanes,LightGBM,36691,4077,0.1068108542554437,0.17086532050258096,0.021084755659103394,0.007911981083452702,0.9286239743232727,0.04502533096820116
2dplanes,LinearModel,36691,4077,0.2354559915292832,0.37078683016764763,0.02871878445148468,0.02065710723400116,0.8408143520355225,0.040386869572103024
2dplanes,NeuralNetFastAI,36691,4077,0.10209368377973566,0.1623234817272758,0.030736546963453293,0.009176179766654968,0.9330390095710754,0.045637873001396656
2dplanes,NeuralNetTorch,36691,4077,0.10470328830160526,0.16862797780904132,0.025512035936117172,0.00664148386567831,0.9320578575134277,0.04465855285525322
2dplanes,RandomForest,36691,4077,0.10745874686466024,0.1733267408078817,0.0191341582685709,0.006167236715555191,0.927397608757019,0.04441963415592909
2dplanes,XGBoost,36691,4077,0.10850756013955795,0.17276828161041635,0.019039291888475418,0.008184093981981277,0.9276428818702698,0.04427373968064785
APSFailure,CatBoost,68400,7600,0.029626028072368506,0.04884802396631827,0.012944485992193222,0.00046984219807200134,0.9819737076759338,0.09130026213824749
APSFailure,ExtraTrees,68400,7600,0.02935941884271396,0.05083756876330528,0.010920055210590363,0.0009038604912348092,0.9819737076759338,0.0698213828727603
APSFailure,LightGBM,68400,7600,0.029876877562166,0.0496454291206579,0.01374068483710289,0.0005253879935480654,0.9819737076759338,0.09635863546282053
APSFailure,LinearModel,68400,7600,0.02999640539792419,0.050233620998432385,0.01103601511567831,0.0005695956642739475,0.9819737076759338,0.09521110728383064
APSFailure,NeuralNetFastAI,68400,7600,0.029815811091047483,0.049428354334091755,0.009654020890593529,0.0002965248131658882,0.9819737076759338,0.09780056308954954
APSFailure,NeuralNetTorch,68400,7600,0.030094418869333756,0.05042361950103196,0.01120330486446619,0.0011137337423861027,0.9819737076759338,0.09441354870796204
APSFailure,RandomForest,68400,7600,0.028793377935728677,0.05253588339468783,0.01279478520154953,0.0024027058389037848,0.9819737076759338,0.0657973438501358
APSFailure,XGBoost,68400,7600,0.029216178537668676,0.04762142574032194,0.011111890897154808,0.0020654313266277313,0.9819737076759338,0.09379387740045786
Amazon_employee_access,CatBoost,29492,3277,0.08350652190091136,0.14757678083680273,0.021810082718729973,0.0016223550774157047,0.9423252940177917,0.03761576022952795
Amazon_employee_access,ExtraTrees,29492,3277,0.08611726133617235,0.15690860428269726,0.02224564552307129,0.012681717053055763,0.9423252940177917,0.039368468336761
Amazon_employee_access,LightGBM,29492,3277,0.08693800093091876,0.16047604114233782,0.01973201520740986,0.0030126534402370453,0.9423252940177917,0.04040117189288139
Amazon_employee_access,LinearModel,29492,3277,0.08853662706954707,0.16185234683923977,0.02233251929283142,0.003527980297803879,0.9423252940177917,0.039537884294986725
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08741591121129887,0.15948438596608513,0.020352531224489212,0.007316388189792633,0.9423252940177917,0.046025414019823074
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08994767198210303,0.16567135965764912,0.022025734186172485,0.014862820506095886,0.9423252940177917,0.03956975508481264
Amazon_employee_access,RandomForest,29492,3277,0.08509793860298982,0.15361558075288007,0.024414848536252975,0.021502846851944923,0.9423252940177917,0.03959008678793907
Amazon_employee_access,XGBoost,29492,3277,0.08507209066708327,0.15478310197153447,0.02021951973438263,0.0014266561483964324,0.9423252940177917,0.03903600759804249
Australian,CatBoost,621,69,0.17543499553850972,0.2924300450782513,0.0595880001783371,0.052928321063518524,0.8695651888847351,0.002713574096560478
Australian,ExtraTrees,621,69,0.18627976486298034,0.3133999715792506,0.06505414098501205,0.08257708698511124,0.8405796885490417,0.002604003995656967
Australian,LightGBM,621,69,0.18070617852717774,0.3240236661163127,0.06120291352272034,0.0653114914894104,0.8840579986572266,0.00258080568164587
Australian,LinearModel,621,69,0.18725841561613438,0.30967099291739636,0.06466978788375854,0.059398505836725235,0.8695651888847351,0.002821626141667366
Australian,NeuralNetFastAI,621,69,0.15537286263939032,0.2820684019801434,0.06096145883202553,0.06667586416006088,0.9275362491607666,0.0028707319870591164
Australian,NeuralNetTorch,621,69,0.16312964031141244,0.2792773984772736,0.055261701345443726,0.07640648633241653,0.8985507488250732,0.0027849972248077393
Australian,RandomForest,621,69,0.16595142220275103,0.31318736232389366,0.059497494250535965,0.11357995122671127,0.8550724387168884,0.002759166993200779
Australian,XGBoost,621,69,0.16152200751579918,0.2788444635567199,0.053364917635917664,0.04578051716089249,0.8985507488250732,0.002631186507642269
Bioresponse,CatBoost,3375,376,0.27913986853312206,0.4386186933714398,0.030795127153396606,0.02904965542256832,0.811170220375061,0.006131940521299839
