dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
2dplanes,CatBoost,36691,4077,0.09566483525018481,0.15216539508921867,0.006319392938166857,0.01365052442997694,0.9254353642463684,5.891157320700586
2dplanes,ExtraTrees,36691,4077,0.09493350894828259,0.15248389382022898,0.006022311747074127,0.011171708814799786,0.9251900911331177,7.778719803318381
2dplanes,LightGBM,36691,4077,0.09524297670998107,0.15229887423186067,0.005098059307783842,0.009778723120689392,0.9298503994941711,6.107702328823507
2dplanes,LinearModel,36691,4077,0.23323494621026017,0.3646729742266098,0.009426425211131573,0.01818433217704296,0.8408143520355225,5.130756095051765
2dplanes,NeuralNetFastAI,36691,4077,0.0941794124911104,0.15023073287302272,0.0037529580295085907,0.008529365062713623,0.9330390095710754,7.4483959916979074
2dplanes,NeuralNetTorch,36691,4077,0.09456083526164151,0.15157078139150787,0.004253783263266087,0.005752929951995611,0.9323031902313232,5.856536449864507
2dplanes,RandomForest,36691,4077,0.09568662819315152,0.15444463172837378,0.0066816238686442375,0.014372050762176514,0.9269070625305176,7.152786205522716
2dplanes,XGBoost,36691,4077,0.09540284458980111,0.1521528179952056,0.005447477102279663,0.012243956327438354,0.927397608757019,6.317028126679361
APSFailure,CatBoost,68400,7600,0.007746891247604838,0.015211573833492214,0.001107039162889123,0.002353219548240304,0.9951315522193909,6.819634062238038
APSFailure,ExtraTrees,68400,7600,0.009148215484979655,0.01772693247619732,0.0010466809617355466,0.0022557678166776896,0.9940789341926575,7.90558123216033
APSFailure,LightGBM,68400,7600,0.007698313278568531,0.015224404530101968,0.0007309471257030964,0.0019104318926110864,0.9955263137817383,7.297874701209366
APSFailure,LinearModel,68400,7600,0.01149868809377196,0.02183653138761916,0.0012289306614547968,0.0034943462815135717,0.99289470911026,10.309866281226277
APSFailure,NeuralNetFastAI,68400,7600,0.009203602352987318,0.017073738805202607,0.001283157616853714,0.002622575731948018,0.9942105412483215,11.30503699555993
APSFailure,NeuralNetTorch,68400,7600,0.010918272251481627,0.02113774145990369,0.001992814475670457,0.0035730137024074793,0.9932894706726074,8.132080423645675
APSFailure,RandomForest,68400,7600,0.00802076765600461,0.01628732535294767,0.0013490522978827357,0.0027826386503875256,0.9950000047683716,9.64071708265692
APSFailure,XGBoost,68400,7600,0.0075105245532452285,0.01458585791060235,0.0009272608440369368,0.002352854236960411,0.9952631592750549,8.071116929873824
Amazon_employee_access,CatBoost,29492,3277,0.07181371820568305,0.13349499903553574,0.004546656273305416,0.013506368733942509,0.9551419019699097,2.544570352882147
Amazon_employee_access,ExtraTrees,29492,3277,0.07902651122217741,0.14811036602990985,0.0048858425579965115,0.00930039957165718,0.9493439197540283,4.255953132174909
Amazon_employee_access,LightGBM,29492,3277,0.07896640525492805,0.15061379320941945,0.00402041943743825,0.010527679696679115,0.9487335681915283,2.603839979507029
Amazon_employee_access,LinearModel,29492,3277,0.08343577823146285,0.1559912267732068,0.004069661721587181,0.006479580421000719,0.9469026327133179,2.8264014050364494
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08299490108797118,0.154398311764539,0.00409247912466526,0.00868011824786663,0.9469026327133179,3.9634097050875425
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08519876807576202,0.15993365314746646,0.006835587322711945,0.013384049758315086,0.9462923407554626,2.676143154501915
Amazon_employee_access,RandomForest,29492,3277,0.07536754521051585,0.1414175635568175,0.005768097937107086,0.011764447204768658,0.9511748552322388,5.315173860639334
Amazon_employee_access,XGBoost,29492,3277,0.07521694111328668,0.14330648910911384,0.004034385085105896,0.007426937576383352,0.952090322971344,2.6292294543236494
Australian,CatBoost,621,69,0.1717551145482465,0.28577855316736644,0.049256619065999985,0.07689709961414337,0.8695651888847351,0.1854150239378214
Australian,ExtraTrees,621,69,0.16659379192305995,0.28499435136695556,0.062079016119241714,0.08737380057573318,0.8550724387168884,0.1881227409467101
Australian,LightGBM,621,69,0.18526867608908915,0.3526004696678608,0.06647343933582306,0.112657830119133,0.8695651888847351,0.26842229440808296
Australian,LinearModel,621,69,0.17387464383703982,0.3012667321688844,0.06746850907802582,0.1410493701696396,0.9130434989929199,0.17291098646819592
Australian,NeuralNetFastAI,621,69,0.15141272869128256,0.27595835330822927,0.059412881731987,0.08095735311508179,0.8985507488250732,0.2541980519890785
Australian,NeuralNetTorch,621,69,0.1645852526857695,0.28536172997275344,0.04419688880443573,0.10742668062448502,0.8840579986572266,0.15257391054183245
Australian,RandomForest,621,69,0.16109417224654304,0.2781295714095667,0.0480855293571949,0.08243673294782639,0.8550724387168884,0.22736209258437157
Australian,XGBoost,621,69,0.1455140719450183,0.265622021594645,0.03973807394504547,0.0724015161395073,0.9130434989929199,0.2134592281654477
Bioresponse,CatBoost,3375,376,0.2782111837668425,0.4358150274964158,0.024345699697732925,0.07725700736045837,0.8244680762290955,0.49784791842103004
Bioresponse,ExtraTrees,3375,376,0.28616020548018933,0.4429512760593515,0.025029761716723442,0.06923021376132965,0.7978723645210266,0.7392221782356501
Bioresponse,LightGBM,3375,376,0.27662757338621535,0.43161302809261737,0.027182521298527718,0.06176978722214699,0.8164893388748169,0.4731796756386757
Bioresponse,LinearModel,3375,376,0.36891195055018305,0.5544299948105104,0.046015944331884384,0.07501165568828583,0.7367021441459656,0.9777289954945445
Bioresponse,NeuralNetFastAI,3375,376,0.2862641076013987,0.44345153649658003,0.022393029183149338,0.055282216519117355,0.7792553305625916,0.7227924866601825
Bioresponse,NeuralNetTorch,3375,376,0.2929116995645011,0.4533867193320148,0.026989132165908813,0.06135225668549538,0.7845744490623474,0.6262128530070186
Bioresponse,RandomForest,3375,376,0.2822088342568145,0.4400884990367793,0.030322493985295296,0.06159866601228714,0.811170220375061,0.35541771817952394
Bioresponse,XGBoost,3375,376,0.2750011013101816,0.43076570453978397,0.02665773034095764,0.05285247415304184,0.813829779624939,0.45403561275452375
Click_prediction_small,CatBoost,35953,3995,0.2534648625892182,0.41199297426664844,0.00888051651418209,0.012958376668393612,0.8367959856987,2.9626810690388083
Click_prediction_small,ExtraTrees,35953,3995,0.26015506001783534,0.4207656889150481,0.007163356989622116,0.007629925850778818,0.8342928886413574,2.533920814283192
Click_prediction_small,LightGBM,35953,3995,0.2580746197225506,0.4189316673393263,0.007670346647500992,0.010486206971108913,0.8367959856987,2.038533156737685
Click_prediction_small,LinearModel,35953,3995,0.26053564953935426,0.423262631328456,0.011328782886266708,0.020726462826132774,0.8347935080528259,1.8578148549422622
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2584763179787444,0.4201334177244492,0.00674283504486084,0.006796682719141245,0.8375469446182251,2.8487415267154574
Click_prediction_small,NeuralNetTorch,35953,3995,0.2594755473895318,0.4185713171627699,0.004996690899133682,0.004309115931391716,0.8345431685447693,3.2035655258223414
Click_prediction_small,RandomForest,35953,3995,0.2591763082421462,0.4183625070920486,0.004321318119764328,0.010000091046094894,0.8352941274642944,4.506190552376211
Click_prediction_small,XGBoost,35953,3995,0.2577694042900851,0.4168865327246673,0.007342144846916199,0.010423519648611546,0.8352941274642944,2.3938766922801733
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.3996560043491821,0.5896954720566543,0.07653538882732391,0.1408325880765915,0.75,0.24680352490395308
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5030882645427559,0.6962401808749126,0.06961899995803833,0.050540052354335785,0.5,0.13160565309226513
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5119149678387213,0.7050874053590415,0.08693712949752808,0.05489562079310417,0.40625,0.15655988361686468
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5039879700648828,0.6971449513443738,0.0534023642539978,0.04019893333315849,0.48750001192092896,0.3754705935716629
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.49365660160538,0.6868003413029268,0.062025800347328186,0.00781950168311596,0.581250011920929,0.21040186751633883
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5050636164661219,0.6982195271264289,0.056685417890548706,0.019430037587881088,0.4312500059604645,0.41948691569268703
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5059295829540287,0.6990905500579835,0.04660802334547043,0.03453635424375534,0.4437499940395355,0.11752134095877409
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5023710996134281,0.695534829600735,0.03584375977516174,0.05439202859997749,0.5062500238418579,0.11173184961080551
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4150490297211375,0.6056116670484419,0.04796348884701729,0.07422048598527908,0.699999988079071,0.1599675053730607
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46749284264056257,0.6601067526155499,0.041720978915691376,0.04644864797592163,0.625,0.16464901436120272
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.44019252804541464,0.6315368761008499,0.060061976313591,0.08135250955820084,0.6812499761581421,0.22048811241984367
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.4999999747936208,0.6931471553535775,0.043751925230026245,8.016038918867707e-06,0.48124998807907104,0.12523929588496685
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.41189259310951176,0.6010378349992653,0.05373184010386467,0.06375181674957275,0.699999988079071,0.1767529919743538
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4064505460757163,0.5949568105529336,0.047541067004203796,0.057934295386075974,0.699999988079071,0.1459016166627407
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.476284136152325,0.6691836925663945,0.04160507768392563,0.05734424293041229,0.5874999761581421,0.1361865410581231
